id,2205041@電動力學（一）@2@1,2205052@量子力學（二）@2@1,2205101@非線性光學@2@1,2205182@固態物理（二）@2@1,2205274@書報討論（二）@2@1,2205956@專題： X光科技@2@1,2205020@統計力學@1@1,2205042@電動力學（二）@1@1,2205051@量子力學（一）@1@1,2205181@固態物理（一）@1@1,2205230@材料科學@1@1,2205273@書報討論（一）@1@1,2205300@表面物理@1@1,2205301@表面磁學@1@1,2205360@線性系統、傅立葉轉換與光學@1@1,2205919@專題：磁性物理@1@1,2205940@專題：介電物質的特性@1@1,2205943@專題：超導體物理@1@1,2205945@高等物理數學@1@1,2205010@古典力學@2@1,2205120@雷射物理@2@1,2205400@原子物理與雷射光譜學@2@1,2205921@專題：晶體物理@2@1,2205958@專題：奈米光電@2@1,2205960@專題：雷射冷卻與捕獲@2@1,2205070@理論物理@1@1,2205081@相變與臨界現象導論@1@1,2205950@專題：X-光繞射與應用@1@1,2205956@專題： X光科技@1@1,2205957@專題：自旋電子學@1@1,2205080@相對論@2@1,2205240@X－光繞射與應用@2@1,2205931@專題：凝聚態物理@2@1,2205940@專題：介電物質的特性@2@1,2205961@專題:磁性材料@2@1,2205010@古典力學@1@1,2205960@專題：雷射冷卻與捕獲@1@1,2205143@量子光學導論@2@1,2206902@專題：合金物理@2@1,2205301@表面磁學@2@1
601220045,50,72,NaN,NaN,90,NaN,71,NaN,74,82,72,80,NaN,85,72,NaN,NaN,NaN,NaN,30,66,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220046,50,74,NaN,85,88,NaN,71,NaN,74,64,75,76,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
601220048,50,80,NaN,NaN,88,NaN,70,80,73,67,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220050,50,70,NaN,80,93,NaN,78,NaN,78,76,75,83,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220052,70,83,NaN,86,83,NaN,73,NaN,79,78,82,80,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220053,50,82,NaN,NaN,85,NaN,79,81,75,65,71,78,NaN,82,NaN,NaN,NaN,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220055,50,78,NaN,NaN,88,NaN,81,NaN,70,73,NaN,78,NaN,78,78,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220056,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,93,88,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220057,50,81,NaN,NaN,89,NaN,74,NaN,74,87,73,76,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220058,50,70,NaN,78,81,NaN,80,NaN,72,87,74,78,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220059,50,74,NaN,NaN,88,NaN,72,NaN,70,82,80,78,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220061,50,72,NaN,NaN,98,NaN,74,NaN,70,84,NaN,75,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220063,50,NaN,NaN,82,88,NaN,71,78,74,67,NaN,75,NaN,72,55,NaN,NaN,NaN,NaN,NaN,71,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220066,50,NaN,NaN,81,85,NaN,70,NaN,72,71,NaN,78,NaN,83,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601220062,79,80,NaN,NaN,82,NaN,80,NaN,82,85,NaN,87,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,94,NaN
601220064,74,90,NaN,78,87,NaN,71,88,80,73,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,NaN,NaN,NaN,3,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,85,NaN,NaN
601220065,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,70,60,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
