id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5151009@民法概要@2@1,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152020@統計學（一）@1@1,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@2,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5152021@統計學（二）@2@1,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@1,5152101@財務管理（二）@2@2,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152200@投資學@2@2,5154352@金融科技@2@1,5154400@風險管理與保險@2@1
404515017,68,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404515018,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404515019,60,86,NaN,71,-1,NaN,NaN,60,NaN,46,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515020,80,NaN,NaN,75,78,NaN,70,100,NaN,82,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404515021,67,85,NaN,73,60,NaN,NaN,90,NaN,NaN,NaN,61,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
404515022,74,NaN,NaN,76,61,NaN,80,NaN,90,73,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515023,60,80,NaN,80,-1,NaN,NaN,72,NaN,NaN,NaN,61,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
404515024,74,NaN,NaN,76,68,65,NaN,100,NaN,91,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404515025,71,NaN,NaN,77,80,NaN,NaN,NaN,78,76,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515026,62,NaN,NaN,70,-1,NaN,70,73,NaN,70,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515027,76,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404515028,75,NaN,NaN,82,70,90,NaN,NaN,79,69,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN
404515029,82,NaN,81,85,81,NaN,NaN,100,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
404515031,95,82,NaN,86,77,NaN,NaN,NaN,85,88,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515032,84,NaN,NaN,90,95,80,NaN,100,NaN,91,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515033,94,82,NaN,89,91,NaN,NaN,NaN,92,NaN,NaN,91,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
404515036,62,NaN,NaN,72,-1,85,NaN,NaN,77,67,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515037,78,NaN,81,73,76,NaN,NaN,NaN,91,81,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515038,70,NaN,NaN,72,-1,65,NaN,52,NaN,NaN,66,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404515039,96,83,NaN,89,100,NaN,NaN,100,NaN,NaN,99,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
404515040,38,NaN,NaN,74,NaN,NaN,70,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404515041,63,NaN,72,68,-1,NaN,NaN,67,NaN,NaN,55,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515042,92,NaN,NaN,83,74,NaN,95,NaN,79,82,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515043,67,NaN,81,81,66,NaN,NaN,NaN,72,76,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515044,66,NaN,NaN,80,60,NaN,80,60,NaN,69,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515045,67,NaN,80,82,64,NaN,NaN,NaN,78,73,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515046,46,NaN,NaN,80,36,NaN,85,81,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404515047,91,NaN,83,-1,-1,NaN,NaN,NaN,76,NaN,55,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404515048,63,NaN,NaN,70,61,90,NaN,NaN,52,67,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515049,44,NaN,77,71,-1,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404515050,62,NaN,NaN,77,62,85,NaN,NaN,82,80,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515052,80,NaN,NaN,87,80,NaN,85,100,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
404515053,60,86,NaN,70,60,NaN,NaN,NaN,60,39,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515054,63,NaN,NaN,62,60,65,NaN,NaN,69,68,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515055,80,82,NaN,86,73,NaN,NaN,NaN,75,81,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515056,85,NaN,NaN,90,84,NaN,90,100,NaN,93,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
404515057,84,83,NaN,81,81,NaN,NaN,100,NaN,83,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515058,68,NaN,NaN,82,70,90,NaN,76,NaN,NaN,NaN,67,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
404515059,42,NaN,81,68,23,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404515060,73,NaN,NaN,75,60,NaN,65,NaN,76,80,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515061,77,81,NaN,88,75,NaN,NaN,NaN,71,83,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515062,76,NaN,NaN,87,72,NaN,90,NaN,93,89,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515063,73,84,NaN,83,74,NaN,NaN,100,NaN,76,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515064,92,NaN,NaN,83,91,NaN,90,NaN,95,NaN,NaN,76,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN
404515065,91,NaN,82,88,91,NaN,NaN,100,NaN,92,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
404515066,88,NaN,NaN,88,81,85,NaN,100,NaN,96,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404515068,29,NaN,NaN,64,-1,85,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404515069,60,83,NaN,80,-1,NaN,NaN,NaN,78,68,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515070,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404515071,69,NaN,92,81,62,NaN,NaN,NaN,81,73,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515072,75,NaN,NaN,70,70,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404515073,76,NaN,90,77,60,NaN,NaN,82,NaN,67,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
404515074,64,NaN,NaN,75,-1,NaN,65,NaN,47,NaN,55,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
404515075,63,NaN,NaN,88,43,NaN,NaN,92,NaN,61,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404515076,72,NaN,NaN,85,65,NaN,85,91,NaN,74,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515078,75,NaN,NaN,84,68,85,NaN,NaN,74,73,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
404515080,69,NaN,NaN,83,60,90,NaN,65,NaN,72,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404515030,NaN,NaN,NaN,82,NaN,70,NaN,NaN,77,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
404515083,71,NaN,NaN,NaN,-1,-1,NaN,NaN,78,NaN,66,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
404515084,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,89,NaN,86,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN
