id,2101001@微積分（一）@1@1,2101001@微積分（一）@1@7,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@3,2101002@微積分（二）@2@7,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101002@微積分（二）@1@1,2102001@高等微積分（一）@1@1,2102003@高等微積分研習（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103001@點集拓樸@1@1,2104553@線性規劃導論@1@1,2101002@微積分（二）@2@2,2101002@微積分（二）@2@8,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102004@高等微積分研習（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103102@複變函數論（二）@2@1,2103522@微分方程數值方法@2@1,2104402@近代數學專題（二）@2@1,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2103521@數值線性代數導論@1@1,2104201@偏微分方程導論@1@1,2101002@微積分（二）@2@6,2101002@微積分（二）@2@9,2103001@點集拓樸@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1,2103521@數值線性代數導論@2@1,2103523@數學史@2@1,2103701@統計科學@2@1,2103711@統計方法@2@1,2104401@近代數學專題（一）@2@1,2103524@初等數論@1@1,2104701@統計推論@1@1,2103525@初等數論（二）@2@1,2103404@離散數學@2@1
400210040,35,NaN,28,NaN,61,10,NaN,NaN,NaN,13,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210041,90,NaN,99,92,NaN,90,NaN,NaN,85,96,NaN,NaN,99,99,100,100,100,NaN,NaN,NaN,NaN,NaN,99,99,97,100,100,NaN,98,NaN,NaN,90,98,98,98,NaN,NaN,NaN,NaN,96,99,NaN,NaN,96,100,NaN,NaN,NaN,NaN,NaN
400210042,48,NaN,60,NaN,65,NaN,NaN,NaN,80,60,78,NaN,64,64,60,66,82,NaN,77,NaN,64,NaN,68,56,98,72,93,47,NaN,77,NaN,65,60,NaN,79,NaN,NaN,NaN,NaN,78,NaN,NaN,85,NaN,NaN,78,NaN,NaN,NaN,NaN
400210044,48,NaN,69,NaN,63,64,NaN,NaN,64,64,90,NaN,70,70,60,92,70,NaN,70,NaN,NaN,NaN,66,66,69,63,87,NaN,72,NaN,NaN,61,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,71,80,NaN,NaN,NaN,NaN
400210045,69,NaN,72,76,NaN,62,NaN,NaN,68,70,NaN,NaN,67,67,65,79,79,NaN,68,NaN,NaN,NaN,64,63,88,75,63,51,NaN,78,NaN,47,65,85,NaN,NaN,NaN,NaN,66,NaN,NaN,74,77,NaN,NaN,86,67,NaN,NaN,NaN
400210046,65,NaN,70,NaN,NaN,60,NaN,NaN,81,72,78,NaN,64,64,63,82,80,NaN,NaN,NaN,NaN,NaN,63,63,85,63,93,70,NaN,NaN,NaN,71,66,87,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,70,NaN,NaN,87,NaN,NaN
400210047,65,NaN,70,89,NaN,66,NaN,NaN,67,65,NaN,NaN,60,60,60,87,65,NaN,68,NaN,NaN,NaN,64,64,79,63,68,50,NaN,76,NaN,60,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,72,NaN,NaN,84,67,NaN,NaN,NaN
400210048,52,NaN,76,NaN,63,NaN,62,NaN,62,70,78,NaN,NaN,3,60,87,64,NaN,NaN,NaN,NaN,65,60,NaN,72,65,76,NaN,67,75,NaN,25,80,NaN,NaN,78,NaN,NaN,20,NaN,NaN,60,72,NaN,NaN,66,NaN,NaN,NaN,NaN
400210049,85,NaN,84,87,NaN,88,NaN,NaN,91,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210050,65,NaN,69,NaN,NaN,40,NaN,NaN,NaN,61,84,NaN,67,67,66,92,83,NaN,NaN,NaN,NaN,NaN,87,87,92,69,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210051,35,NaN,60,86,68,48,NaN,NaN,60,78,NaN,50,60,48,75,81,81,NaN,69,NaN,NaN,NaN,60,NaN,84,65,74,45,NaN,75,NaN,52,60,NaN,NaN,NaN,NaN,68,20,NaN,NaN,77,75,70,NaN,81,NaN,76,NaN,NaN
400210029,NaN,46,54,70,61,20,NaN,19,62,32,NaN,NaN,NaN,NaN,16,60,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400210055,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,85,72,NaN,72,79,79,60,80,66,NaN,NaN,NaN,NaN,NaN,81,81,66,60,62,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,77,72,68,93,75,NaN,82,NaN,NaN
400210053,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,89,94,96,78,NaN,NaN,NaN,NaN,NaN,79,80,90,100,97,NaN,NaN,NaN,NaN,NaN,85,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,91,NaN,NaN,NaN,NaN,NaN
