id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451017@法學緒論@1@1,3451024@社會工作（一）@1@1,3451026@物質濫用概論@1@1,3451029@統計學的想像力@1@1,3451888@學系服務學習@1@1,3452020@被害者學@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451025@社會工作（二）@2@1,3451888@學系服務學習@2@1,3452006@青少年問題與輔導@2@1,3452022@心理衛生@2@1,3452017@諮商理論與技術（一）@1@1,3452018@人格心理學@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452031@行為統計與電腦（一）@1@1,3452032@犯罪學（一）@1@1,3452070@社會個案工作@1@1,3453035@變態心理學@1@1,3452001@諮商理論與技術（二）@2@1,3452025@刑法總則（二）@2@1,3452027@暴力犯罪@2@1,3452029@社會心理學@2@1,3452063@犯罪學（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452068@社會團體工作@2@1,3453013@家庭暴力@2@1,3453032@團體輔導實務@2@1,3453033@藥物濫用問題與輔導@2@1,3453041@矯正教育@2@1,3454026@精神醫學@2@1,3451008@犯罪生物學@1@1,3452011@犯罪預防@1@1,3452012@發展心理學@1@1,3452065@人際關係與溝通@1@1,3452071@民法總則(一)@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453036@犯罪矯正管理@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453073@監獄行刑法@1@1,3453075@心理測驗理論@1@1,3453077@體驗教育與冒險治療(一)@1@1,3453079@諮商技巧@1@1,3454007@觀護制度@1@1,3451005@心理衛生@2@1,3453014@少年事件處理法@2@1,3453015@少年犯罪@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453068@刑事政策@2@1,3453069@刑事訴訟法（二）@2@1,3453074@性創傷處遇@2@1,3453078@體驗教育與冒險治療(二)@2@1,3453080@心理測驗實作@2@1,3453081@心理學在犯罪領域之運用@2@1,3454013@生涯發展@2@1,3454027@矯正諮商@2@1,3452015@婚姻與家庭@1@1,3453040@性犯罪@1@1,3454029@危機處遇@1@1,3451032@腦與犯罪@2@1,3452072@民法總則(二)@2@1,3453082@犯罪實例剖析@2@1,3454023@跨國犯罪@2@1
401725022,67,73,41,74,85,76,NaN,NaN,77,74,86,82,88,95,NaN,92,89,77,NaN,84,86,88,57,91,73,NaN,95,64,87,82,NaN,NaN,NaN,NaN,72,NaN,NaN,88,88,NaN,80,88,70,86,NaN,92,75,NaN,84,NaN,NaN,NaN,NaN,NaN,81,82,91,88,88,75,NaN,NaN,92,89,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
401725023,77,70,68,73,88,NaN,100,NaN,68,63,82,83,NaN,NaN,82,90,87,78,85,89,92,87,64,86,77,89,89,67,66,NaN,78,NaN,NaN,NaN,NaN,NaN,91,86,NaN,92,86,96,78,90,NaN,87,79,NaN,NaN,NaN,NaN,NaN,NaN,89,81,91,87,90,90,78,92,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
401725024,88,63,76,82,90,87,NaN,83,81,85,NaN,87,88,83,NaN,85,NaN,76,82,94,78,87,NaN,85,82,NaN,NaN,77,93,NaN,85,84,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,87,90,90,93,NaN,90,NaN,85,NaN,NaN,92,83,NaN,91,85,90,83,94,87,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,90
401725025,74,73,76,72,90,84,100,76,75,65,82,80,NaN,NaN,97,92,88,89,89,92,85,89,78,91,92,NaN,85,85,99,87,86,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,87,90,95,78,95,NaN,91,NaN,86,88,NaN,91,84,NaN,89,85,91,93,90,85,NaN,92,NaN,NaN,NaN,NaN,97,NaN,93,NaN,NaN,NaN,NaN,NaN
401725026,70,70,68,71,87,NaN,NaN,60,83,82,89,85,88,93,NaN,90,86,85,NaN,82,96,44,82,92,84,92,90,69,89,NaN,NaN,NaN,NaN,85,NaN,NaN,91,87,92,95,91,85,75,95,NaN,93,NaN,84,90,NaN,93,83,NaN,NaN,87,89,92,91,87,NaN,NaN,NaN,94,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
401725027,87,80,77,96,87,NaN,100,NaN,93,79,85,91,NaN,94,NaN,90,89,82,90,94,92,90,83,91,81,NaN,88,79,92,89,NaN,NaN,89,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,95,88,94,NaN,95,NaN,NaN,90,90,92,NaN,NaN,NaN,86,NaN,91,91,90,NaN,93,92,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401725028,85,75,78,79,88,83,NaN,NaN,80,67,85,87,88,94,NaN,88,91,85,NaN,82,87,90,72,88,74,NaN,91,65,89,NaN,NaN,90,NaN,NaN,NaN,93,NaN,90,89,NaN,NaN,90,86,75,NaN,85,NaN,NaN,87,NaN,89,NaN,NaN,NaN,85,NaN,77,88,87,NaN,89,NaN,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN
401725029,87,78,81,77,90,86,100,NaN,93,67,91,86,NaN,94,NaN,93,88,88,90,93,95,91,86,92,90,NaN,88,87,93,92,89,NaN,92,NaN,NaN,NaN,91,NaN,NaN,99,89,95,85,95,87,93,82,NaN,86,NaN,NaN,NaN,NaN,91,87,90,89,92,89,89,92,NaN,NaN,NaN,NaN,97,NaN,NaN,91,NaN,NaN,NaN,90
401725030,92,86,77,78,90,83,NaN,NaN,82,78,92,90,88,94,NaN,93,88,87,94,94,93,91,82,93,91,90,86,89,99,NaN,90,NaN,NaN,95,NaN,NaN,92,NaN,NaN,98,NaN,95,85,96,92,96,90,89,NaN,NaN,NaN,90,NaN,NaN,85,NaN,93,94,91,92,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,94,NaN,NaN,NaN,NaN
401725031,76,79,74,85,90,87,100,75,84,79,83,86,NaN,94,NaN,94,88,91,91,96,91,90,85,92,95,90,89,86,90,NaN,NaN,NaN,89,NaN,NaN,NaN,92,NaN,NaN,94,NaN,95,86,96,NaN,93,90,NaN,96,NaN,NaN,90,NaN,NaN,86,NaN,93,94,91,83,93,NaN,92,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,92
401725032,83,74,75,85,90,NaN,NaN,79,80,76,82,88,88,95,NaN,91,89,86,92,89,88,90,85,92,92,90,90,84,85,NaN,87,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,95,78,96,NaN,93,NaN,NaN,84,NaN,94,80,97,NaN,83,NaN,83,94,88,NaN,91,NaN,91,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,91
401725033,77,71,75,77,90,87,100,69,77,68,NaN,82,NaN,93,NaN,92,90,79,90,91,88,89,73,88,78,NaN,88,78,84,89,89,NaN,NaN,88,NaN,94,92,NaN,NaN,93,90,85,76,95,NaN,94,85,NaN,92,NaN,NaN,NaN,NaN,93,84,90,89,94,89,92,91,NaN,91,89,NaN,NaN,NaN,NaN,93,NaN,96,NaN,91
401725034,83,80,80,82,90,NaN,NaN,76,85,85,89,84,88,NaN,97,92,90,90,91,97,91,91,91,91,88,NaN,86,87,94,92,86,NaN,90,NaN,NaN,NaN,90,NaN,NaN,89,NaN,95,83,96,91,98,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,87,NaN,93,91,94,NaN,93,NaN,NaN,NaN,NaN,97,NaN,NaN,95,NaN,NaN,NaN,NaN
401725035,89,79,65,77,90,86,100,82,87,84,88,87,NaN,94,NaN,91,88,91,89,95,96,91,81,90,89,94,89,83,92,NaN,89,NaN,NaN,NaN,NaN,93,93,95,92,98,NaN,95,86,94,NaN,97,NaN,NaN,87,NaN,94,NaN,NaN,NaN,88,NaN,93,93,90,NaN,91,NaN,93,91,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,91
401725036,69,77,68,74,87,NaN,NaN,NaN,74,70,86,81,88,NaN,88,85,87,82,72,60,79,82,58,83,79,90,88,78,62,NaN,80,NaN,NaN,NaN,NaN,NaN,92,84,NaN,NaN,88,90,80,92,NaN,89,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,92,89,88,80,87,NaN,NaN,88,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
401725037,79,72,72,81,91,91,100,NaN,85,73,88,82,NaN,89,NaN,90,88,81,73,81,88,88,63,92,75,82,87,72,86,NaN,80,NaN,NaN,NaN,NaN,NaN,85,89,89,NaN,86,83,83,78,NaN,86,NaN,NaN,94,NaN,NaN,NaN,NaN,94,72,89,83,86,86,NaN,NaN,NaN,92,90,NaN,NaN,89,NaN,87,88,NaN,NaN,90
