id,3451015@心理學（一）@1@1,3451016@社會學（一）@1@1,3451026@物質濫用概論@1@1,3451030@社會工作@1@1,3451888@學系服務學習@1@1,3451018@社會學（二）@2@1,3451019@心理學（二）@2@1,3451023@刑事司法概論@2@1,3451888@學系服務學習@2@1,3452022@心理衛生@2@1,3453014@少年事件處理法@2@1,3453041@矯正教育@2@1,3453068@刑事政策@2@1,3452012@發展心理學@1@1,3452017@諮商理論與技術（一）@1@1,3452024@刑法總則（一）@1@1,3452026@警政管理@1@1,3452031@行為統計與電腦（一）@1@1,3452032@犯罪學（一）@1@1,3452065@人際關係與溝通@1@1,3452070@社會個案工作@1@1,3452071@民法總則(一)@1@1,3453035@變態心理學@1@1,3453036@犯罪矯正管理@1@1,3453073@監獄行刑法@1@1,3454007@觀護制度@1@1,3451005@心理衛生@2@1,3451028@諮商概論@2@1,3451032@腦與犯罪@2@1,3452001@諮商理論與技術（二）@2@1,3452018@人格心理學@2@1,3452025@刑法總則（二）@2@1,3452027@暴力犯罪@2@1,3452063@犯罪學（二）@2@1,3452066@行為統計與電腦（二）@2@1,3452072@民法總則(二)@2@1,3453013@家庭暴力@2@1,3453074@性創傷處遇@2@1,3451001@犯罪學@1@1,3452011@犯罪預防@1@1,3452015@婚姻與家庭@1@1,3453006@刑法分則（一）@1@1,3453020@專業實習（一）@1@1,3453024@監獄學@1@1,3453034@犯罪偵查@1@1,3453040@性犯罪@1@1,3453045@社會與行為科學研究方法（一）@1@1,3453066@刑事訴訟法（一）@1@1,3453075@心理測驗理論@1@1,3453079@諮商技巧@1@1,3454029@危機處遇@1@1,3452006@青少年問題與輔導@2@1,3452073@社會團體工作@2@1,3452074@少年犯罪@2@1,3453015@少年犯罪@2@1,3453016@刑法分則（二）@2@1,3453031@犯罪心理學@2@1,3453043@社會與行為科學研究方法（二）@2@1,3453069@刑事訴訟法（二）@2@1,3453076@體驗教育與冒險治療(一)@2@1,3453078@體驗教育與冒險治療(二)@2@1,3453080@心理測驗實作@2@1,3453081@心理學在犯罪領域之運用@2@1,3453082@犯罪實例剖析@2@1,3454023@跨國犯罪@2@1,3454027@矯正諮商@2@1,3451008@犯罪生物學@1@1,3453084@方案規劃與評估@1@1,3454010@精神醫療@1@1,3451031@自我探索@2@1,3452076@警察學@2@1
402725012,99,92,79,90,NaN,88,87,89,90,91,98,NaN,91,94,93,84,NaN,97,99,NaN,93,96,94,91,89,NaN,NaN,NaN,97,95,NaN,94,92,97,97,94,93,93,NaN,95,NaN,91,94,94,97,NaN,96,96,NaN,NaN,NaN,NaN,NaN,NaN,95,98,99,96,NaN,NaN,NaN,NaN,NaN,93,91,NaN,99,NaN,NaN,NaN,NaN
402725013,94,91,73,85,91,86,88,NaN,NaN,98,95,85,91,86,90,77,86,96,80,89,87,89,NaN,NaN,NaN,81,NaN,NaN,NaN,92,NaN,NaN,85,82,94,90,80,90,NaN,NaN,89,NaN,NaN,87,96,93,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,82,80,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725014,85,90,84,88,NaN,91,86,89,90,91,94,NaN,91,90,92,79,88,95,95,NaN,91,97,95,89,NaN,NaN,NaN,NaN,NaN,94,NaN,89,96,93,96,93,89,91,NaN,94,89,91,NaN,94,96,NaN,97,91,NaN,93,NaN,NaN,NaN,NaN,92,89,98,93,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402725015,70,83,86,95,89,86,84,90,NaN,NaN,-1,NaN,90,NaN,92,82,90,95,94,NaN,87,NaN,NaN,87,85,NaN,NaN,NaN,96,93,NaN,88,90,96,95,NaN,84,94,NaN,94,NaN,NaN,NaN,92,96,NaN,93,74,NaN,93,NaN,NaN,NaN,NaN,89,NaN,86,88,NaN,NaN,NaN,NaN,NaN,94,92,NaN,94,NaN,82,NaN,-1
402725016,82,89,81,89,NaN,88,74,92,90,77,93,NaN,73,NaN,87,NaN,90,93,82,NaN,NaN,86,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725017,60,86,81,82,90,76,74,87,NaN,91,96,NaN,91,86,89,77,86,92,85,NaN,87,89,85,88,85,NaN,NaN,NaN,96,89,83,88,95,90,86,NaN,88,91,NaN,91,NaN,NaN,NaN,93,95,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,97,90,89,NaN,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN,NaN
402725018,76,86,79,83,NaN,87,73,87,95,90,94,NaN,90,NaN,94,81,87,90,93,NaN,90,87,76,87,84,NaN,NaN,NaN,NaN,93,84,84,95,91,85,89,85,92,NaN,91,NaN,NaN,86,90,94,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,97,84,86,88,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402725019,60,68,NaN,80,89,78,89,89,NaN,NaN,89,NaN,91,80,87,60,88,92,NaN,NaN,85,80,NaN,85,85,NaN,NaN,85,94,86,84,81,94,NaN,80,-1,NaN,NaN,67,NaN,NaN,NaN,NaN,97,NaN,NaN,90,NaN,NaN,92,87,NaN,88,NaN,79,NaN,85,90,NaN,87,88,NaN,NaN,NaN,NaN,NaN,89,NaN,80,NaN,NaN
402725020,60,88,79,81,NaN,92,70,NaN,90,NaN,95,NaN,NaN,NaN,92,NaN,86,87,74,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,88,NaN,NaN,83,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402725021,78,82,81,86,91,90,86,89,NaN,92,94,NaN,90,84,92,83,90,96,96,NaN,92,98,90,NaN,NaN,85,NaN,NaN,NaN,94,NaN,88,94,93,97,NaN,87,91,NaN,94,NaN,88,93,92,96,NaN,96,NaN,90,93,NaN,93,89,NaN,89,94,98,94,NaN,NaN,NaN,92,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
