id,5155052@行為財務學@2@1,5155231@期貨市場@2@1,5155235@選擇權市場@2@1,5155562@資本市場與基金組合管理@2@1,5155660@財務報表分析@2@1,5155908@財務金融專題研討（一）@2@1,5156120@財務計劃與管理專題研討@2@1,5156210@投資組合分析@2@1,5157173@公司理財專題研討@2@1,5158210@公司治理專題研討@2@1,5155100@財務管理@1@1,5155100@財務管理@1@2,5155200@投資管理學@1@1,5155200@投資管理學@1@2,5155300@金融市場與機構@1@1,5155300@金融市場與機構@1@2,5155650@計量經濟學（一）@1@1,5155909@財務金融專題研討（二）@1@1,5156121@市場微結構@1@1,5156130@金融倫理學@1@1,5156300@財金個案研究@1@1,5155173@財務程式設計@2@1,5155504@保險財務與精算@2@1,5155653@財務計量與實證@2@1,5156244@結構型證券@2@1,5156382@國際金融@2@1
605515042,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,90,NaN,97,NaN,90,NaN,78,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN
605515043,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,80,NaN,98,NaN,88,NaN,73,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
605515044,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,90,NaN,NaN,97,90,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515048,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,86,NaN,95,NaN,90,NaN,82,NaN,80,NaN,NaN,-1,NaN,-1,-1,NaN
605515049,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,92,NaN,97,NaN,89,NaN,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605515050,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,87,NaN,85,NaN,94,NaN,91,NaN,84,NaN,NaN,-1,NaN,NaN,NaN,-1
605515052,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,87,NaN,88,NaN,79,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
605515053,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,77,NaN,83,NaN,88,NaN,76,NaN,80,NaN,NaN,-1,NaN,-1,NaN,NaN
605515055,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,78,NaN,87,NaN,89,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605515057,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,94,NaN,83,NaN,89,NaN,95,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
