id,4255022@專題討論（二）@2@1,4255050@碩士論文（一）@2@1,4255210@高等輸送現象@2@1,4255251@奈米製造技術@2@1,4255530@陰離子高分子聚合反應@2@1,4255572@精密材料合成@2@1,4255745@生物醫學特論@2@1,4255804@材料鑑識特論@2@1,4255932@分子螢光學之原理與應用@2@1,4255011@專題討論（一）@1@1,4255062@碩士論文（二）@1@1,4255211@膠體與界面現象@1@1,4255245@超臨界流體操作概論@1@1,4255400@高等化工熱力學@1@1,4255510@高分子原理及反應工程@1@1,4255531@高分子材料合成@1@1,4255541@高分子流變學@1@1,4255560@反應工程與反應器設計@1@1,4255580@生化工程@1@1,4255723@電腦在生化系統之應用@1@1,4255742@生物工程特論@1@1,4255743@生物高分子@1@1,4255802@材料鑑識@1@1,4255924@電子構裝@1@1,4255926@半導體製程技術@1@1,4255930@精密陶瓷製造@1@1,4257730@軟質材料@1@1,4255041@專題討論（四）@2@1,4255070@碩士論文（三）@2@1,4255250@粉粒體技術@2@1,4255330@非線性動態學@2@1,4255542@高分子動態學@2@1,4255724@系統生物學@2@1,4255800@無機材料光譜分析@2@1,4255803@材料相平衡@2@1,4255031@專題討論（三）@1@1,4257740@材料分析@1@1,4257750@化工單元操作應用實務@1@1,4257760@光散射之複雜流體分析@1@1,4255570@工業觸媒@2@1,4257761@軟物質材料之多尺度模擬法@2@1,4255803@材料相平衡@1@1
602425046,79,88,87,NaN,89,88,NaN,NaN,92,79,88,NaN,NaN,NaN,85,95,NaN,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425047,84,88,97,97,NaN,NaN,NaN,NaN,NaN,84,87,NaN,NaN,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,93,NaN,97,97,NaN,84,88,NaN,97,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425049,79,88,72,NaN,NaN,NaN,77,NaN,78,79,88,NaN,NaN,NaN,NaN,77,NaN,92,85,NaN,NaN,NaN,76,NaN,71,NaN,NaN,84,86,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425050,77,80,62,73,NaN,NaN,NaN,NaN,NaN,79,84,NaN,NaN,70,NaN,78,NaN,90,NaN,NaN,NaN,NaN,85,NaN,91,NaN,NaN,84,84,NaN,NaN,NaN,NaN,86,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425051,77,88,81,NaN,NaN,NaN,NaN,NaN,76,79,89,NaN,90,NaN,NaN,83,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,73,84,86,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425053,79,88,77,80,NaN,82,NaN,85,NaN,79,88,NaN,NaN,NaN,NaN,91,NaN,89,NaN,NaN,NaN,NaN,92,NaN,76,NaN,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425054,79,92,75,99,NaN,NaN,NaN,NaN,NaN,79,90,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,NaN,87,NaN,97,NaN,NaN,84,90,NaN,NaN,NaN,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425056,79,92,91,99,NaN,NaN,NaN,NaN,NaN,79,90,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,NaN,87,NaN,98,NaN,NaN,84,90,NaN,NaN,NaN,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
602425058,79,87,83,NaN,NaN,NaN,NaN,NaN,92,79,88,NaN,NaN,74,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,79,84,88,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,90,NaN,88,NaN
602425059,79,87,83,NaN,NaN,NaN,NaN,NaN,73,79,90,NaN,88,NaN,NaN,84,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,75,84,87,88,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
