id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302015@行政法總論（一）@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302016@行政法總論（二）@2@1,6302025@所得稅法@2@1,6303012@公平交易法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302009@消費者保護法@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6304027@法律實務(一)@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303029@稅法實例演習@2@1,6304006@證券交易法@2@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6303038@銀行法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304029@國際貿易法@1@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303034@法律倫理學@2@1,6303035@兩岸信託法@2@1,6303037@專利法@2@1,6304008@國際私法（二）@2@1,6304012@行政法實例演習@2@1,6302060@商事法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304033@刑事證據法(一)@1@1,6304036@智慧財產權法實例演習@1@1,6304056@企業併購法@1@1,6303020@信託法@2@1,6303033@稅捐稽徵法@2@1,6303042@破產法暨消費者債務清理條例@2@1
402630032,92,66,80,75,NaN,76,94,83,68,NaN,80,84,NaN,NaN,90,68,NaN,NaN,89,NaN,90,82,NaN,89,72,80,82,NaN,79,NaN,NaN,NaN,73,76,84,82,60,62,65,NaN,65,92,83,74,78,64,NaN,60,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
402630033,92,92,68,85,75,78,93,84,75,82,NaN,82,84,NaN,89,80,89,88,84,NaN,87,88,NaN,90,82,86,82,89,89,91,NaN,NaN,86,87,91,78,83,72,NaN,NaN,97,92,95,82,76,97,NaN,62,NaN,88,NaN,88,92,84,NaN,NaN,NaN,NaN,NaN
402630034,67,70,64,83,NaN,74,68,82,72,74,80,80,65,NaN,73,70,NaN,83,69,82,75,68,NaN,80,72,75,65,-1,75,77,NaN,NaN,77,65,78,74,78,60,71,NaN,63,83,63,61,73,81,NaN,61,-1,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN
402630035,85,72,72,84,55,76,85,84,75,82,80,85,90,NaN,81,78,NaN,92,73,NaN,76,84,NaN,73,79,82,87,NaN,80,82,90,NaN,82,82,92,76,92,61,77,NaN,94,81,74,84,77,94,96,61,NaN,88,NaN,NaN,77,82,NaN,NaN,NaN,-1,NaN
402630036,75,80,60,91,NaN,68,90,85,69,83,80,80,88,NaN,83,77,NaN,NaN,73,NaN,76,75,NaN,70,82,81,84,NaN,82,80,NaN,NaN,81,77,85,70,92,68,73,89,89,89,73,74,72,79,89,60,89,88,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN
402630037,76,78,73,NaN,75,82,75,80,65,NaN,NaN,76,81,NaN,77,76,NaN,90,79,NaN,72,80,NaN,75,86,80,87,NaN,82,83,NaN,NaN,82,82,85,78,92,72,NaN,NaN,91,92,82,89,66,-1,NaN,60,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,-1,-1,NaN
402630038,79,85,67,81,NaN,80,71,85,76,NaN,80,65,NaN,NaN,81,81,87,NaN,72,NaN,77,80,NaN,75,83,74,80,NaN,77,79,NaN,NaN,79,81,82,79,96,70,NaN,NaN,86,80,71,86,75,78,NaN,61,NaN,NaN,NaN,NaN,74,84,NaN,NaN,NaN,-1,NaN
402630039,60,77,60,NaN,75,78,70,79,66,NaN,NaN,86,85,NaN,68,67,NaN,80,71,NaN,71,81,NaN,81,80,84,68,-1,85,79,NaN,NaN,92,80,86,81,80,74,83,NaN,93,86,89,80,66,95,NaN,60,NaN,88,NaN,NaN,83,NaN,87,NaN,NaN,NaN,-1
402630041,75,60,62,NaN,55,78,74,75,66,NaN,80,82,70,NaN,76,60,NaN,50,70,NaN,72,78,NaN,64,79,77,71,NaN,78,72,NaN,NaN,84,75,81,80,63,66,NaN,NaN,66,83,70,77,74,86,NaN,61,NaN,NaN,NaN,NaN,75,83,NaN,NaN,NaN,NaN,NaN
402630042,96,95,72,87,NaN,80,92,84,72,NaN,80,86,90,NaN,96,86,NaN,95,87,NaN,95,86,NaN,91,87,86,91,NaN,82,87,90,NaN,96,87,94,81,95,76,87,NaN,88,89,99,81,81,91,NaN,67,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN
