id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252610@應用倫理學@1@1,1253203@懷疑論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1253926@柏克萊@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@2,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1254107@自由意志與相關議題@1@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@2,1252306@語言哲學@2@1,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
403125047,68,53,90,61,NaN,NaN,NaN,60,NaN,NaN,NaN,90,NaN,66,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,43,49,64,NaN,60,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125048,85,93,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125049,75,81,85,74,71,NaN,NaN,87,NaN,NaN,NaN,92,NaN,60,60,NaN,70,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,15,39,70,NaN,64,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,57,73,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,-1
403125050,86,84,NaN,76,89,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,84,85,95,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,87,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,100,-1,NaN,NaN,78,89,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403125051,85,95,95,84,90,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,86,81,NaN,78,NaN,NaN,-1,NaN,83,NaN,NaN,NaN,NaN,84,72,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,65,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1
403125052,90,87,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,90,82,98,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125053,71,85,90,69,72,NaN,NaN,70,NaN,NaN,NaN,92,NaN,69,62,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,60,11,84,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,0,NaN,NaN,42,NaN,55,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1
403125054,76,79,NaN,77,89,NaN,NaN,65,75,NaN,NaN,NaN,NaN,76,61,90,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,50,60,60,40,NaN,NaN,8,NaN,NaN,NaN,NaN,77,NaN,NaN,66,NaN,NaN,NaN,60,67,NaN,52,NaN,67,65,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
403125055,86,92,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125058,99,77,NaN,81,82,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,99,85,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,85,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125059,NaN,64,NaN,67,67,NaN,NaN,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,75,67,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,34,18,70,NaN,28,49,75,NaN,NaN,NaN,NaN,NaN,64,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125057,96,68,NaN,74,81,NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,-1,70,NaN,60,60,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,100,78,72,67,84,85,75,NaN,NaN,NaN,NaN,NaN,68,75,NaN,NaN,-1,NaN,NaN,55,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403125061,NaN,54,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,75,79,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
403125060,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,95,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN
