id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252610@應用倫理學@1@1,1253203@懷疑論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1253926@柏克萊@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@2,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1254107@自由意志與相關議題@1@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@2,1252306@語言哲學@2@1,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254503@生物哲學概論@2@1
403125011,70,76,95,74,79,NaN,50,75,NaN,81,NaN,NaN,NaN,81,65,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,68,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,68,NaN,NaN,NaN,NaN,86,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1
403125012,72,80,NaN,71,78,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,82,76,95,72,41,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,63,48,NaN,NaN,60,50,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,77,NaN,NaN,NaN,NaN,0,67,NaN,NaN,NaN,68,60,88,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN
403125013,85,84,95,88,91,NaN,NaN,83,NaN,80,NaN,NaN,NaN,77,74,NaN,-1,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,25,71,81,NaN,82,NaN,NaN,NaN,50,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,86,88,NaN,NaN,NaN,NaN,65,NaN,80,NaN,70,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
403125014,68,77,NaN,67,85,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,70,-1,85,78,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,66,NaN,NaN,NaN,NaN,72,NaN,10,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,47,NaN,NaN,42,NaN,63,73,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN
403125015,75,85,85,72,79,NaN,NaN,66,NaN,NaN,NaN,92,NaN,80,86,NaN,71,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,65,65,87,69,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,80,67,NaN,71,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
403125016,84,89,NaN,72,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,85,73,90,80,68,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,82,NaN,NaN,71,NaN,NaN,NaN,NaN,79,NaN,NaN,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1
403125017,75,61,95,71,95,NaN,NaN,60,37,NaN,NaN,NaN,NaN,88,65,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,77,60,NaN,76,75,NaN,0,NaN,NaN,NaN,NaN,NaN,60,70,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1
403125018,76,80,NaN,80,92,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,79,60,85,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403125020,68,20,NaN,42,75,NaN,NaN,40,NaN,NaN,NaN,NaN,0,74,12,NaN,29,NaN,84,62,NaN,NaN,NaN,65,NaN,NaN,0,56,NaN,5,60,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,50,74,NaN,67,NaN,NaN,NaN,64,0,NaN,NaN,NaN,50,NaN,NaN,NaN,50,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1
403125021,84,96,90,86,94,NaN,NaN,90,NaN,NaN,90,NaN,NaN,89,92,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,81,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,NaN,83,80,NaN,90,82,NaN,NaN,NaN,76,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1
