id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251902@黑格爾@1@1,1251951@中國哲學概論@1@1,1252100@形上學@1@1,1252200@知識論@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252701@政治哲學@1@1,1253925@柏克萊@1@1,1254303@知覺@1@1,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1252305@心靈哲學@2@1,1252500@科學哲學@2@1,1252610@應用倫理學@2@1,1252909@羅素@2@1,1252932@海德格@2@1,1253609@後設倫理學@2@1,1253709@全球正義理論@2@1,1254012@批判思考與論證@2@1,1254401@模態邏輯@2@1,1252517@科學推理@1@1,1252907@羅爾斯@1@1,1253919@洛克@1@1,1254406@悖論@1@1,1251903@休謨@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252801@法律哲學@2@1,1252906@亞里斯多德@2@1,1252927@蒯因@2@1,1253104@二十世紀初期分析哲學@2@1,1253500@科學哲學@2@1,1254611@德性倫理學@2@1,1252608@美學概論@1@1,1252914@佛列格哲學@1@1,1253609@後設倫理學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1254606@情感哲學@1@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252608@美學概論@2@1,1252941@實踐理性：休謨與康德@2@1,1253514@科技與社會@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254707@價值論@2@1,1251911@哲學史（一）@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251407@基礎邏輯（下）@2@2,1252707@女性主義@2@1,1253618@道德推理@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252305@心靈哲學@1@1,1253618@道德推理@1@1,1254702@自由主義@1@1,1251904@馬克思@1@1,1252611@德性倫理學@1@1,1251912@哲學史（二）@2@1,1252600@倫理學@2@1,1252651@金融倫理學@2@1,1252701@政治哲學@2@1,1252929@霍布斯@2@1,1252958@宋明儒學@2@1,1253920@盧梭@2@1,1254501@科學哲學@2@1,1252801@法律哲學@1@1,1252906@亞里斯多德@1@1,1252910@笛卡爾@1@1,1252950@中國哲學概論@1@1,1252952@先秦儒家@1@1,1254335@數位哲學@1@1,1252959@魏晉玄學@2@1,1253002@宗教哲學@2@1,1253700@正義理論@2@1,1253918@奧古斯丁@2@1,1253919@洛克@2@1,1254603@演化與倫理@2@1,1251952@中國哲學概論@1@1,1252928@史賓諾沙@1@1,1253518@科學推理@1@1,1253706@權利與人權@1@1,1253956@明代心學@1@1,1254346@數位倫理學@1@1,1253916@柏拉圖對話錄@2@1,1254712@多元文化主義@2@1
497125054,92,93,90,97,93,98,99,96,NaN,NaN,96,NaN,93,96,92,NaN,97,NaN,NaN,91,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,96,NaN,NaN,91,92,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN
497125007,85,71,NaN,95,80,77,89,71,NaN,68,NaN,NaN,78,79,82,64,91,73,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,82,75,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
497125026,73,74,NaN,94,70,77,NaN,81,NaN,87,NaN,NaN,86,71,69,84,91,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,69,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,91,NaN,88,78
497125028,85,85,NaN,85,89,91,83,89,89,85,NaN,NaN,79,79,91,80,86,78,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,82,80,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN
497125042,70,67,NaN,94,78,75,76,63,26,67,NaN,NaN,95,70,84,84,24,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,28,50,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,61,88,78,NaN
497125008,85,86,NaN,NaN,88,86,96,81,88,NaN,NaN,NaN,83,92,77,76,NaN,73,60,NaN,NaN,83,NaN,77,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN
497125057,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,65,41,70,NaN,NaN,62,66,62,82,NaN,NaN,40,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,73,NaN,NaN,NaN
497125012,66,80,NaN,74,73,60,99,65,65,NaN,NaN,NaN,73,78,72,70,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,85,NaN,72,NaN,NaN,NaN,NaN,71,NaN,NaN,90,NaN,73
497125015,80,79,NaN,NaN,81,84,96,75,85,NaN,88,NaN,82,84,89,83,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,95,NaN,NaN,NaN,50,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,88,NaN,89,94,NaN,NaN,NaN,NaN,NaN,NaN,90,95,NaN
497125016,77,69,NaN,NaN,83,72,61,70,83,61,NaN,NaN,83,82,68,60,80,69,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,74,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,53,84,82,NaN
