id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252610@應用倫理學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1252100@形上學@1@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1253950@中國哲學概論@1@1,1254310@自我知識@1@1,1252306@語言哲學@2@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254304@知覺哲學@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1251010@哲學寫作@2@5,1251407@基礎邏輯（下）@2@2,1252603@理由論@2@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253210@信念倫理@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1251012@哲學概論（二）@2@2,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
402125052,82,76,NaN,74,NaN,NaN,85,NaN,85,68,90,65,74,-1,63,71,62,NaN,65,NaN,NaN,NaN,NaN,NaN,65,NaN,72,62,NaN,NaN,NaN,60,NaN,NaN,71,NaN,NaN,37,NaN,NaN,NaN,NaN,60,NaN,80,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402125053,90,76,90,81,NaN,NaN,77,NaN,83,71,NaN,64,NaN,NaN,NaN,81,78,NaN,82,76,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,80,NaN,70,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,75,NaN,87,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
402125054,94,80,NaN,75,87,NaN,NaN,NaN,89,73,90,65,NaN,-1,83,65,NaN,NaN,71,92,NaN,NaN,NaN,NaN,63,NaN,83,NaN,NaN,NaN,50,63,NaN,NaN,NaN,4,NaN,63,NaN,85,NaN,60,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,61,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN
402125055,78,65,65,72,NaN,82,NaN,NaN,79,60,NaN,74,NaN,NaN,NaN,61,91,NaN,71,NaN,90,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,75,71,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,75,NaN,81,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
402125008,92,94,NaN,89,NaN,NaN,92,NaN,90,89,70,93,NaN,-1,100,NaN,86,NaN,79,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,90,NaN,NaN,92,NaN,83,NaN,NaN,NaN,84,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
402125024,66,83,NaN,87,NaN,87,NaN,NaN,86,81,70,82,NaN,NaN,84,NaN,NaN,NaN,78,87,NaN,NaN,NaN,NaN,62,NaN,84,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,71,77,NaN,91,NaN,73,NaN,79,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125056,80,44,90,66,NaN,NaN,NaN,80,73,0,NaN,60,NaN,-1,69,73,60,NaN,60,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,78,50,65,54,43,NaN,NaN,NaN,NaN,NaN,77,50,NaN,NaN,50,60,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402125060,79,93,NaN,88,NaN,90,NaN,NaN,86,80,85,84,NaN,-1,70,NaN,71,NaN,79,87,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
402125057,NaN,NaN,85,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,82,80,64,81,84,92,NaN,NaN,71,NaN,NaN,91,NaN,80,72,NaN,85,NaN,65,NaN,89,NaN,NaN,NaN,90,NaN,95,93,NaN,87,NaN,NaN,NaN,NaN,94,76,NaN,95,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
402125058,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,62,50,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,64,0,NaN,-1,50,62,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,50,50,NaN,40,77,NaN,NaN,NaN,80,70,NaN,61,50,50,-1,NaN,NaN,30,40,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1
402125059,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,89,87,85,NaN,87,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,85,85,77,70,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402125061,99,95,NaN,100,NaN,NaN,50,NaN,NaN,NaN,95,100,NaN,NaN,100,73,98,83,85,98,NaN,NaN,NaN,NaN,NaN,NaN,100,85,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,98,NaN,NaN,NaN,NaN,NaN,92,80,75,100,NaN,50,60,99,NaN,100,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
402125062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,99,84,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,60,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,80,NaN,NaN,NaN,NaN,60,NaN,100,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1
