id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252306@語言哲學@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1253950@中國哲學概論@1@1,1254315@情感@1@1,1254707@價值論@1@1,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252010@哲學寫作@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1
405125026,66,NaN,32,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125027,83,NaN,67,82,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125028,80,NaN,35,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
405125032,72,NaN,86,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125033,85,NaN,66,92,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125037,94,NaN,88,93,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125040,63,NaN,79,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125045,82,NaN,49,83,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125048,92,NaN,86,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125049,97,NaN,78,93,90,NaN,83,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125053,80,NaN,66,84,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125054,80,NaN,79,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405125056,90,NaN,78,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405125001,NaN,90,86,93,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
