id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102155@線性代數@1@2,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4100007@商用軟體應用與設計@1@1,4101155@線性代數@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103080@作業系統設計與實作@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104011@影像處理概論@2@1,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102161@電腦軟體設計@2@1,4104052@嵌入式系統軟體設計與實作@2@1,4104801@專題實驗（二）@2@1,4103061@數值分析@2@1,4102170@統計學@2@1
400410041,85,NaN,71,NaN,71,NaN,NaN,NaN,90,NaN,68,82,NaN,NaN,89,NaN,NaN,NaN,89,NaN,NaN,71,NaN,NaN,78,84,NaN,73,69,NaN,77,79,NaN,89,88,NaN,83,NaN,81,75,NaN,85,NaN,78,87,90,NaN,86,NaN,70,NaN,NaN,NaN,72,73,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410042,84,NaN,60,NaN,60,NaN,NaN,65,NaN,NaN,NaN,75,NaN,NaN,77,NaN,10,NaN,77,NaN,90,65,NaN,NaN,79,NaN,96,60,70,NaN,62,NaN,66,73,NaN,91,63,NaN,62,78,NaN,NaN,NaN,68,69,NaN,NaN,NaN,73,77,77,NaN,NaN,69,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410043,75,53,78,53,78,NaN,NaN,NaN,NaN,80,58,69,NaN,43,86,43,86,NaN,NaN,NaN,NaN,83,NaN,81,97,NaN,95,84,NaN,71,74,NaN,81,71,89,NaN,82,NaN,87,71,73,82,94,NaN,89,NaN,NaN,81,NaN,60,NaN,NaN,NaN,70,NaN,94,NaN,NaN,NaN,92,NaN,NaN,74,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
400410044,80,NaN,86,NaN,86,NaN,NaN,NaN,NaN,NaN,96,NaN,90,NaN,92,NaN,92,NaN,NaN,NaN,90,97,NaN,NaN,100,93,NaN,86,NaN,91,99,93,NaN,97,92,NaN,NaN,82,90,89,NaN,NaN,99,NaN,NaN,99,86,95,NaN,81,NaN,NaN,NaN,85,NaN,92,95,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
400410045,82,NaN,74,NaN,NaN,NaN,74,70,NaN,80,NaN,69,NaN,73,59,NaN,NaN,73,59,NaN,NaN,91,81,NaN,63,96,NaN,68,60,NaN,74,NaN,63,76,71,NaN,61,19,78,-1,-1,-1,NaN,60,NaN,77,67,73,NaN,62,37,NaN,29,NaN,72,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,NaN
400410046,78,NaN,77,NaN,NaN,NaN,77,NaN,NaN,NaN,86,77,NaN,NaN,99,NaN,NaN,NaN,99,90,NaN,74,NaN,NaN,63,NaN,98,79,NaN,80,88,82,NaN,63,NaN,90,97,NaN,91,74,NaN,NaN,NaN,73,92,88,NaN,NaN,88,77,NaN,NaN,NaN,73,NaN,89,NaN,NaN,NaN,NaN,90,NaN,65,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410047,81,NaN,74,NaN,74,NaN,NaN,60,90,NaN,NaN,75,NaN,NaN,77,NaN,77,NaN,NaN,NaN,NaN,82,NaN,NaN,64,96,NaN,79,NaN,76,64,70,NaN,72,NaN,91,83,NaN,72,83,80,69,37,71,87,93,NaN,NaN,80,70,NaN,NaN,NaN,73,NaN,85,74,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
400410048,80,NaN,73,NaN,NaN,NaN,73,NaN,NaN,NaN,87,NaN,79,NaN,91,NaN,NaN,NaN,91,90,NaN,80,NaN,NaN,73,NaN,89,76,NaN,74,75,NaN,75,60,NaN,88,71,NaN,84,89,NaN,90,NaN,77,100,96,NaN,81,NaN,80,NaN,NaN,NaN,NaN,NaN,95,87,90,NaN,NaN,NaN,NaN,81,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410049,88,79,NaN,79,NaN,NaN,NaN,NaN,90,NaN,70,67,NaN,81,NaN,81,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,70,NaN,98,74,NaN,75,63,60,NaN,67,90,NaN,NaN,74,80,70,NaN,NaN,NaN,63,80,80,78,NaN,73,72,NaN,NaN,NaN,76,81,NaN,60,80,NaN,NaN,NaN,NaN,68,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400410050,83,65,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,68,71,NaN,95,NaN,95,NaN,NaN,NaN,NaN,90,83,NaN,NaN,75,NaN,98,72,80,NaN,74,75,NaN,82,91,NaN,63,NaN,79,67,NaN,75,NaN,74,83,94,80,NaN,97,73,NaN,NaN,NaN,74,NaN,95,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN
400410051,76,70,NaN,NaN,NaN,70,NaN,NaN,NaN,90,67,79,NaN,79,NaN,NaN,NaN,79,NaN,NaN,NaN,86,NaN,NaN,75,96,NaN,60,69,NaN,79,66,NaN,62,71,NaN,66,NaN,73,65,81,NaN,NaN,66,66,NaN,NaN,62,NaN,78,77,NaN,73,NaN,NaN,60,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
