id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251406@基礎邏輯（上）@1@2,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252200@知識論@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251407@基礎邏輯（下）@2@2,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252306@語言哲學@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1252305@心靈哲學@1@1,1252306@語言哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1,1254503@生物哲學概論@2@1
404125020,84,NaN,77,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,84,NaN,62,NaN,85,82,NaN,NaN,NaN,NaN,NaN,NaN,68,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125021,92,NaN,87,NaN,80,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,87,NaN,84,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN
404125022,87,NaN,NaN,65,NaN,75,NaN,NaN,NaN,78,21,NaN,NaN,NaN,NaN,83,NaN,NaN,15,85,73,NaN,NaN,NaN,NaN,0,NaN,81,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
404125024,96,NaN,NaN,93,NaN,95,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,99,NaN,NaN,98,90,96,NaN,NaN,NaN,95,99,NaN,95,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404125027,81,NaN,86,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,83,NaN,73,NaN,NaN,80,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
404125030,80,NaN,76,NaN,NaN,31,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,21,75,NaN,-1,NaN,-1,37,NaN,-1,NaN,76,NaN,NaN,83,84,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
404125033,84,NaN,73,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,83,NaN,74,NaN,NaN,68,NaN,NaN,NaN,NaN,82,NaN,78,75,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
404125034,80,NaN,NaN,76,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,72,NaN,60,NaN,95,73,NaN,-1,NaN,NaN,80,NaN,69,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
404125038,75,NaN,72,NaN,NaN,71,NaN,NaN,NaN,81,86,NaN,NaN,NaN,NaN,84,NaN,55,NaN,95,84,NaN,NaN,NaN,75,NaN,NaN,73,77,NaN,NaN,NaN,80,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
404125042,84,NaN,68,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,82,NaN,77,NaN,85,83,NaN,NaN,NaN,NaN,74,NaN,60,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
