id,1251011@哲學概論（一）@1@1,1251406@基礎邏輯（上）@1@1,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252100@形上學@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251012@哲學概論（二）@2@1,1251407@基礎邏輯（下）@2@1,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252305@心靈哲學@2@1,1252306@語言哲學@2@1,1252603@理由論@2@1,1252610@應用倫理學@2@1,1252801@法律哲學@2@1,1252200@知識論@1@1,1252305@心靈哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252608@美學概論@1@1,1252701@政治哲學@1@1,1252914@佛列格哲學@1@1,1253950@中國哲學概論@1@1,1254505@生物哲學：演化論的哲學問題@1@1,1251205@批判思考與論證@2@1,1252500@科學哲學@2@1,1252928@史賓諾沙@2@1,1253705@權利與義務@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254304@知覺哲學@2@1,1254408@條件句@2@1,1254602@演化倫理學@2@1,1252610@應用倫理學@1@1,1252923@尼采@1@1,1253203@懷疑論@1@1,1253506@物理論@1@1,1253701@正義理論@1@1,1253923@彌爾@1@1,1254306@概念論@1@1,1254310@自我知識@1@1,1252402@後設邏輯@2@1,1252608@美學概論@2@1,1252701@政治哲學@2@1,1252941@實踐理性：休謨與康德@2@1,1253500@科學哲學@2@1,1253514@科技與社會@2@1,1253926@柏克萊@2@1,1253930@早期維根斯坦與邏輯實證論@2@1,1253934@女性主義哲學家：漢娜. 鄂蘭@2@1,1254618@腦神經倫理學@2@1,1254707@價值論@2@1,1254715@當代倫理學爭辯@2@1,1252907@羅爾斯@1@1,1252922@康德@1@1,1253205@懷疑論及其批評@1@1,1253610@道德心理學@1@1,1253937@存在主義@1@1,1254107@自由意志與相關議題@1@1,1252707@女性主義@2@1,1252909@羅素@2@1,1253545@自然哲學家：達爾文@2@1,1253618@道德推理@2@1,1253923@彌爾@2@1,1254113@當代分析哲學重要議題選讀@2@1,1252306@語言哲學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1254707@價值論@1@1,1252100@形上學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253006@假設性思考@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1254503@生物哲學概論@2@1
401125011,82,83,85,70,87,NaN,NaN,NaN,90,95,77,NaN,68,NaN,82,NaN,86,NaN,66,82,NaN,75,76,NaN,NaN,75,NaN,NaN,64,NaN,NaN,75,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,71,NaN,NaN,80,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125012,82,74,NaN,78,72,NaN,NaN,80,NaN,72,80,85,83,NaN,NaN,NaN,74,NaN,84,66,61,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125013,87,79,85,79,74,84,NaN,NaN,NaN,97,79,NaN,82,NaN,NaN,NaN,79,NaN,63,67,NaN,85,77,NaN,NaN,76,NaN,NaN,67,NaN,NaN,76,NaN,NaN,NaN,NaN,93,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,80,NaN,NaN,NaN,NaN,90,85,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125014,94,90,NaN,73,88,90,NaN,NaN,NaN,98,91,90,70,72,91,NaN,90,NaN,63,NaN,70,84,NaN,NaN,NaN,96,NaN,NaN,NaN,85,NaN,NaN,100,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,73,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,91,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125015,77,74,85,82,90,NaN,85,NaN,NaN,83,71,NaN,72,NaN,94,NaN,86,NaN,76,NaN,80,78,NaN,75,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,82,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125016,94,97,NaN,92,91,NaN,NaN,90,NaN,93,96,90,90,NaN,NaN,NaN,95,NaN,91,100,99,98,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,100,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,89,NaN,NaN,95,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125017,98,100,85,90,93,92,NaN,NaN,NaN,90,100,NaN,90,NaN,64,80,NaN,NaN,86,82,86,92,NaN,NaN,85,74,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,83,NaN,89,77,NaN,NaN,NaN,78,60,NaN,NaN,NaN,NaN,83,71,70,NaN,NaN,85,NaN,85,NaN,NaN,NaN,74,NaN,88,NaN,79,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125018,76,67,NaN,73,66,NaN,NaN,83,NaN,83,67,85,74,NaN,NaN,NaN,85,NaN,70,66,NaN,76,67,NaN,80,65,NaN,NaN,67,NaN,NaN,71,78,NaN,60,NaN,80,NaN,NaN,NaN,NaN,NaN,69,46,NaN,84,NaN,NaN,69,NaN,NaN,60,75,NaN,73,50,NaN,NaN,NaN,70,75,NaN,NaN,78,NaN,65,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125019,79,79,85,84,79,NaN,NaN,87,NaN,85,70,NaN,83,NaN,NaN,NaN,90,NaN,68,80,NaN,76,NaN,NaN,70,NaN,60,78,60,NaN,NaN,90,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,93,75,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401125020,85,93,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
