id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5302203@資料結構@1@1,5302218@科技法律@1@1,5302221@醫療資訊管理概論@1@1,5303101@管理科學概論@1@1,5303210@資訊安全@1@1,5303228@作業系統@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303216@人工智慧與專家系統@2@1,5304214@顧客關係管理@2@1
404530030,79,70,NaN,64,70,70,65,81,NaN,86,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404530031,73,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530032,71,60,NaN,80,95,74,78,88,90,92,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
404530033,80,61,80,76,77,NaN,71,80,90,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530034,81,75,NaN,86,82,71,91,87,90,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530035,82,80,80,73,84,NaN,87,83,90,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530036,32,27,NaN,59,77,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530037,66,69,80,66,64,NaN,76,86,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530038,65,62,NaN,-1,78,74,74,80,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404530039,84,68,80,30,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530040,89,88,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530041,71,67,80,79,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404530043,76,68,85,61,93,NaN,71,80,90,92,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530044,80,64,NaN,-1,61,70,53,78,90,86,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
404530045,77,61,85,81,76,NaN,73,76,NaN,86,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404530046,81,63,NaN,82,84,72,95,86,NaN,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404530047,72,63,75,72,78,NaN,78,79,NaN,86,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
