id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303392@英國政府與政治@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302411@國際人權與女權@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301152@棒球政治學@2@1,3301511@政治社會學@2@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302920@社會企業發展與實作@2@1,3302930@初級政治學德語(一)@2@1,3303502@公共人力資源管理@2@1,3304321@國際談判與協商@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3302931@初級政治學德語（二）@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303361@組織理論與行為@1@1,3303460@公共人事行政導論@1@1,3303641@當代中國社會@1@1,3304370@公共管理@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302401@政治意識型態@2@1,3302411@國際人權與女權@2@1,3302932@初級政治學德語（三）@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304333@環境政治@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304340@台灣政經發展@2@1,3304641@危機管理@2@1,3301511@政治社會學@1@1,3302933@初級政治學德語（四）@1@1,3303421@財務行政@1@1,3304321@國際談判與協商@1@1,3304390@全球化@1@1,3304612@國際倫理學@1@1,3302934@初級政治學德語（五）@2@1,3302940@公民教育@2@1,3303022@公共政策個案分析@2@1,3303503@危機管理@2@1
402330044,83,74,87,NaN,85,79,100,NaN,92,89,92,NaN,91,90,100,84,NaN,NaN,94,87,98,94,NaN,NaN,87,NaN,92,NaN,NaN,NaN,95,NaN,93,92,92,96,NaN,87,87,NaN,94,NaN,95,NaN,NaN,NaN,NaN,93,80,84,96,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,87,87,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330045,78,73,NaN,75,96,86,100,75,NaN,69,79,NaN,90,84,100,NaN,NaN,NaN,80,76,86,83,NaN,NaN,NaN,80,89,NaN,NaN,NaN,NaN,NaN,91,74,71,77,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,63,NaN,67,78,82,NaN,88,NaN,NaN,NaN,NaN,NaN,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330046,69,70,70,NaN,71,68,90,NaN,NaN,72,73,NaN,-1,82,100,80,NaN,NaN,61,66,94,72,NaN,76,75,77,NaN,NaN,NaN,NaN,82,NaN,88,77,63,70,NaN,80,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,53,60,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
402330047,82,87,94,NaN,81,87,100,82,NaN,77,95,NaN,97,78,100,NaN,NaN,NaN,93,82,98,92,74,93,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,93,88,98,80,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,85,NaN,NaN,NaN,NaN,82,NaN,87,92,NaN,NaN,75,87,96,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330048,85,76,94,NaN,91,76,90,NaN,NaN,85,98,NaN,87,90,100,85,NaN,NaN,91,79,95,83,76,88,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,86,81,94,91,78,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN
402330049,92,78,NaN,73,65,66,100,80,NaN,86,NaN,85,81,84,100,NaN,NaN,NaN,88,87,98,88,NaN,95,89,89,NaN,NaN,NaN,NaN,86,NaN,94,82,98,84,NaN,89,89,NaN,NaN,NaN,NaN,86,NaN,NaN,75,NaN,83,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,94,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN
402330050,80,70,NaN,65,73,60,100,NaN,NaN,74,96,NaN,68,68,90,80,NaN,NaN,83,73,97,83,60,86,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,91,82,77,76,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,69,NaN,NaN,NaN,NaN,62,NaN,NaN,95,NaN,48,-1,61,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN
402330004,NaN,60,84,NaN,NaN,78,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402330053,67,100,NaN,72,71,43,100,NaN,NaN,66,NaN,70,81,-1,100,-1,NaN,NaN,67,65,49,68,NaN,82,84,78,NaN,NaN,NaN,NaN,NaN,NaN,86,60,-1,60,NaN,-1,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,74,NaN,NaN,NaN,NaN
402330052,NaN,94,78,NaN,77,78,100,91,NaN,NaN,70,NaN,73,80,100,NaN,NaN,NaN,87,66,71,89,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,94,80,79,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,70,NaN,88,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,95,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,-1
402330054,74,100,69,NaN,86,NaN,100,90,NaN,NaN,NaN,78,84,NaN,100,NaN,87,NaN,73,77,73,NaN,64,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,78,72,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,51,60,69,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,85,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
