id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102141@社會團體工作導論@1@1,3102151@社會工作概論@1@1,3103069@方案設計與評估@1@1,3103088@樂活呷百二－高齡化社會問題與對策@1@1,3101022@社會學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3102152@社會工作管理@2@1,3102153@長期照護保險與財務@2@1,3103035@社會福利行政@2@1,3101053@健康保險概論@1@1,3102143@人類行為與社會環境@1@1,3102155@非營利組織管理@1@1,3103014@社會研究法（一）@1@1,3103016@社會福利財政@1@1,3103075@社會福利區位分析@1@1,3103090@社會風險管理導論@1@1,3104025@社會政策與立法@1@1,3104057@社會保險財務@1@1,3101024@經濟學（二）@2@1,3102156@障礙研究：理論與議題@2@1,3103018@社會研究法（二）@2@1,3103031@社會福利資料分析@2@1,3103042@社會不均@2@1,3103066@家庭政策@2@1,3103077@社會福利實習（一）：A組@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3104058@福利國家發展@2@1,3102157@高齡社會：機會與挑戰@1@1,3102158@社會福利區位分析@1@1,3103092@社會福利服務@1@1,3104051@社會福利實習（二）：A組@1@1,3104052@社會福利實習（二）：B組@1@1,3104053@社會福利實習（二）：C組@1@1,3104059@健康與現代社會@1@1,3101054@心理學@2@1,3102159@貧窮與福祉@2@1,3102160@公益創投與社會企業@2@1,3103071@健康保險理論與實務@2@1,3104060@長期照護制度@2@1,3101054@心理學@1@1,3102161@兒童褔利服務@1@1,3103093@社會保險財務@1@1,3104902@社會政策與社會立法@1@1,3102012@社會福利經濟分析@2@1,3101048@非營利組織管理@1@1,3101049@社會福利資訊管理@1@1,3101013@人口學@2@1,3101048@非營利組織管理@2@1
499310019,85,81,72,89,60,69,77,74,74,NaN,66,67,80,64,80,80,79,82,78,NaN,71,NaN,82,NaN,63,62,87,NaN,83,NaN,71,NaN,75,NaN,83,NaN,NaN,90,NaN,81,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN
499310020,88,75,71,73,70,71,67,60,77,NaN,64,63,60,72,60,NaN,74,82,64,NaN,65,NaN,NaN,NaN,70,68,30,NaN,65,NaN,62,NaN,77,NaN,60,NaN,NaN,NaN,NaN,82,77,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,81,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN
499310021,90,87,74,80,88,91,88,91,88,NaN,78,73,67,94,87,86,88,93,87,NaN,77,NaN,81,NaN,80,81,NaN,86,88,NaN,73,NaN,89,NaN,88,86,NaN,NaN,86,89,NaN,NaN,NaN,NaN,90,NaN,91,80,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79
499310022,89,85,76,78,91,91,85,79,85,NaN,85,76,87,90,88,80,93,85,80,NaN,94,84,84,NaN,84,93,90,NaN,78,NaN,92,NaN,88,NaN,90,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
499310023,81,82,77,80,70,79,85,76,84,NaN,72,71,NaN,62,73,84,70,86,74,NaN,72,NaN,74,NaN,74,70,NaN,NaN,83,NaN,66,NaN,82,NaN,81,79,75,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66
499310024,81,71,67,69,61,60,75,66,60,NaN,60,56,0,40,60,NaN,77,63,54,NaN,71,NaN,67,NaN,52,61,72,NaN,65,NaN,60,NaN,62,60,60,NaN,NaN,NaN,NaN,85,NaN,50,NaN,NaN,NaN,NaN,60,NaN,NaN,50,NaN,40,NaN,73,77,NaN,NaN,82,NaN,NaN,NaN
499310025,89,87,78,78,82,87,86,81,86,NaN,74,70,81,82,83,85,88,92,87,NaN,95,NaN,79,NaN,86,92,90,NaN,83,NaN,72,NaN,86,NaN,85,NaN,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,66
499310026,84,79,80,82,81,80,83,88,94,NaN,79,77,80,89,83,82,86,88,91,NaN,88,NaN,82,NaN,81,91,86,NaN,82,NaN,72,NaN,88,NaN,82,90,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN
499310027,84,77,80,86,78,83,80,73,83,NaN,73,74,NaN,80,74,78,82,86,79,NaN,82,NaN,NaN,NaN,81,84,91,90,93,87,74,NaN,88,87,83,84,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499310028,81,97,69,79,81,90,67,NaN,61,NaN,72,65,85,64,68,NaN,71,NaN,71,NaN,79,NaN,70,NaN,72,75,NaN,NaN,NaN,NaN,72,80,77,NaN,77,NaN,NaN,NaN,NaN,85,NaN,NaN,80,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,84,82,NaN,85,73,55
499310029,84,87,76,80,89,89,88,87,88,NaN,76,78,NaN,90,89,91,91,90,NaN,NaN,92,NaN,85,NaN,82,95,86,NaN,88,94,88,NaN,90,NaN,88,93,92,NaN,NaN,88,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,68
499310030,80,65,69,73,70,66,73,61,74,NaN,60,62,70,64,60,NaN,79,87,62,NaN,80,73,NaN,NaN,63,78,65,NaN,60,NaN,52,NaN,73,0,67,NaN,NaN,NaN,NaN,69,63,NaN,NaN,NaN,NaN,NaN,72,NaN,30,78,NaN,40,NaN,77,NaN,NaN,NaN,74,30,NaN,NaN
499310031,83,67,82,76,82,74,60,87,60,NaN,67,69,60,63,73,NaN,80,87,66,NaN,61,NaN,NaN,NaN,66,67,NaN,NaN,60,NaN,61,NaN,69,NaN,60,NaN,NaN,NaN,NaN,70,60,NaN,NaN,NaN,NaN,NaN,NaN,61,NaN,60,NaN,NaN,NaN,60,NaN,NaN,64,66,NaN,NaN,NaN
499310032,86,81,72,83,60,77,75,74,81,NaN,66,64,71,64,69,83,73,87,73,NaN,76,NaN,73,NaN,68,69,80,80,78,NaN,70,NaN,81,NaN,76,NaN,NaN,NaN,87,89,76,NaN,NaN,NaN,NaN,81,NaN,75,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,70
