id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302002@民法繼承@2@1,6303015@金融法@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302012@營業稅法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6304016@著作權法@1@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6302024@法學英文@2@1,6302025@所得稅法@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303020@信託法@2@1,6303042@破產法暨消費者債務清理條例@2@1,6304006@證券交易法@2@1
404630023,80,73,77,89,88,81,90,64,NaN,NaN,60,NaN,53,83,89,71,81,NaN,88,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
404630024,85,75,83,NaN,NaN,77,87,68,NaN,77,-1,NaN,80,83,91,78,83,92,73,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN
404630025,89,81,85,NaN,92,86,91,83,NaN,NaN,-1,NaN,96,92,NaN,84,NaN,NaN,93,79,-1,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
404630026,82,73,61,NaN,NaN,76,89,64,NaN,87,-1,NaN,66,77,80,73,60,NaN,75,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404630027,91,87,72,NaN,88,72,95,63,NaN,NaN,-1,NaN,79,84,85,79,72,94,83,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN
404630028,58,60,55,NaN,NaN,-1,80,0,NaN,74,-1,NaN,50,72,70,63,77,NaN,60,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630029,82,81,70,NaN,92,75,74,68,-1,NaN,64,NaN,74,78,82,82,78,NaN,84,80,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404630030,94,89,66,NaN,NaN,77,82,65,79,87,61,NaN,83,88,91,84,81,NaN,93,82,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
404630032,85,81,95,86,NaN,78,84,68,84,74,-1,NaN,74,80,90,81,60,NaN,85,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404630034,86,75,68,NaN,NaN,72,89,64,NaN,87,-1,NaN,80,82,75,74,85,NaN,72,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404630035,86,91,61,NaN,85,87,81,66,NaN,NaN,-1,NaN,76,90,92,82,74,NaN,84,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN
404630036,95,89,72,NaN,NaN,89,85,80,NaN,87,77,NaN,99,82,83,83,94,98,97,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
404630037,77,84,65,NaN,90,69,81,65,-1,NaN,60,NaN,74,85,70,78,76,94,84,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404630038,88,85,71,NaN,NaN,71,86,68,NaN,74,67,-1,68,87,86,74,82,NaN,75,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
404630039,89,85,76,NaN,92,74,81,75,NaN,NaN,66,NaN,72,78,80,80,84,60,94,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN
