id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@2,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302004@國際公法（二）@2@2,6302025@所得稅法@2@1,6302003@國際公法（一）@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6303009@票據法@1@1,6304016@著作權法@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302020@民法債編總論（二）@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303035@兩岸信託法@2@1,6304006@證券交易法@2@1,6302012@營業稅法@1@1,6303001@民法債編各論（一）@1@1,6303008@商事法總論及公司法@1@1,6303021@刑事訴訟法（一）@1@1,6303024@稅法總論@1@1,6303036@商標法@1@1,6304005@強制執行法@1@1,6304006@證券交易法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304036@智慧財產權法實例演習@1@1,6302024@法學英文@2@1,6303002@民法債編各論（二）@2@1,6303015@金融法@2@1,6303022@刑事訴訟法（二）@2@1,6303033@稅捐稽徵法@2@1,6303034@法律倫理學@2@1,6303037@專利法@2@1,6303041@國際經濟法導論@2@1,6303042@破產法暨消費者債務清理條例@2@1,6304008@國際私法（二）@2@1
403630018,86,90,82,NaN,NaN,76,NaN,95,86,81,NaN,89,NaN,86,76,79,87,NaN,83,73,NaN,81,79,70,97,75,-1,80,NaN,NaN,NaN,71,71,71,80,60,76,NaN,80,NaN,87,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,-1
403630019,78,92,65,92,80,93,NaN,75,90,77,NaN,NaN,NaN,93,84,86,92,93,96,96,NaN,90,88,83,95,89,NaN,NaN,NaN,NaN,NaN,98,85,79,98,74,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403630020,78,76,60,83,NaN,76,NaN,73,91,73,85,86,NaN,80,81,83,77,68,81,NaN,NaN,73,80,81,77,82,74,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403630021,61,88,60,NaN,77,65,NaN,61,84,64,NaN,NaN,NaN,70,72,68,83,NaN,68,84,NaN,62,79,72,87,73,-1,-1,NaN,NaN,85,74,83,77,78,63,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
403630022,84,90,70,NaN,NaN,87,88,70,94,80,NaN,86,NaN,80,NaN,73,96,NaN,82,80,NaN,67,85,78,92,78,75,79,NaN,NaN,NaN,69,82,79,98,60,77,NaN,90,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,-1
403630023,72,80,71,65,81,79,NaN,61,88,84,NaN,NaN,84,87,80,85,80,NaN,82,98,76,81,NaN,79,84,86,-1,87,NaN,NaN,NaN,86,82,76,80,71,84,NaN,89,NaN,87,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN
403630024,88,82,65,NaN,NaN,78,NaN,76,86,75,NaN,86,NaN,90,79,87,92,NaN,92,93,NaN,87,83,82,83,81,84,89,NaN,NaN,NaN,86,82,79,95,72,89,NaN,NaN,NaN,86,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN
403630025,70,74,55,NaN,87,65,NaN,82,80,63,NaN,NaN,NaN,NaN,60,66,60,90,91,80,NaN,61,72,60,70,71,-1,NaN,NaN,NaN,NaN,72,73,60,75,64,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
403630026,88,92,88,NaN,NaN,98,NaN,77,93,75,NaN,86,NaN,92,90,85,97,96,96,99,NaN,99,91,87,98,86,-1,91,NaN,NaN,NaN,93,93,80,98,80,NaN,NaN,94,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1
403630027,84,80,80,NaN,80,68,NaN,74,85,83,NaN,NaN,NaN,66,56,75,90,74,88,78,NaN,67,75,70,90,72,64,73,72,NaN,NaN,68,75,69,65,63,80,NaN,85,NaN,86,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,-1
403630028,75,84,55,NaN,NaN,60,NaN,66,95,69,NaN,86,NaN,71,75,61,83,NaN,63,62,NaN,60,74,62,76,65,-1,-1,NaN,NaN,90,65,64,73,87,46,78,NaN,76,NaN,87,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,-1
403630029,62,86,60,73,80,71,NaN,60,85,61,81,NaN,NaN,91,75,77,85,NaN,72,89,71,80,83,81,84,77,-1,83,NaN,NaN,95,81,84,79,88,61,NaN,NaN,NaN,83,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
403630030,93,92,75,74,NaN,80,82,92,86,70,NaN,83,NaN,73,NaN,78,91,NaN,93,NaN,NaN,68,79,75,80,95,-1,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN
403630031,87,76,80,NaN,80,98,64,81,93,79,NaN,NaN,NaN,74,NaN,78,98,NaN,92,83,NaN,84,82,73,95,75,79,81,NaN,NaN,NaN,81,79,77,98,62,84,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,NaN
403630032,72,78,45,NaN,NaN,NaN,NaN,70,88,69,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403630033,83,82,87,93,80,85,NaN,68,88,80,93,NaN,NaN,NaN,83,81,81,99,85,87,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,93,79,86,80,98,62,79,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,NaN
