id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901101@運動心理學@1@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3901888@學系服務學習@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902105@運動社會學@1@1,3903109@運動教練學@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904113@跆拳道@1@1,3904121@安全教育與急救@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901102@運動教育學@2@1,3901103@體育學原理@2@1,3901888@學系服務學習@2@1,3902002@運動傷害與急救@2@1,3902106@運動管理學@2@1,3902113@瑜珈@2@1,3903101@體適能與運動處方@2@1,3903104@運動營養學@2@1,3903112@游泳@2@1,3903116@高爾夫@2@1,3903117@有氧舞蹈@2@1,3904116@排球@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902010@運動專業實習（一）@1@1,3902103@運動生理學@1@1,3902112@國術@1@1,3903001@專長術科（五）@1@1,3903103@運動選材學@1@1,3903115@桌球@1@1,3903118@運動健康促進@1@1,3904008@運動資訊處理（二）@1@1,3904103@體育統計學@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3902011@運動專業實習（二）@2@1,3902018@專長術科（四）-田徑@2@1,3902019@專長術科（四）-游泳@2@1,3902020@專長術科（四）-網球@2@1,3902021@專長術科（四）-羽球@2@1,3902022@專長術科（四）-高爾夫@2@1,3902023@專長術科（四）-跆拳道@2@1,3902024@專長術科（四）-射箭@2@1,3902025@專長術科（四）-定向越野@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3903007@運動資訊處理@2@1,3903019@專長術科（六）-羽球@2@1,3903102@運動技術分析@2@1,3903114@網球@2@1,3904117@羽球@2@1,3904123@運動健康心理學@2@1,3903008@專長術科（五）-田徑@1@1,3903009@專長術科（五）-游泳@1@1,3903010@專長術科（五）-網球@1@1,3903011@專長術科（五）-羽球@1@1,3903013@專長術科（五）-跆拳道@1@1,3903014@專長術科（五）-射箭@1@1,3903015@專長術科（五）-定向越野@1@1,3903024@專長術科（五）-綜合@1@1,3903105@運動行銷學@1@1,3903106@運動按摩學@1@1,3903119@運動專業實習（三）@1@1,3904012@專長術科（七）-羽球@1@1,3903005@體育英文@2@1,3903016@專長術科（六）-田徑@2@1,3903017@專長術科（六）-游泳@2@1,3903018@專長術科（六）-網球@2@1,3903021@專長術科（六）-跆拳道@2@1,3903022@專長術科（六）-射箭@2@1,3903023@專長術科（六）-定向越野@2@1,3903025@專長術科（六）-綜合@2@1,3903120@運動專業實習（四）@2@1,3904020@專長術科（八）-羽球@2@1,3904118@體育課程設計@2@1
403736016,70,86,86,75,83,NaN,NaN,NaN,60,NaN,NaN,NaN,87,92,NaN,87,NaN,NaN,76,90,86,NaN,NaN,80,92,81,95,83,91,87,-1,NaN,NaN,67,89,87,93,86,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,89,NaN,-1,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736017,70,87,70,68,79,94,NaN,70,60,NaN,NaN,84,NaN,NaN,NaN,90,NaN,76,78,88,NaN,NaN,NaN,NaN,NaN,78,90,NaN,NaN,80,86,NaN,84,65,84,82,83,NaN,NaN,NaN,65,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403736019,72,84,82,NaN,NaN,82,72,70,86,NaN,87,80,80,70,NaN,81,85,84,70,83,86,85,NaN,NaN,85,83,80,83,NaN,92,-1,-1,NaN,67,80,89,86,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,83,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,-1,NaN,NaN,78,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,74,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736020,71,87,84,NaN,NaN,80,NaN,NaN,60,NaN,85,80,89,90,NaN,90,90,86,71,87,83,79,NaN,80,94,82,95,86,-1,88,88,NaN,NaN,72,85,91,79,75,NaN,NaN,75,NaN,NaN,NaN,NaN,82,90,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,83,NaN,-1,-1,NaN,86,-1,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,91,95,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736021,66,91,82,70,NaN,NaN,78,70,60,NaN,NaN,0,78,0,NaN,92,66,52,67,88,86,NaN,NaN,NaN,70,NaN,NaN,NaN,78,92,NaN,NaN,NaN,62,65,88,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,-1,NaN,79,NaN,NaN,-1,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,86,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403736022,84,94,81,78,83,86,NaN,NaN,94,NaN,96,83,85,90,NaN,89,NaN,86,83,87,83,77,85,80,91,93,96,98,89,90,-1,-1,NaN,77,85,89,98,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,86,NaN,-1,-1,NaN,-1,99,-1,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,91,95,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736023,76,89,83,84,NaN,84,NaN,70,85,NaN,89,NaN,76,90,NaN,90,87,NaN,88,86,85,95,NaN,NaN,95,87,NaN,-1,85,-1,85,NaN,85,64,86,90,85,86,NaN,NaN,NaN,NaN,NaN,90,NaN,86,91,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,87,NaN,-1,NaN,78,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
403736024,80,91,85,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,91,NaN,NaN,84,89,87,NaN,NaN,80,NaN,NaN,NaN,96,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403736027,80,91,81,NaN,NaN,NaN,96,70,92,NaN,NaN,86,NaN,NaN,NaN,89,90,NaN,89,88,83,94,90,NaN,95,NaN,NaN,NaN,-1,-1,85,NaN,84,80,72,91,NaN,NaN,NaN,NaN,83,96,NaN,NaN,93,86,86,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,76,86,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,83,95,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
403736031,80,80,86,NaN,NaN,NaN,92,70,88,83,NaN,85,NaN,NaN,NaN,90,NaN,88,86,89,86,NaN,NaN,NaN,92,76,NaN,NaN,-1,-1,84,90,86,76,80,91,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,96,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,-1,NaN,NaN,NaN,-1,95,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,95,93,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736032,60,81,90,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,78,80,80,NaN,88,96,79,65,83,90,NaN,80,80,80,NaN,90,NaN,NaN,82,NaN,NaN,84,62,85,91,83,87,NaN,80,NaN,NaN,80,NaN,NaN,68,77,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,-1,81,NaN,73,85,89,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,85,60,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403736033,80,86,92,86,NaN,NaN,NaN,70,60,NaN,NaN,85,84,NaN,80,NaN,NaN,NaN,73,87,92,NaN,86,NaN,84,82,86,87,93,85,NaN,NaN,82,68,92,91,82,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,82,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,88,93,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403736034,72,81,85,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,71,81,84,92,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403736035,75,94,82,NaN,NaN,NaN,83,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,29,65,94,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,82,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403736036,73,82,84,66,86,82,NaN,NaN,60,NaN,NaN,79,89,92,NaN,85,NaN,NaN,69,84,84,81,NaN,80,90,68,88,84,NaN,85,78,NaN,83,64,90,73,88,NaN,NaN,NaN,19,93,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,78,-1,NaN,NaN,-1,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,63,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403736037,75,83,NaN,60,NaN,83,88,NaN,60,NaN,NaN,82,NaN,75,NaN,84,NaN,60,-1,89,NaN,NaN,76,NaN,90,NaN,87,NaN,80,NaN,NaN,NaN,NaN,91,85,70,NaN,NaN,NaN,77,NaN,NaN,71,91,NaN,NaN,75,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,-1,NaN,NaN,90,-1,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1
403736040,NaN,80,NaN,NaN,NaN,76,NaN,NaN,60,NaN,82,83,85,NaN,NaN,83,NaN,86,-1,82,NaN,NaN,NaN,70,91,NaN,88,-1,82,-1,NaN,80,82,60,86,88,NaN,NaN,NaN,82,NaN,NaN,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,80,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,72,86,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403736042,NaN,83,NaN,NaN,NaN,82,NaN,NaN,60,NaN,NaN,80,NaN,70,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,70,NaN,NaN,92,NaN,NaN,-1,NaN,NaN,NaN,60,85,88,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,-1,NaN,75,-1,93,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403736044,90,87,NaN,NaN,NaN,80,73,NaN,60,NaN,72,80,83,NaN,NaN,NaN,NaN,NaN,-1,80,NaN,84,NaN,70,82,66,NaN,NaN,-1,NaN,NaN,NaN,NaN,61,83,90,87,NaN,NaN,81,70,NaN,NaN,87,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,-1,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,66,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403736045,75,65,NaN,NaN,NaN,75,0,NaN,60,NaN,66,76,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,70,80,NaN,NaN,NaN,80,-1,NaN,NaN,NaN,75,80,82,NaN,NaN,NaN,74,NaN,NaN,NaN,85,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,80,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,70,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
403736041,NaN,NaN,NaN,38,NaN,82,86,70,60,NaN,NaN,NaN,83,NaN,NaN,NaN,95,NaN,-1,86,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,62,86,85,NaN,82,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,75,-1,45,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,62,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
403736038,NaN,85,NaN,NaN,NaN,82,NaN,70,60,NaN,NaN,85,NaN,NaN,NaN,85,86,NaN,-1,91,NaN,80,NaN,NaN,90,78,NaN,NaN,NaN,NaN,NaN,90,NaN,68,NaN,90,NaN,NaN,86,80,81,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,88,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,71,89,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403736039,NaN,0,NaN,NaN,NaN,82,NaN,NaN,60,NaN,NaN,70,76,NaN,60,81,NaN,NaN,-1,-1,NaN,NaN,61,NaN,85,NaN,NaN,NaN,72,NaN,NaN,-1,NaN,61,80,60,NaN,84,NaN,62,NaN,NaN,80,NaN,NaN,66,81,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,75,83,NaN,NaN,NaN,-1,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,86,63,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
403736043,NaN,NaN,NaN,NaN,NaN,76,67,NaN,60,NaN,79,81,NaN,NaN,NaN,NaN,NaN,63,-1,NaN,NaN,NaN,NaN,70,85,NaN,84,NaN,82,NaN,NaN,NaN,NaN,68,83,90,73,84,NaN,85,NaN,NaN,NaN,88,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,86,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,86,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
