id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901101@運動心理學@1@1,3901888@學系服務學習@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901102@運動教育學@2@1,3901888@學系服務學習@2@1,3903112@游泳@2@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902105@運動社會學@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903107@運動員健康管理@1@1,3903109@運動教練學@1@1,3903115@桌球@1@1,3904101@運動技能學習@1@1,3904103@體育統計學@1@1,3904109@肌力訓練@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902104@應用運動生理學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3903007@運動資訊處理@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3903110@個人與團體運動指導訓練@2@1,3903114@網球@2@1,3903117@有氧舞蹈@2@1,3904114@競技運動競賽實務@2@1,3904116@排球@2@1,3904117@羽球@2@1,3904119@國術@2@1,3902107@運動場地規畫與管理@1@1,3903001@專長術科（五）@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904005@運動專業英語術語@1@1,3904008@運動資訊處理（二）@1@1,3904105@體育教材教法@1@1,3904108@運動裁判法@1@1,3904121@安全教育與急救@1@1,3904122@運動健身器材科技@1@1,3901103@體育學原理@2@1,3901104@棒(壘)球@2@1,3903004@專長術科（六）@2@1,3903005@體育英文@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903116@高爾夫@2@1,3904123@運動健康心理學@2@1,3901105@體操@1@1,3901109@撞球@1@1,3901110@體育行政@1@1,3902112@國術@1@1,3904001@專長術科（七）@1@1,3904118@體育課程設計@1@1,3902113@瑜珈@2@1,3904002@專長術科（八）@2@1,3902011@運動專業實習（二）@2@1,3902018@專長術科（四）-田徑@2@1
400736012,80,80,82,85,65,NaN,71,61,85,80,90,80,89,79,85,80,90,NaN,NaN,NaN,83,87,NaN,86,NaN,NaN,NaN,89,NaN,NaN,77,85,83,NaN,NaN,82,66,80,NaN,70,82,85,NaN,NaN,87,NaN,NaN,NaN,92,NaN,88,82,81,NaN,NaN,72,NaN,89,NaN,90,78,82,85,90,86,78,63,NaN,NaN,87,NaN,85,88,NaN,NaN
400736013,60,82,83,88,64,80,81,72,84,92,76,NaN,93,81,80,80,90,82,69,82,80,85,86,78,85,NaN,NaN,90,NaN,88,78,84,82,84,80,70,NaN,84,83,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,79,91,NaN,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,90,90,NaN,NaN,NaN,NaN,84,82,92,86,NaN,NaN
400736014,40,55,0,50,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,80,0,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400736015,63,70,86,82,68,80,80,63,86,90,80,NaN,89,82,84,81,78,82,72,79,88,86,77,83,60,88,NaN,NaN,NaN,94,64,82,80,83,80,65,66,80,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,82,88,80,82,88,NaN,NaN,79,NaN,NaN,NaN,84,60,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,84,NaN,NaN
400736016,42,40,71,82,54,NaN,70,50,84,0,70,80,NaN,68,75,80,50,NaN,NaN,NaN,0,NaN,NaN,78,0,NaN,NaN,NaN,75,67,63,75,80,77,NaN,60,71,59,NaN,NaN,NaN,0,NaN,70,NaN,NaN,NaN,NaN,73,NaN,NaN,30,60,75,NaN,NaN,NaN,NaN,NaN,78,66,NaN,65,75,NaN,NaN,NaN,NaN,71,63,NaN,NaN,NaN,NaN,NaN
400736017,62,80,90,88,66,80,86,67,87,95,87,NaN,89,87,88,86,90,NaN,80,81,82,NaN,NaN,NaN,88,84,61,82,82,79,76,92,87,83,NaN,70,86,84,88,77,NaN,88,NaN,88,87,NaN,NaN,NaN,97,86,84,79,80,92,NaN,82,NaN,87,87,95,61,NaN,NaN,87,NaN,78,NaN,NaN,80,95,NaN,NaN,95,NaN,NaN
400736018,80,70,82,80,60,NaN,79,66,85,85,80,78,86,87,85,81,87,NaN,NaN,NaN,80,86,NaN,82,60,NaN,NaN,85,NaN,NaN,77,85,84,NaN,NaN,82,72,86,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,88,81,84,83,83,NaN,NaN,80,NaN,85,NaN,90,61,75,NaN,86,84,78,NaN,NaN,75,87,76,84,88,NaN,NaN
400736019,70,85,85,92,68,80,76,73,80,93,73,NaN,85,66,88,89,88,NaN,NaN,80,85,86,NaN,NaN,80,NaN,96,89,91,80,76,84,84,80,85,69,75,80,90,NaN,NaN,88,90,89,91,NaN,NaN,NaN,80,82,90,75,93,NaN,86,86,NaN,85,NaN,80,77,90,NaN,85,95,NaN,78,NaN,82,78,95,95,83,NaN,NaN
400736020,64,70,85,75,48,NaN,78,80,85,85,78,78,89,75,85,81,88,NaN,NaN,NaN,85,84,65,85,70,NaN,NaN,65,NaN,86,78,85,82,84,NaN,72,NaN,80,NaN,NaN,75,NaN,NaN,NaN,84,85,NaN,NaN,86,87,88,77,81,NaN,86,62,NaN,NaN,88,84,84,NaN,86,85,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,85,NaN,NaN
400736021,63,85,83,86,66,80,65,70,84,87,76,NaN,80,70,83,87,77,84,60,75,80,86,82,NaN,65,NaN,75,NaN,76,NaN,80,78,88,75,82,47,62,82,NaN,NaN,NaN,85,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,76,87,NaN,NaN,NaN,NaN,77,NaN,85,64,84,NaN,84,NaN,NaN,NaN,NaN,80,87,80,35,80,NaN,NaN
