id,1101083@寫作指導@1@1,1101211@詩選及習作（一）@1@1,1101411@國學導讀（一）@1@1,1101613@民間文學@1@1,1101811@文學概論（一）@1@1,1101888@學系服務學習@1@1,1101934@書法基礎入門@1@1,1101951@茶道與文學@1@1,1102615@史傳名著選讀@1@1,1102661@台灣現代主義小說選讀@1@1,1102711@歷代文選及習作（一）@1@1,1103256@晚清文學選讀@1@1,1103830@陰陽五行文獻選讀@1@1,1101212@詩選及習作（二）@2@1,1101412@國學導讀（二）@2@1,1101520@現代散文@2@1,1101543@中國小說選@2@1,1101617@閩南俗曲@2@1,1101812@文學概論（二）@2@1,1101888@學系服務學習@2@1,1101935@書道與視覺設計@2@1,1102033@佛學概論@2@1,1102043@篆刻藝術@2@1,1102161@論語：孔子全傳@2@1,1102653@歐美漢學史@2@1,1103151@民俗學概論@2@1,1103255@西方現代文學理論@2@1,1103752@專家詞：蘇東坡詞@2@1,1103910@應用文書寫作@2@1,1101084@寫作指導：散文@1@1,1101618@臺灣民俗（一）@1@1,1102011@文字學（一）@1@1,1102052@水墨創作：山水@1@1,1102145@莊子@1@1,1102270@神話學@1@1,1102514@詩經@1@1,1102527@封神演義@1@1,1102636@現代詩與文化創意@1@1,1102720@詞選及習作@1@1,1103021@中國文學史（一）@1@1,1103111@中國思想史（一）@1@1,1103260@魯迅文學作品選讀@1@1,1103271@日本漢學史@1@1,1103311@聲韻學（一）@1@1,1103826@周易@1@1,1103951@民俗文獻選讀@1@1,1104611@當代文化思潮@1@1,1101085@寫作指導：小說@2@1,1101113@中國哲學概論@2@1,1101619@臺灣民俗（二）@2@1,1102012@文字學（二）@2@1,1102125@經學史：當代詮釋@2@1,1102153@史記@2@1,1102162@孟子：雄辯身影@2@1,1102510@曲選及習作@2@1,1102661@台灣現代主義小說選讀@2@1,1102712@歷代文選及習作（二）@2@1,1102918@大陸現當代文學電影@2@1,1103022@中國文學史（二）@2@1,1103112@中國思想史（二）@2@1,1103312@聲韻學（二）@2@1,1103421@左傳@2@1,1103815@現代成長小說選讀@2@1,1103834@法家與時代轉型@2@1,1104152@畢業製作與展演@2@1
404110018,NaN,71,70,NaN,83,NaN,NaN,NaN,NaN,86,50,86,70,65,74,92,NaN,NaN,70,80,NaN,60,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,54,NaN,46,88,NaN,11,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404110019,NaN,76,56,52,62,88,NaN,NaN,NaN,NaN,70,NaN,NaN,70,49,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,71,NaN,76,NaN,NaN,80,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
404110020,NaN,78,77,66,69,NaN,96,87,NaN,NaN,80,86,NaN,80,87,NaN,NaN,NaN,71,80,100,NaN,-1,86,NaN,NaN,NaN,NaN,77,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,82,76,72,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404110021,NaN,87,73,78,68,88,NaN,85,NaN,NaN,70,NaN,88,84,83,NaN,NaN,73,87,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,80,92,NaN,NaN,NaN,73,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110022,NaN,47,54,NaN,81,NaN,93,86,NaN,NaN,NaN,29,NaN,-1,54,89,60,NaN,68,80,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
404110023,NaN,84,91,85,75,88,NaN,NaN,NaN,NaN,87,NaN,NaN,89,97,88,89,84,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,97,90,87,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110024,NaN,81,49,65,72,NaN,NaN,NaN,NaN,NaN,0,71,65,70,55,80,NaN,NaN,44,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110025,NaN,77,80,NaN,65,88,NaN,NaN,NaN,NaN,80,NaN,NaN,65,80,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,71,NaN,NaN,77,NaN,60,NaN,NaN,80,NaN,72,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110026,NaN,82,90,NaN,76,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,84,86,87,NaN,NaN,72,80,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,88,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404110027,NaN,81,76,76,80,88,NaN,NaN,NaN,NaN,88,NaN,NaN,83,74,84,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,82,89,86,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
