id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2601101@普通化學（一）@1@2,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603711@材料化學導論@2@1,2603902@專題研究(二)@2@1,2603711@材料化學導論@1@1,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2604702@專題研究（四）@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
400260020,71,77,61,NaN,74,68,60,61,73,NaN,NaN,93,71,74,66,79,NaN,NaN,87,NaN,NaN,64,NaN,69,NaN,62,62,83,NaN,NaN,67,66,NaN,74,60,68,NaN,NaN,NaN,74,NaN,NaN,NaN,83,NaN,NaN,75,NaN,NaN,NaN
400260021,64,68,62,75,66,61,NaN,62,64,NaN,NaN,73,64,70,65,61,NaN,NaN,60,NaN,NaN,60,56,69,NaN,78,68,76,NaN,NaN,47,69,NaN,67,57,69,67,60,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,64,NaN,NaN,NaN
400260022,81,80,78,NaN,83,78,70,75,80,NaN,NaN,82,71,77,62,72,NaN,NaN,83,NaN,NaN,80,NaN,76,NaN,71,76,82,NaN,NaN,76,87,90,79,61,74,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,76,NaN,NaN
400260023,78,85,74,70,84,81,NaN,66,83,NaN,NaN,77,84,83,66,79,NaN,NaN,72,NaN,NaN,78,80,NaN,NaN,85,70,86,NaN,NaN,65,75,80,80,60,71,NaN,71,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,78,NaN,NaN,NaN
400260024,75,74,70,NaN,67,69,75,60,77,NaN,NaN,72,60,73,72,72,NaN,NaN,88,NaN,NaN,60,70,NaN,NaN,77,67,77,NaN,NaN,58,81,NaN,76,73,68,60,64,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN
400260025,85,66,89,80,77,63,NaN,61,82,NaN,NaN,91,82,80,65,82,NaN,NaN,76,NaN,NaN,78,62,NaN,NaN,60,60,78,NaN,NaN,69,81,NaN,60,71,66,77,67,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN
400260027,81,78,81,75,66,75,NaN,64,69,NaN,NaN,90,69,71,63,72,NaN,NaN,60,NaN,NaN,72,NaN,70,NaN,68,68,77,NaN,NaN,57,79,NaN,62,62,70,66,65,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN
400260028,89,75,78,NaN,72,74,80,62,80,NaN,NaN,87,81,70,71,79,NaN,NaN,68,NaN,NaN,75,NaN,68,NaN,75,75,78,NaN,NaN,66,82,NaN,87,76,71,NaN,91,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN
400260029,75,81,72,70,85,77,NaN,68,82,NaN,NaN,65,82,80,66,86,NaN,NaN,70,NaN,NaN,79,NaN,75,NaN,73,64,77,NaN,NaN,61,69,NaN,80,60,71,65,77,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,83,NaN
400260030,86,81,79,NaN,70,76,80,66,74,NaN,NaN,77,77,80,62,76,NaN,NaN,60,NaN,NaN,69,NaN,73,NaN,60,62,80,NaN,NaN,NaN,74,NaN,62,68,68,62,72,60,NaN,NaN,NaN,75,NaN,NaN,NaN,71,NaN,NaN,NaN
400260031,76,85,81,90,77,83,NaN,60,89,NaN,NaN,90,87,89,66,77,NaN,NaN,82,NaN,NaN,86,80,NaN,NaN,76,78,87,NaN,NaN,73,85,85,78,68,71,NaN,89,80,NaN,90,NaN,83,NaN,NaN,75,NaN,NaN,NaN,79
400260032,87,76,NaN,NaN,82,76,60,76,85,NaN,NaN,94,88,86,73,90,NaN,NaN,95,NaN,NaN,96,78,NaN,NaN,82,93,80,NaN,NaN,63,86,85,95,97,74,NaN,99,85,NaN,NaN,90,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN
400260033,92,83,NaN,75,99,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400260035,69,78,74,75,71,88,NaN,88,78,NaN,NaN,88,93,68,62,80,NaN,NaN,60,NaN,NaN,93,NaN,76,NaN,63,71,83,NaN,NaN,61,80,NaN,75,67,75,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,86
400260036,69,84,63,NaN,70,75,80,68,81,NaN,NaN,91,61,73,65,60,NaN,NaN,60,NaN,NaN,69,75,NaN,NaN,60,60,80,NaN,NaN,63,72,NaN,70,67,66,NaN,NaN,NaN,72,NaN,NaN,NaN,90,NaN,NaN,76,NaN,NaN,NaN
400260037,83,81,81,70,81,79,NaN,82,88,NaN,NaN,94,68,77,75,71,NaN,NaN,93,NaN,NaN,76,NaN,73,NaN,75,62,83,NaN,NaN,66,84,NaN,80,49,69,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,82,NaN,NaN
400260038,75,80,61,NaN,79,87,75,77,81,NaN,NaN,93,80,78,96,88,NaN,NaN,99,NaN,NaN,91,77,NaN,NaN,87,87,81,NaN,NaN,76,84,80,86,86,74,NaN,99,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
