id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352011@水文學@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352021@統計分析與應用@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2352024@地磁學@2@1,2353005@大地測量@2@1,2353006@環境化學@2@1,2353020@專題研究（二）@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2354017@時序分析@1@1,2354021@石油地質@1@1,2353011@地球物理探勘@2@1,2353013@環境工程（一）@2@1,2353030@環境土壤學@2@1,2353036@地震預警與地震前兆@2@1,2353038@沉積學@2@1,2354009@環境工程（二）@1@1,2354019@野外地球物理@1@1,2354017@時序分析@2@1,2354021@石油地質@2@1
402235034,33,77,NaN,NaN,60,79,NaN,80,NaN,49,61,NaN,55,NaN,6,54,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235036,67,81,NaN,NaN,71,77,NaN,75,NaN,79,65,NaN,78,80,29,63,76,63,80,84,62,65,84,69,77,63,82,94,67,74,NaN,NaN,NaN,70,80,88,65,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235037,62,NaN,80,65,64,NaN,84,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235038,80,72,NaN,NaN,72,80,NaN,75,55,72,70,NaN,60,NaN,67,63,81,NaN,NaN,69,75,NaN,79,82,67,60,85,NaN,67,75,76,NaN,73,88,NaN,85,NaN,77,NaN,89,NaN,65,NaN,NaN,79,NaN,NaN,-1,NaN
402235039,60,NaN,83,65,74,NaN,79,NaN,77,63,74,NaN,67,NaN,21,71,84,98,70,60,NaN,NaN,70,68,73,63,90,83,68,63,77,NaN,77,NaN,NaN,85,65,NaN,NaN,85,NaN,69,60,NaN,NaN,85,NaN,NaN,NaN
402235041,28,NaN,56,60,51,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402235042,91,86,NaN,NaN,81,92,NaN,90,NaN,81,76,90,73,NaN,73,90,NaN,95,73,78,80,NaN,NaN,86,NaN,72,90,NaN,66,NaN,74,NaN,71,88,78,NaN,NaN,95,69,NaN,64,NaN,NaN,NaN,91,NaN,87,NaN,NaN
402235043,60,NaN,88,95,73,NaN,85,NaN,NaN,64,69,80,76,NaN,62,76,NaN,80,84,68,79,NaN,76,96,90,60,NaN,NaN,82,NaN,NaN,NaN,94,90,86,NaN,NaN,77,82,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
402235044,62,80,NaN,NaN,60,84,NaN,95,73,73,64,NaN,85,93,NaN,71,81,78,72,83,NaN,NaN,69,85,78,66,NaN,NaN,60,69,NaN,NaN,NaN,NaN,NaN,84,87,NaN,NaN,NaN,NaN,71,83,84,NaN,87,84,NaN,NaN
402235045,60,NaN,84,65,73,NaN,79,NaN,65,68,61,NaN,66,NaN,16,60,71,60,NaN,73,NaN,69,74,75,NaN,-1,NaN,37,60,65,NaN,NaN,NaN,NaN,72,84,62,NaN,NaN,NaN,NaN,61,73,NaN,NaN,79,84,-1,NaN
402235046,60,80,NaN,NaN,64,78,NaN,80,NaN,61,60,NaN,65,NaN,24,68,76,-1,NaN,64,70,NaN,NaN,68,67,-1,NaN,NaN,60,66,60,62,62,NaN,NaN,NaN,63,NaN,73,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402235047,72,NaN,79,65,82,NaN,83,NaN,-1,81,71,NaN,77,86,41,62,84,NaN,-1,-1,NaN,68,72,NaN,NaN,62,NaN,60,70,88,NaN,73,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1
402235048,64,84,NaN,NaN,90,88,NaN,85,-1,69,74,NaN,80,NaN,29,61,NaN,NaN,NaN,-1,71,-1,73,NaN,NaN,-1,NaN,NaN,67,NaN,78,80,82,NaN,NaN,91,73,90,75,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402235049,76,NaN,77,65,69,NaN,70,NaN,87,67,65,NaN,70,62,69,80,72,NaN,85,71,NaN,NaN,76,NaN,NaN,60,NaN,77,68,67,62,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,99,60,NaN,NaN,NaN,NaN,-1,NaN
402235050,60,83,NaN,NaN,61,82,NaN,75,71,70,61,NaN,79,84,19,64,NaN,NaN,70,70,NaN,NaN,67,NaN,66,63,NaN,NaN,60,60,61,72,NaN,NaN,NaN,84,64,NaN,NaN,NaN,NaN,60,67,NaN,60,77,NaN,NaN,-1
402235051,70,NaN,83,65,78,NaN,83,NaN,53,64,71,NaN,61,78,66,60,65,NaN,67,66,NaN,NaN,67,NaN,67,67,NaN,NaN,77,76,66,NaN,65,NaN,NaN,82,NaN,NaN,NaN,NaN,54,NaN,66,NaN,75,NaN,86,NaN,-1
402235052,83,86,NaN,NaN,91,90,NaN,80,80,74,78,72,80,83,29,80,85,76,90,80,90,NaN,85,97,NaN,75,93,NaN,79,83,90,NaN,91,85,89,91,97,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402235053,60,NaN,80,95,79,NaN,83,NaN,85,62,69,NaN,67,60,NaN,71,NaN,-1,NaN,60,NaN,NaN,77,NaN,77,68,NaN,79,69,36,NaN,88,NaN,90,NaN,NaN,79,NaN,NaN,NaN,NaN,87,85,NaN,NaN,82,NaN,NaN,NaN
402235055,32,NaN,63,NaN,60,NaN,62,NaN,NaN,60,25,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
