id,2351001@地球與環境科學概論（一）@1@1,2351003@地球與環境科學概論實習（一）@1@1,2351003@地球與環境科學概論實習（一）@1@2,2351888@學系服務學習@1@1,2351002@地球與環境科學概論（二）@2@1,2351004@地球與環境科學概論實習（二）@2@1,2351004@地球與環境科學概論實習（二）@2@2,2351888@學系服務學習@2@1,2352001@工程數學（一）@1@1,2352003@地球物理學@1@1,2352005@應用力學@1@1,2352006@環境生態學@1@1,2352017@分析化學@1@1,2352023@礦物與岩石學@1@1,2353023@地震教育@1@1,2352008@程式設計與應用@2@1,2352009@土壤力學@2@1,2352011@水文學@2@1,2352012@構造地質學@2@1,2352014@地震導論@2@1,2352016@工程數學（二）@2@1,2352022@遙感探測與地理資訊系統@2@1,2352024@地磁學@2@1,2353006@環境化學@2@1,2353007@環境微生物@1@1,2353017@儀器學與實習@1@1,2353019@流體力學@1@1,2353025@工程地質學@1@1,2353027@水化學@1@1,2353031@地形學@1@1,2353033@專題研究（一）@1@1,2353035@有限差分法及其應用@1@1,2353037@震源與破裂過程@1@1,2353039@統計分析與應用@1@1,2353040@台灣地質@1@1,2353005@大地測量@2@1,2353013@環境工程（一）@2@1,2353020@專題研究（二）@2@1,2353030@環境土壤學@2@1,2353038@沉積學@2@1,2354017@時序分析@2@1,2354021@石油地質@2@1
403235024,90,95,NaN,NaN,95,92,NaN,99,80,78,NaN,91,86,83,87,-1,NaN,81,75,74,-1,96,NaN,75,97,NaN,95,NaN,86,90,91,NaN,NaN,89,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403235025,61,NaN,85,80,82,NaN,73,NaN,NaN,55,NaN,71,83,60,76,NaN,NaN,NaN,45,NaN,NaN,62,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235026,60,85,NaN,NaN,63,71,NaN,99,60,64,NaN,71,NaN,60,NaN,NaN,67,60,-1,NaN,-1,65,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,-1,-1,NaN,NaN,-1,NaN,-1
403235027,68,NaN,80,80,77,NaN,63,NaN,73,69,84,85,NaN,75,NaN,-1,76,92,71,75,-1,NaN,67,69,62,NaN,85,NaN,88,73,95,NaN,NaN,90,NaN,NaN,-1,-1,-1,-1,-1,-1
403235028,63,85,NaN,NaN,85,81,NaN,99,66,77,76,83,NaN,82,85,97,80,88,70,93,-1,NaN,79,86,NaN,82,NaN,80,85,85,NaN,86,88,77,NaN,-1,NaN,NaN,NaN,-1,-1,-1
403235030,60,78,NaN,NaN,74,84,NaN,80,NaN,60,NaN,49,NaN,60,76,NaN,NaN,50,72,63,NaN,75,NaN,-1,NaN,74,61,70,NaN,67,NaN,NaN,82,63,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
403235031,92,NaN,75,70,79,NaN,62,NaN,61,65,NaN,78,81,72,77,NaN,NaN,60,63,60,-1,67,NaN,68,NaN,NaN,NaN,69,NaN,57,NaN,NaN,83,65,NaN,-1,-1,NaN,NaN,NaN,NaN,-1
403235032,74,84,NaN,NaN,91,87,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235033,86,NaN,89,90,89,NaN,90,NaN,75,74,78,88,NaN,81,80,76,80,93,61,NaN,-1,84,NaN,68,NaN,NaN,NaN,68,90,NaN,NaN,NaN,88,91,NaN,NaN,-1,NaN,-1,NaN,NaN,-1
403235034,82,92,NaN,NaN,93,88,NaN,99,67,64,81,75,NaN,76,86,NaN,72,77,66,-1,-1,77,NaN,60,62,NaN,64,NaN,72,68,NaN,85,NaN,75,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403235035,76,NaN,89,90,83,NaN,88,NaN,73,73,65,73,NaN,90,84,NaN,NaN,89,73,80,-1,NaN,77,67,NaN,82,NaN,80,NaN,72,NaN,85,88,64,90,-1,NaN,NaN,NaN,-1,-1,-1
403235036,64,75,NaN,NaN,67,72,NaN,90,69,60,NaN,71,70,60,79,NaN,-1,60,-1,-1,NaN,65,NaN,66,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,66,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
403235037,77,NaN,80,90,70,NaN,61,NaN,69,64,NaN,63,80,73,69,-1,72,-1,60,NaN,NaN,52,NaN,60,60,NaN,NaN,NaN,NaN,69,NaN,NaN,85,67,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
403235038,72,92,NaN,NaN,81,84,NaN,99,66,68,NaN,66,81,71,NaN,-1,NaN,69,72,60,-1,86,NaN,60,60,NaN,88,NaN,74,73,NaN,NaN,NaN,67,NaN,-1,-1,NaN,-1,-1,NaN,-1
403235039,81,NaN,91,90,97,89,NaN,NaN,69,78,95,78,NaN,75,84,-1,82,72,68,68,-1,95,NaN,77,76,NaN,93,NaN,92,87,95,NaN,NaN,86,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403235040,56,88,NaN,NaN,86,72,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235041,74,NaN,73,50,69,-1,47,NaN,64,56,NaN,60,89,53,64,-1,-1,NaN,60,47,NaN,66,NaN,60,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403235042,77,79,NaN,NaN,80,84,NaN,80,54,74,NaN,72,70,62,78,NaN,65,-1,-1,63,-1,83,NaN,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
403235043,61,NaN,79,90,82,NaN,73,NaN,70,67,NaN,63,74,69,78,-1,72,68,68,NaN,NaN,70,65,-1,69,NaN,75,NaN,76,66,NaN,NaN,NaN,64,NaN,NaN,-1,NaN,NaN,NaN,-1,-1
403235044,76,88,NaN,NaN,85,89,NaN,99,67,74,NaN,83,NaN,78,85,NaN,72,64,71,60,60,78,NaN,-1,NaN,81,83,NaN,NaN,65,NaN,NaN,89,81,95,-1,NaN,NaN,NaN,-1,-1,NaN
403235046,69,89,NaN,NaN,88,76,NaN,99,54,61,60,75,78,64,NaN,NaN,NaN,66,63,-1,NaN,76,NaN,60,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,38,NaN,-1,-1,NaN,NaN,-1,NaN,-1
403235047,60,NaN,89,90,87,NaN,87,NaN,83,70,NaN,84,NaN,76,NaN,NaN,NaN,86,71,87,NaN,86,NaN,85,69,NaN,86,NaN,NaN,NaN,NaN,NaN,89,78,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
403235048,67,78,NaN,NaN,86,84,NaN,90,91,60,88,95,87,99,79,-1,98,99,70,NaN,-1,76,NaN,98,92,NaN,99,NaN,95,NaN,95,NaN,90,99,NaN,NaN,-1,-1,-1,-1,NaN,-1
403235050,72,86,NaN,NaN,90,77,NaN,80,73,61,NaN,97,NaN,85,78,NaN,NaN,NaN,79,NaN,NaN,78,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403235051,87,NaN,86,90,83,NaN,68,NaN,70,67,60,67,NaN,69,84,-1,NaN,61,71,73,-1,83,NaN,72,57,NaN,NaN,NaN,NaN,73,NaN,NaN,88,67,NaN,-1,NaN,NaN,NaN,-1,-1,-1
403235052,62,83,NaN,NaN,87,79,NaN,90,75,62,71,78,92,64,NaN,NaN,NaN,72,72,-1,-1,NaN,NaN,77,67,NaN,77,NaN,77,79,NaN,NaN,NaN,83,NaN,-1,-1,NaN,-1,-1,NaN,-1
403235053,62,NaN,85,90,76,NaN,63,NaN,68,80,62,80,NaN,68,NaN,-1,NaN,60,63,63,NaN,76,NaN,68,48,NaN,NaN,NaN,74,77,NaN,NaN,NaN,72,NaN,-1,-1,NaN,-1,-1,-1,NaN
403235055,45,75,NaN,NaN,72,68,NaN,80,NaN,51,NaN,46,61,60,79,NaN,NaN,NaN,NaN,66,NaN,69,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
