id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201888@學系服務學習@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2201888@學系服務學習@2@1,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201012@普通物理（二）@2@6,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202032@電磁學（二）@2@1,2203090@物理專題（一）@2@1,2203006@近代物理實驗學@1@1,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203090@物理專題（一）@1@1,2204091@物理專題（二）@1@1,2201002@普通物理實驗（二）@2@10,2202060@近代物理@2@1,2203005@進階光學實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1,2204021@進階光學@2@1,2204040@原子分子物理導論@2@1,2204092@物理專題（三）@2@1,2204001@固態物理導論（一）@1@1,2204010@基本粒子物理導論@1@1,2204093@物理專題（四）@1@1,2203006@近代物理實驗學@2@1,2204093@物理專題（四）@2@1
401220013,62,65,70,78,60,48,NaN,68,85,NaN,61,65,48,NaN,NaN,74,73,65,73,NaN,66,NaN,63,79,NaN,NaN,NaN,88,79,NaN,60,63,77,83,NaN,NaN,46,75,NaN,NaN,NaN
401220014,75,70,NaN,75,65,51,70,78,NaN,79,95,70,73,NaN,89,NaN,77,84,85,90,NaN,90,72,91,NaN,90,NaN,NaN,NaN,90,75,92,95,89,90,88,NaN,75,90,NaN,NaN
401220015,90,32,70,NaN,NaN,NaN,NaN,NaN,81,NaN,1,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401220016,70,80,NaN,86,84,74,70,NaN,NaN,88,69,80,67,NaN,84,NaN,74,60,82,NaN,NaN,NaN,68,66,NaN,NaN,NaN,NaN,85,82,60,63,80,89,NaN,NaN,NaN,75,NaN,NaN,NaN
401220017,76,75,70,69,68,64,NaN,NaN,83,NaN,68,70,60,NaN,NaN,79,74,65,76,85,65,NaN,60,60,NaN,NaN,NaN,NaN,NaN,82,60,65,78,84,49,NaN,48,75,NaN,NaN,NaN
401220018,83,65,NaN,75,60,49,70,73,NaN,78,60,65,64,NaN,84,NaN,61,60,60,NaN,76,NaN,64,63,NaN,NaN,NaN,NaN,NaN,86,60,60,81,82,NaN,NaN,40,75,NaN,NaN,NaN
401220019,88,75,70,83,79,73,NaN,NaN,79,NaN,63,65,63,NaN,NaN,64,69,60,70,NaN,NaN,90,66,61,NaN,NaN,NaN,NaN,NaN,81,-1,70,82,69,NaN,NaN,42,75,NaN,73,NaN
401220020,74,80,NaN,90,80,83,70,NaN,NaN,90,77,83,60,NaN,85,NaN,95,78,90,NaN,67,88,77,86,NaN,NaN,NaN,NaN,77,84,70,75,94,86,NaN,NaN,79,NaN,NaN,NaN,NaN
401220022,83,75,NaN,74,65,53,70,79,NaN,84,60,60,80,NaN,86,NaN,67,67,70,NaN,65,NaN,68,60,NaN,NaN,NaN,NaN,NaN,70,68,-1,82,91,NaN,NaN,45,75,NaN,NaN,NaN
401220023,87,65,70,75,60,60,NaN,NaN,79,NaN,60,65,74,NaN,NaN,60,61,69,60,NaN,64,NaN,67,60,NaN,NaN,NaN,NaN,NaN,75,67,72,70,71,NaN,NaN,29,60,NaN,NaN,NaN
401220024,86,75,NaN,85,74,64,70,NaN,NaN,89,83,80,60,NaN,93,NaN,86,77,82,NaN,NaN,NaN,69,72,NaN,NaN,NaN,NaN,NaN,81,68,78,91,NaN,97,NaN,90,80,NaN,NaN,NaN
401220025,71,60,70,73,68,83,NaN,NaN,80,NaN,84,80,77,NaN,NaN,67,95,66,82,85,NaN,NaN,76,77,NaN,NaN,NaN,NaN,67,NaN,66,74,79,80,68,NaN,70,NaN,NaN,NaN,NaN
401220026,89,75,NaN,90,78,60,70,NaN,NaN,78,88,86,60,NaN,94,NaN,91,79,82,85,74,90,74,60,NaN,85,NaN,NaN,NaN,80,60,74,70,62,33,90,47,92,NaN,NaN,NaN
401220028,82,70,NaN,60,60,51,70,70,NaN,80,80,70,70,NaN,84,NaN,85,66,64,NaN,60,NaN,66,60,NaN,NaN,NaN,NaN,91,NaN,60,68,78,83,NaN,NaN,60,NaN,NaN,NaN,NaN
401220029,83,75,70,80,60,56,NaN,70,81,NaN,65,65,65,NaN,NaN,63,62,67,70,NaN,NaN,NaN,60,72,NaN,NaN,NaN,NaN,86,70,60,60,77,81,NaN,NaN,NaN,60,NaN,NaN,NaN
401220030,84,70,NaN,82,79,74,70,NaN,NaN,79,69,70,60,NaN,90,NaN,85,70,79,90,69,90,72,75,NaN,85,NaN,NaN,NaN,NaN,68,85,86,NaN,89,90,67,NaN,90,NaN,NaN
401220031,62,70,70,94,70,79,NaN,NaN,76,NaN,69,70,60,NaN,NaN,75,82,75,76,NaN,67,NaN,74,66,NaN,NaN,NaN,NaN,73,NaN,61,80,74,83,65,NaN,NaN,75,NaN,NaN,NaN
401220032,90,69,NaN,98,74,43,70,67,NaN,60,84,75,60,NaN,88,NaN,46,66,50,NaN,NaN,NaN,60,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401220033,76,85,70,61,75,26,NaN,71,73,NaN,45,65,40,NaN,NaN,47,NaN,53,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
