id,2201001@普通物理實驗（一）@1@1,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@1,2201012@普通物理（二）@2@1,2201001@普通物理實驗（一）@1@6,2201011@普通物理（一）@1@3,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2202060@近代物理@1@1,2201002@普通物理實驗（二）@2@6,2201011@普通物理（一）@2@1,2201012@普通物理（二）@2@2,2201012@普通物理（二）@2@3,2201012@普通物理（二）@2@6,2202004@基礎物理實驗學（二）@2@1,2202012@應用數學（二）@2@1,2202020@理論力學@2@1,2202060@近代物理@2@1,2203090@物理專題（一）@2@1,2201002@普通物理實驗（二）@2@10,2201011@普通物理（一）@1@5,2203008@進階實驗技術@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2204001@固態物理導論（一）@1@1,2202032@電磁學（二）@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203071@應用電子學（一）@2@1
402260014,74,43,93,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260015,80,60,91,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260016,68,61,99,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260017,95,71,99,60,NaN,NaN,64,83,77,60,40,NaN,NaN,NaN,NaN,NaN,81,-1,-1,67,90,NaN,NaN,90,41,63,37,-1,-1,-1,-1
402260018,93,63,97,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260019,81,63,85,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260020,96,70,85,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260021,89,70,90,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260022,81,72,96,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260023,81,12,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260025,80,38,74,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260026,94,64,98,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
