id,2201001@普通物理實驗（一）@1@7,2201011@普通物理（一）@1@4,2201031@基礎物理數學@1@1,2202003@基礎物理實驗學（一）@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202020@理論力學@1@1,2202031@電磁學（一）@1@1,2203090@物理專題（一）@1@1,2201002@普通物理實驗（二）@2@7,2201012@普通物理（二）@2@4,2201031@基礎物理數學@2@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2202011@應用數學（一）@2@1,2202012@應用數學（二）@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@2,2203090@物理專題（一）@2@1,2201001@普通物理實驗（一）@1@9,2201011@普通物理（一）@1@5,2201888@學系服務學習@1@1,2202060@近代物理@1@1,2203005@進階光學實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203071@應用電子學（一）@1@1,2204091@物理專題（二）@1@1,2201012@普通物理（二）@2@2,2202020@理論力學@2@1,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2204021@進階光學@2@1,2204092@物理專題（三）@2@1,2203006@近代物理實驗學@1@1,2204010@基本粒子物理導論@1@1,2204040@原子分子物理導論@1@1,2204093@物理專題（四）@1@1,2201002@普通物理實驗（二）@2@10,2201012@普通物理（二）@2@6,2203005@進階光學實驗學@2@1,2204001@固態物理導論（一）@2@1,2204091@物理專題（二）@2@1,2204093@物理專題（四）@2@1,2204001@固態物理導論（一）@1@1,2204092@物理專題（三）@1@1,2203071@應用電子學（一）@2@1,2204040@原子分子物理導論@2@1
499220026,89,75,NaN,NaN,80,65,60,63,90,72,77,90,88,NaN,NaN,61,60,11,NaN,NaN,NaN,NaN,78,NaN,68,67,NaN,NaN,NaN,NaN,64,NaN,69,67,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,95,61
499220028,75,65,NaN,NaN,91,60,47,64,NaN,66,76,70,80,NaN,NaN,79,60,67,85,NaN,NaN,NaN,NaN,77,60,78,82,NaN,NaN,76,69,NaN,67,71,NaN,NaN,NaN,83,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220032,73,60,69,NaN,88,60,62,60,NaN,72,71,41,82,NaN,NaN,89,67,66,NaN,NaN,NaN,NaN,NaN,73,62,60,NaN,NaN,NaN,NaN,65,71,60,60,77,NaN,NaN,85,47,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
499220034,69,85,NaN,NaN,94,75,60,73,NaN,90,94,66,90,NaN,NaN,75,87,80,80,NaN,NaN,NaN,NaN,NaN,91,77,73,NaN,NaN,NaN,61,77,90,70,NaN,NaN,NaN,85,73,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN
499220036,83,75,NaN,NaN,87,60,44,71,NaN,83,79,80,85,NaN,NaN,60,63,70,85,NaN,NaN,NaN,NaN,80,66,85,70,90,NaN,63,NaN,NaN,65,65,NaN,90,NaN,90,76,85,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
499220038,68,60,NaN,NaN,72,81,63,67,NaN,70,63,67,75,NaN,NaN,69,71,62,NaN,NaN,NaN,NaN,NaN,NaN,69,60,NaN,NaN,NaN,NaN,71,65,62,66,68,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220040,64,75,NaN,NaN,88,80,75,70,NaN,79,88,83,82,NaN,NaN,86,64,76,85,NaN,NaN,NaN,NaN,76,60,77,60,NaN,NaN,NaN,NaN,75,60,62,NaN,NaN,NaN,83,60,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN
499220042,63,70,NaN,NaN,75,65,63,77,NaN,86,71,71,89,NaN,NaN,62,62,78,NaN,NaN,NaN,NaN,NaN,73,66,72,69,NaN,NaN,NaN,69,NaN,68,66,NaN,NaN,NaN,82,68,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN
499220044,80,70,68,NaN,86,60,41,60,NaN,76,69,43,89,NaN,NaN,61,27,62,NaN,NaN,NaN,NaN,NaN,NaN,49,75,71,NaN,NaN,18,66,79,40,60,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220048,80,60,NaN,NaN,85,60,60,71,NaN,73,68,60,86,NaN,NaN,60,72,71,85,NaN,NaN,NaN,NaN,74,65,88,65,NaN,NaN,NaN,68,NaN,75,66,NaN,NaN,NaN,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220023,55,65,NaN,NaN,NaN,44,60,60,88,77,60,60,83,72,NaN,38,39,36,NaN,87,NaN,NaN,56,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220019,86,50,NaN,NaN,NaN,49,NaN,41,NaN,83,60,65,NaN,90,NaN,NaN,NaN,37,NaN,NaN,60,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220051,NaN,NaN,77,NaN,60,NaN,NaN,60,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,60,NaN,35,22,NaN,NaN,1,30,73,60,NaN,11,NaN,NaN,NaN,70,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220004,77,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499220030,83,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
