id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202331@中國現代史（一）@1@1,1202901@古希臘文（一）@1@1,1203371@秦漢史（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1204611@中國藝術史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1202821@日文（一）@2@1,1202823@日文（三）@2@1,1203352@明史(二)@2@1,1203372@秦漢史（二）@2@1,1203431@世界上古史（一）@2@1,1204612@中國藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1
405120020,74,69,89,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120021,97,88,96,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120022,61,73,75,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120023,85,72,85,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120024,65,80,82,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120026,70,78,55,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120027,66,83,81,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
405120029,62,73,82,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120030,63,81,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120031,91,83,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
405120032,83,81,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120033,87,88,76,70,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
405120034,95,89,85,NaN,NaN,NaN,NaN,NaN,90,91,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405120035,85,87,92,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
