id,1151017@英文作文（一）@1@1,1151017@英文作文（一）@1@2,1151017@英文作文（一）@1@3,1151021@西洋文學概論（一）@1@1,1151023@法文（一）@1@1,1151025@德文（一）@1@1,1151027@日文（一）@1@1,1151029@西班牙文（一）@1@1,1151031@英語聽講（一）@1@1,1151031@英語聽講（一）@1@2,1151031@英語聽講（一）@1@3,1151888@學系服務學習@1@1,1151018@英文作文（二）@2@1,1151018@英文作文（二）@2@2,1151018@英文作文（二）@2@3,1151022@西洋文學概論（二）@2@1,1151024@法文（二）@2@1,1151026@德文（二）@2@1,1151028@日文（二）@2@1,1151030@西班牙文（二）@2@1,1151032@英語聽講（二）@2@1,1151032@英語聽講（二）@2@2,1151032@英語聽講（二）@2@3,1151888@學系服務學習@2@1,1151021@西洋文學概論（一）@1@2,1152001@語言學概論（一）@1@1,1152063@英文作文（三）@1@1,1152063@英文作文（三）@1@2,1152063@英文作文（三）@1@3,1152077@英語聽講（三）@1@1,1152077@英語聽講（三）@1@2,1152077@英語聽講（三）@1@3,1152101@德文（三）@1@1,1152103@西班牙文（三）@1@1,1152105@法文（三）@1@1,1152107@日文（三）@1@1,1153001@美國文學（一）@1@1,1153011@英國文學：中世紀@1@1,1153013@英國文學：文藝復興@1@1,1153015@英國文學：浪漫主義@1@1,1154222@媒體英文@1@1,1154246@西方戲劇：易卜生@1@1,1151022@西洋文學概論（二）@2@2,1152002@語言學概論（二）@2@1,1152064@英文作文（四）@2@1,1152064@英文作文（四）@2@2,1152064@英文作文（四）@2@3,1152078@英語聽講（四）@2@1,1152078@英語聽講（四）@2@2,1152078@英語聽講（四）@2@3,1152102@德文(四)@2@1,1152104@西班牙文(四)@2@1,1152106@法文(四)@2@1,1152108@日文 (四)@2@1,1153002@美國文學（二）@2@1,1153012@英國文學：十八世紀@2@1,1153014@英國文學：維多利亞@2@1,1153016@英國文學：二十世紀@2@1,1154168@翻譯@2@1,1154224@小說選讀@2@1,1154257@媒體、閱讀與旅行@2@1,1154258@大眾小說@2@1,1154185@懸疑小說：偵探@1@1,1154213@台灣與愛爾蘭－全球化下的兩個島嶼@1@1,1154223@旅遊英文@1@1,1154241@奇幻文學與電影@1@1,1154248@戲劇演出與實務@1@1,1154259@進階英語聽講@1@1,1154260@英語的故事:英語演化成今日英語的故事@1@1,1154261@雙語數位出版實作@1@1,1154262@小說選讀@1@1,1154172@閱讀與討論@2@1,1154251@第二/外語教學實作@2@1,1154255@後現代小說與電影@2@1,1154263@專題：職涯發展英文@2@1,1154264@莎士比亞戲劇選讀@2@1,1154265@懸疑小說：驚悚@2@1,1154091@言談分析@1@1,1154099@戲劇與電影@1@1,1154146@英語語法@1@1,1154266@現/當代美國小說@1@1,1154267@愛爾蘭文學與電影@1@1,1154097@性別與閱讀@2@1,1154140@旅行與文學@2@1,1154187@高階閱讀@2@1,1154256@心理小說@2@1,1154259@進階英語聽講@2@1,1154260@英語的故事:英語演化成今日英語的故事@2@1,1154268@西方戲劇及劇場學@2@1,1154269@文學與電影@2@1
402115037,83,NaN,NaN,87,NaN,94,95,NaN,84,NaN,NaN,80,84,NaN,NaN,81,NaN,89,89,NaN,85,NaN,NaN,NaN,NaN,69,NaN,NaN,76,NaN,NaN,85,NaN,NaN,NaN,90,NaN,77,92,80,NaN,NaN,NaN,61,NaN,NaN,78,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,82,78,82,NaN,NaN,NaN,NaN,NaN,90,NaN,90,84,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
402115040,85,NaN,NaN,86,NaN,NaN,NaN,90,NaN,86,NaN,NaN,86,NaN,NaN,77,NaN,NaN,NaN,84,NaN,87,NaN,100,NaN,85,90,NaN,NaN,NaN,NaN,84,NaN,87,NaN,NaN,76,NaN,91,90,NaN,NaN,NaN,90,92,NaN,NaN,NaN,NaN,85,NaN,84,NaN,NaN,NaN,93,NaN,88,88,NaN,NaN,NaN,NaN,94,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,95,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
402115047,77,NaN,NaN,73,NaN,NaN,74,NaN,NaN,NaN,88,80,NaN,NaN,NaN,77,NaN,NaN,60,NaN,NaN,NaN,91,NaN,NaN,63,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,73,73,80,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,87,72,77,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
402115049,82,NaN,NaN,73,65,97,NaN,NaN,82,NaN,NaN,80,80,NaN,NaN,72,68,83,NaN,NaN,82,NaN,NaN,NaN,NaN,60,NaN,75,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,83,77,89,60,78,NaN,NaN,72,NaN,80,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,58,NaN,NaN,70,NaN,NaN,NaN,70,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
402115050,84,NaN,NaN,84,84,NaN,88,76,91,NaN,NaN,NaN,85,NaN,NaN,88,83,NaN,93,-1,90,NaN,NaN,100,NaN,70,92,NaN,NaN,NaN,NaN,85,NaN,NaN,90,NaN,86,NaN,NaN,83,84,NaN,NaN,83,92,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,80,-1,72,-1,86,NaN,NaN,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115003,NaN,87,NaN,83,NaN,96,NaN,NaN,NaN,NaN,84,76,NaN,86,NaN,83,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,71,NaN,NaN,78,NaN,NaN,85,90,NaN,NaN,NaN,NaN,89,92,84,NaN,NaN,NaN,72,NaN,85,NaN,NaN,NaN,84,93,NaN,NaN,NaN,NaN,88,NaN,81,85,NaN,92,NaN,NaN,92,89,NaN,92,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115005,NaN,94,NaN,83,NaN,NaN,NaN,86,NaN,86,NaN,100,NaN,96,NaN,79,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,79,NaN,NaN,89,NaN,NaN,87,NaN,NaN,NaN,NaN,89,NaN,95,87,NaN,90,NaN,90,NaN,NaN,89,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,89,NaN,84,NaN,89,90,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,91,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115008,NaN,90,NaN,83,NaN,NaN,94,NaN,NaN,85,NaN,NaN,NaN,90,NaN,80,NaN,NaN,88,NaN,NaN,87,NaN,100,NaN,76,NaN,NaN,85,NaN,NaN,85,NaN,NaN,NaN,NaN,83,91,91,NaN,NaN,NaN,NaN,85,NaN,NaN,83,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,91,NaN,NaN,NaN,94,NaN,94,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115015,NaN,67,NaN,82,82,95,NaN,86,85,NaN,NaN,80,NaN,77,NaN,80,85,88,NaN,73,85,NaN,NaN,NaN,NaN,75,NaN,NaN,85,NaN,NaN,86,NaN,NaN,87,NaN,90,85,NaN,84,NaN,91,NaN,70,NaN,NaN,84,NaN,NaN,82,NaN,NaN,72,NaN,-1,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115016,NaN,91,NaN,81,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,85,NaN,75,NaN,NaN,80,NaN,NaN,NaN,89,100,NaN,60,NaN,NaN,83,78,NaN,NaN,NaN,NaN,NaN,90,71,NaN,90,83,NaN,NaN,NaN,67,NaN,NaN,76,81,NaN,NaN,NaN,NaN,NaN,71,NaN,91,NaN,70,NaN,NaN,NaN,NaN,90,NaN,84,NaN,86,NaN,91,NaN,93,NaN,89,90,NaN,95,88,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115017,NaN,80,NaN,74,NaN,NaN,NaN,67,83,NaN,NaN,96,NaN,82,NaN,80,NaN,NaN,NaN,60,87,NaN,NaN,NaN,NaN,76,NaN,NaN,83,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,68,NaN,NaN,NaN,73,NaN,NaN,81,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,90,-1,64,82,NaN,NaN,NaN,84,NaN,NaN,87,93,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,85,91,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115025,NaN,85,NaN,67,60,NaN,NaN,NaN,NaN,NaN,89,100,NaN,78,NaN,76,60,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,60,NaN,NaN,79,83,NaN,NaN,NaN,NaN,60,NaN,69,NaN,78,NaN,NaN,93,NaN,64,NaN,NaN,60,78,NaN,NaN,NaN,NaN,48,NaN,73,NaN,65,-1,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,93,NaN,90,NaN,NaN,NaN,79,NaN,NaN,70,72,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402115031,NaN,92,NaN,84,NaN,96,95,NaN,NaN,79,NaN,100,NaN,85,NaN,77,NaN,97,91,NaN,NaN,85,NaN,NaN,NaN,71,NaN,NaN,89,80,NaN,NaN,93,NaN,NaN,94,86,83,NaN,83,NaN,NaN,NaN,84,NaN,NaN,88,84,NaN,NaN,NaN,NaN,NaN,84,NaN,84,77,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1
402115032,NaN,89,NaN,93,NaN,NaN,NaN,92,NaN,NaN,87,NaN,NaN,89,NaN,83,NaN,NaN,NaN,89,NaN,NaN,93,100,NaN,83,NaN,NaN,92,93,NaN,NaN,NaN,88,NaN,NaN,91,88,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,81,90,NaN,NaN,NaN,80,NaN,NaN,-1,92,NaN,87,NaN,NaN,NaN,NaN,NaN,92,NaN,86,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
402115033,NaN,95,NaN,85,NaN,NaN,NaN,81,NaN,85,NaN,100,NaN,93,NaN,87,NaN,NaN,NaN,66,NaN,89,NaN,NaN,NaN,81,90,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,81,86,NaN,NaN,NaN,NaN,NaN,88,93,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,80,NaN,90,80,NaN,NaN,NaN,NaN,93,93,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,84,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
402115034,NaN,92,NaN,89,NaN,NaN,NaN,91,NaN,85,NaN,NaN,NaN,89,NaN,88,NaN,NaN,NaN,77,NaN,89,NaN,100,NaN,81,89,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,80,92,NaN,90,NaN,NaN,NaN,72,93,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,87,86,NaN,NaN,NaN,NaN,NaN,94,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,60,NaN,89,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
402115041,NaN,87,NaN,78,NaN,95,NaN,89,NaN,84,NaN,96,NaN,87,NaN,82,NaN,96,NaN,77,NaN,87,NaN,NaN,NaN,82,NaN,NaN,85,NaN,NaN,87,90,79,NaN,NaN,81,87,94,NaN,NaN,NaN,NaN,80,NaN,NaN,78,NaN,NaN,86,NaN,81,NaN,NaN,-1,86,NaN,NaN,NaN,NaN,90,NaN,88,NaN,87,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402115044,NaN,82,NaN,73,NaN,93,NaN,NaN,NaN,NaN,96,NaN,NaN,83,NaN,72,NaN,76,NaN,NaN,NaN,NaN,89,100,NaN,60,89,NaN,NaN,88,NaN,NaN,65,NaN,NaN,NaN,70,NaN,83,NaN,NaN,88,NaN,63,85,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,69,62,NaN,73,82,NaN,NaN,84,NaN,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402115046,NaN,85,NaN,71,NaN,NaN,NaN,82,NaN,79,NaN,NaN,NaN,85,NaN,70,NaN,NaN,NaN,63,NaN,85,NaN,100,NaN,66,86,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,69,70,86,NaN,NaN,NaN,NaN,63,86,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,76,-1,NaN,82,88,NaN,NaN,68,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,88,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402115051,NaN,93,NaN,90,NaN,NaN,95,NaN,NaN,NaN,89,100,NaN,95,NaN,87,NaN,NaN,95,NaN,NaN,NaN,91,NaN,NaN,91,NaN,88,NaN,NaN,NaN,87,NaN,NaN,NaN,97,NaN,95,98,92,NaN,NaN,NaN,95,NaN,91,NaN,NaN,NaN,87,NaN,NaN,NaN,93,NaN,94,NaN,89,NaN,NaN,88,NaN,NaN,94,95,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115004,NaN,NaN,95,90,NaN,NaN,NaN,92,NaN,87,NaN,NaN,NaN,NaN,94,84,NaN,NaN,NaN,93,NaN,89,NaN,100,NaN,84,93,NaN,NaN,NaN,NaN,85,NaN,89,NaN,NaN,83,NaN,NaN,87,NaN,NaN,NaN,88,94,NaN,NaN,NaN,NaN,87,NaN,85,NaN,NaN,-1,NaN,88,-1,NaN,92,87,NaN,NaN,91,81,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402115010,NaN,NaN,96,83,NaN,93,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,94,80,NaN,90,NaN,NaN,NaN,NaN,85,100,NaN,76,NaN,87,NaN,87,NaN,NaN,91,NaN,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,74,NaN,88,NaN,80,NaN,NaN,94,NaN,NaN,NaN,85,NaN,79,89,NaN,95,NaN,80,NaN,NaN,NaN,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
402115011,NaN,NaN,87,81,65,98,NaN,NaN,NaN,NaN,87,100,NaN,NaN,86,80,61,91,NaN,NaN,NaN,NaN,88,NaN,NaN,73,NaN,NaN,76,87,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,92,88,NaN,NaN,NaN,76,NaN,NaN,84,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,74,NaN,NaN,86,NaN,NaN,91,NaN,88,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,93,88,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
