id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102201@總體經濟學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102401@管制經濟學@2@1,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102101@個體經濟學（一）@1@3,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102102@個體經濟學（二）@2@3,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5104101@個體經濟理論應用@2@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103920@統計軟體應用@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5104710@國際貿易實務@2@1
402510057,NaN,68,NaN,NaN,NaN,92,NaN,70,69,NaN,NaN,NaN,NaN,NaN,NaN,58,NaN,68,NaN,NaN,NaN,NaN,67,66,NaN,NaN,60,NaN,76,NaN,60,-1,42,62,66,55,66,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,83,NaN,81,83,60,75,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510065,NaN,63,NaN,NaN,NaN,91,NaN,64,60,NaN,NaN,NaN,NaN,NaN,NaN,77,50,82,NaN,NaN,NaN,NaN,61,72,NaN,NaN,NaN,NaN,61,NaN,-1,NaN,67,69,NaN,77,NaN,NaN,66,NaN,NaN,NaN,60,70,NaN,62,NaN,60,83,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN
402510089,NaN,64,NaN,NaN,NaN,NaN,70,62,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,72,60,77,NaN,NaN,NaN,60,NaN,78,63,NaN,61,NaN,82,76,83,65,NaN,NaN,NaN,72,72,NaN,78,NaN,78,NaN,NaN,79,NaN,NaN,-1,NaN,NaN,79,NaN,NaN,NaN,NaN,-1,NaN
402510096,NaN,79,NaN,NaN,NaN,NaN,NaN,76,NaN,64,NaN,NaN,90,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,83,NaN,84,NaN,NaN,NaN,83,NaN,84,65,NaN,69,NaN,83,93,NaN,76,NaN,NaN,NaN,92,80,NaN,89,NaN,81,86,NaN,88,NaN,NaN,71,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
402510097,NaN,73,NaN,NaN,NaN,90,NaN,71,NaN,53,65,NaN,NaN,NaN,-1,74,70,NaN,NaN,NaN,NaN,NaN,72,61,57,NaN,NaN,NaN,65,NaN,75,NaN,82,NaN,NaN,60,NaN,NaN,40,NaN,NaN,NaN,72,NaN,88,NaN,72,NaN,99,NaN,73,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
402510099,NaN,69,NaN,NaN,NaN,NaN,80,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402510101,NaN,67,NaN,NaN,NaN,NaN,65,60,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,63,56,NaN,68,NaN,NaN,NaN,83,NaN,65,60,NaN,55,NaN,60,-1,NaN,66,NaN,NaN,NaN,92,72,NaN,80,NaN,72,82,NaN,79,NaN,NaN,73,NaN,NaN,75,NaN,NaN,NaN,-1,-1,NaN
402510109,NaN,83,NaN,NaN,NaN,NaN,80,89,NaN,84,NaN,NaN,NaN,NaN,85,NaN,NaN,98,NaN,NaN,NaN,81,NaN,NaN,NaN,92,NaN,NaN,99,NaN,80,78,NaN,NaN,81,NaN,NaN,NaN,83,74,99,NaN,92,87,NaN,90,69,NaN,NaN,90,NaN,NaN,NaN,84,93,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN
402510024,NaN,NaN,90,NaN,NaN,NaN,NaN,73,65,NaN,NaN,NaN,90,NaN,NaN,79,64,NaN,NaN,NaN,NaN,65,NaN,NaN,92,NaN,NaN,-1,54,NaN,80,67,NaN,81,68,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,83,66,NaN,92,77,NaN,NaN,NaN,80,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
402510068,NaN,NaN,NaN,83,98,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,-1,NaN,76,NaN,74,NaN,NaN,84,72,NaN,65,10,NaN,60,NaN,NaN,66,85,NaN,91,68,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,91,80,90,NaN,77,NaN,84,85,NaN,NaN,NaN,69,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,NaN
