id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5202003@統計學（一）@1@2,5202009@管理科學概論@1@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5202012@運籌管理@2@1,5203051@管理時事英文選讀（一）@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5203073@消費者行為@1@1,5202004@統計學（二）@2@1,5202005@組織行為@2@1,5202005@組織行為@2@2,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203078@非營利組織會計@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1,5204061@專案管理@2@1,5202007@民法概要@1@1,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203002@人力資源管理@1@2,5203056@管理時事英文選讀（二）@1@1,5203060@訓練與發展@1@1,5204002@策略管理@1@1,5204002@策略管理@1@2,5204070@國際財務管理@1@1,5204071@非營利組織財務管理@1@1,5204076@人文思考與創造力@1@1,5202039@組織行為@2@1,5202039@組織行為@2@2,5203045@系統模擬@2@1,5203077@全面品質管理@2@1,5203079@行銷個案研討@2@1
403520026,74,NaN,NaN,81,NaN,NaN,NaN,43,65,NaN,71,NaN,39,NaN,NaN,57,85,NaN,71,44,NaN,77,81,NaN,NaN,74,82,NaN,68,NaN,NaN,NaN,-1,66,89,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1
403520028,84,NaN,NaN,77,NaN,NaN,NaN,84,NaN,90,NaN,90,79,NaN,NaN,NaN,82,NaN,NaN,NaN,80,NaN,93,NaN,NaN,92,87,NaN,NaN,76,84,NaN,73,-1,NaN,NaN,NaN,-1,NaN,78,NaN,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520030,81,NaN,NaN,94,NaN,NaN,NaN,85,NaN,83,78,NaN,76,NaN,90,NaN,82,NaN,NaN,NaN,NaN,78,92,NaN,85,NaN,NaN,NaN,86,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403520032,80,NaN,NaN,65,NaN,NaN,NaN,86,NaN,78,NaN,77,79,NaN,65,NaN,82,NaN,85,NaN,NaN,81,86,NaN,NaN,82,85,NaN,84,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,82,NaN,NaN,92,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,-1
403520034,93,NaN,NaN,98,NaN,NaN,91,NaN,89,NaN,100,NaN,88,NaN,99,NaN,90,NaN,98,NaN,NaN,72,NaN,100,94,NaN,NaN,92,NaN,94,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520036,88,NaN,NaN,97,NaN,NaN,NaN,99,NaN,96,90,NaN,86,NaN,92,NaN,NaN,75,90,NaN,76,NaN,90,NaN,NaN,99,NaN,NaN,NaN,90,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403520038,88,NaN,NaN,98,NaN,NaN,NaN,95,NaN,95,NaN,78,74,NaN,98,NaN,NaN,80,93,-1,NaN,72,93,NaN,92,NaN,NaN,NaN,83,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,79,93,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
403520042,75,NaN,NaN,65,NaN,NaN,NaN,78,NaN,76,72,NaN,NaN,NaN,70,NaN,85,NaN,60,NaN,NaN,74,84,NaN,NaN,80,96,NaN,53,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,-1,NaN,NaN,NaN
403520044,74,NaN,NaN,66,NaN,NaN,NaN,52,NaN,73,48,61,70,NaN,NaN,NaN,82,NaN,70,NaN,NaN,66,86,78,NaN,78,86,NaN,69,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
403520046,73,NaN,NaN,78,NaN,NaN,NaN,93,80,NaN,NaN,92,81,NaN,76,NaN,NaN,75,90,NaN,NaN,80,92,NaN,NaN,94,86,NaN,86,NaN,NaN,NaN,-1,-1,-1,NaN,84,-1,NaN,75,NaN,NaN,NaN,87,74,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1
