id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5204061@專案管理@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203056@管理時事英文選讀（二）@1@1,5204076@人文思考與創造力@1@1,5201016@經濟學原理(二)@2@1,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@1,5202039@組織行為@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1
404520064,75,NaN,NaN,38,NaN,NaN,66,NaN,NaN,70,NaN,21,NaN,NaN,NaN,NaN,95,NaN,NaN,80,73,NaN,80,53,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520065,81,NaN,NaN,83,NaN,65,NaN,78,NaN,93,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,88,83,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520066,82,NaN,NaN,83,NaN,NaN,84,NaN,NaN,91,NaN,NaN,NaN,NaN,93,NaN,95,NaN,83,NaN,NaN,87,87,99,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520067,74,NaN,NaN,67,NaN,70,71,NaN,NaN,67,NaN,75,NaN,NaN,79,NaN,NaN,NaN,72,NaN,NaN,82,68,81,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404520068,62,NaN,NaN,69,NaN,NaN,76,NaN,NaN,71,NaN,NaN,NaN,61,NaN,NaN,95,NaN,71,NaN,NaN,86,72,76,NaN,80,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520070,68,NaN,NaN,76,NaN,NaN,NaN,56,NaN,NaN,79,83,NaN,80,NaN,93,NaN,NaN,74,NaN,NaN,97,69,NaN,75,NaN,79,87,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520071,80,NaN,NaN,72,NaN,75,69,NaN,NaN,78,NaN,79,NaN,80,NaN,NaN,NaN,NaN,NaN,80,NaN,76,79,NaN,74,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404520073,69,NaN,NaN,54,50,NaN,65,NaN,NaN,74,NaN,75,NaN,72,NaN,NaN,NaN,NaN,NaN,70,77,NaN,79,74,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520074,76,NaN,NaN,83,NaN,NaN,79,NaN,NaN,NaN,81,-1,NaN,78,NaN,92,NaN,NaN,NaN,66,94,NaN,86,NaN,83,NaN,72,NaN,NaN,76,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
404520076,65,NaN,NaN,63,NaN,NaN,66,NaN,NaN,NaN,76,74,NaN,74,NaN,95,NaN,NaN,67,NaN,NaN,81,70,48,NaN,75,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404520078,74,NaN,NaN,79,NaN,NaN,NaN,71,NaN,56,-1,NaN,NaN,72,NaN,92,NaN,NaN,NaN,70,NaN,83,81,63,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520082,79,NaN,NaN,83,NaN,NaN,NaN,72,NaN,NaN,78,85,NaN,85,NaN,NaN,96,NaN,NaN,78,NaN,91,77,NaN,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520087,71,NaN,NaN,75,NaN,65,62,NaN,NaN,31,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,87,NaN,65,69,NaN,86,NaN,87,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520088,70,NaN,NaN,65,NaN,NaN,68,NaN,NaN,NaN,-1,84,NaN,68,NaN,NaN,95,NaN,66,NaN,NaN,91,87,NaN,66,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520089,76,NaN,NaN,68,NaN,60,68,NaN,NaN,93,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,89,74,87,NaN,75,NaN,87,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520090,82,NaN,NaN,79,NaN,NaN,NaN,79,NaN,84,NaN,82,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520091,85,NaN,NaN,82,90,NaN,77,NaN,NaN,89,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,91,77,NaN,98,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520092,76,NaN,NaN,83,NaN,NaN,NaN,74,NaN,NaN,87,82,NaN,86,NaN,NaN,95,NaN,NaN,80,NaN,87,87,NaN,73,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520094,79,NaN,NaN,82,NaN,NaN,75,NaN,NaN,NaN,87,88,NaN,78,NaN,96,NaN,NaN,76,NaN,NaN,93,75,84,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520095,75,NaN,NaN,77,NaN,65,72,NaN,NaN,71,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,72,NaN,NaN,90,76,73,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520096,85,NaN,NaN,87,NaN,NaN,84,NaN,NaN,NaN,98,91,NaN,90,NaN,NaN,97,NaN,83,NaN,NaN,96,81,100,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
