id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201002@管理學@2@1,5201002@管理學@2@2,5201002@管理學@2@3,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5204061@專案管理@2@1,5202001@行銷管理@1@1,5202001@行銷管理@1@2,5202003@統計學（一）@1@1,5202003@統計學（一）@1@2,5202007@民法概要@1@1,5202009@管理科學概論@1@1,5202009@管理科學概論@1@2,5202011@財務管理@1@1,5202011@財務管理@1@2,5202041@服務業行銷管理@1@1,5203002@人力資源管理@1@1,5203056@管理時事英文選讀（二）@1@1,5204076@人文思考與創造力@1@1,5201016@經濟學原理(二)@2@1,5202004@統計學（二）@2@1,5202012@運籌管理@2@1,5202012@運籌管理@2@2,5202013@管理資訊系統概論@2@1,5202013@管理資訊系統概論@2@2,5202039@組織行為@2@1,5202039@組織行為@2@2,5203006@人文與企業倫理專題@2@1,5203043@管理經濟學@2@1,5203045@系統模擬@2@1,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1,5203079@行銷個案研討@2@1,5203082@期貨與選擇權實務@2@1,5203083@領導學@2@1,5203084@企業倫理@2@1
404520025,NaN,76,NaN,76,90,NaN,NaN,72,NaN,75,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,83,NaN,80,NaN,90,NaN,78,NaN,NaN,64,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
404520027,NaN,73,67,NaN,90,NaN,NaN,76,NaN,92,NaN,71,NaN,74,NaN,NaN,NaN,NaN,80,NaN,NaN,90,68,83,NaN,95,NaN,87,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520033,NaN,77,86,NaN,90,NaN,NaN,81,NaN,72,NaN,92,NaN,NaN,-1,NaN,NaN,NaN,NaN,82,NaN,90,73,80,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404520038,NaN,61,78,NaN,NaN,NaN,NaN,62,NaN,69,NaN,79,NaN,NaN,NaN,NaN,95,NaN,67,NaN,NaN,80,88,45,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520039,NaN,68,68,NaN,NaN,80,NaN,73,NaN,92,NaN,85,NaN,73,NaN,NaN,NaN,NaN,NaN,74,NaN,93,83,71,NaN,81,NaN,NaN,NaN,81,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520041,NaN,70,69,NaN,NaN,70,65,NaN,NaN,71,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,80,NaN,NaN,75,84,64,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520045,NaN,75,NaN,91,90,NaN,NaN,99,NaN,99,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,82,97,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520047,NaN,87,96,NaN,NaN,80,83,NaN,NaN,100,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,80,NaN,NaN,92,78,95,NaN,98,NaN,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404520057,NaN,77,89,NaN,NaN,65,NaN,92,NaN,NaN,97,89,NaN,97,NaN,NaN,NaN,NaN,NaN,90,NaN,91,84,NaN,100,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520062,NaN,62,53,NaN,NaN,NaN,NaN,-1,NaN,83,NaN,76,NaN,69,NaN,91,NaN,NaN,NaN,NaN,NaN,73,74,NaN,67,NaN,75,NaN,NaN,54,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520063,NaN,66,76,NaN,NaN,65,-1,55,NaN,69,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,78,76,NaN,82,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
404520069,NaN,88,98,NaN,90,NaN,86,NaN,NaN,100,NaN,92,NaN,NaN,96,NaN,NaN,NaN,86,NaN,NaN,95,83,97,NaN,100,NaN,90,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404520072,NaN,64,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,70,NaN,73,NaN,NaN,NaN,95,77,NaN,NaN,NaN,69,80,65,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520075,NaN,78,NaN,78,NaN,90,NaN,71,NaN,60,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,80,NaN,80,69,69,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520077,NaN,80,81,NaN,90,NaN,NaN,82,NaN,88,NaN,81,NaN,86,NaN,NaN,NaN,NaN,NaN,77,NaN,99,71,81,NaN,80,NaN,NaN,NaN,94,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520079,NaN,68,71,NaN,NaN,80,72,NaN,NaN,76,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,75,NaN,91,78,NaN,95,NaN,86,NaN,NaN,73,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520081,NaN,76,83,NaN,NaN,85,71,NaN,NaN,87,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,82,NaN,NaN,84,69,90,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520083,NaN,77,87,NaN,NaN,85,NaN,75,NaN,82,NaN,86,NaN,81,NaN,NaN,NaN,NaN,NaN,84,86,NaN,74,88,NaN,87,NaN,NaN,NaN,58,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520085,NaN,85,79,NaN,NaN,85,81,NaN,NaN,100,NaN,83,NaN,NaN,95,NaN,NaN,NaN,NaN,77,95,NaN,78,100,NaN,87,NaN,90,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404520093,NaN,73,73,NaN,NaN,65,NaN,69,NaN,50,-1,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,81,NaN,68,66,NaN,82,NaN,NaN,NaN,68,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
404520024,NaN,83,NaN,91,93,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
