id,5201001@企業概論@1@1,5201001@企業概論@1@2,5201010@初級會計學(一)@1@1,5201010@初級會計學(一)@1@2,5201015@經濟學原理（一）@1@1,5201888@學系服務學習@1@1,5201888@學系服務學習@1@2,5201001@企業概論@2@1,5201002@管理學@2@1,5201002@管理學@2@2,5201007@線性代數@2@1,5201007@線性代數@2@2,5201009@商用軟體應用與設計@2@1,5201009@商用軟體應用與設計@2@2,5201011@初級會計學(二)@2@1,5201011@初級會計學(二)@2@2,5201016@經濟學原理(二)@2@1,5201888@學系服務學習@2@1,5201888@學系服務學習@2@2,5203051@管理時事英文選讀（一）@2@1,5203078@非營利組織會計@2@1
405520069,83,NaN,NaN,83,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520070,76,NaN,NaN,85,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520073,80,NaN,78,NaN,81,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520075,78,NaN,NaN,62,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520079,89,NaN,NaN,89,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520083,68,NaN,71,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
405520085,83,NaN,94,NaN,86,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
405520087,67,NaN,66,NaN,77,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
405520088,87,NaN,NaN,69,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520092,76,NaN,83,NaN,NaN,NaN,90,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
405520093,72,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN
405520094,81,NaN,NaN,79,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520095,68,NaN,64,NaN,80,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
405520096,79,NaN,NaN,60,NaN,NaN,90,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520003,NaN,80,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520006,NaN,81,NaN,85,NaN,98,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520011,NaN,73,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN
405520018,NaN,78,NaN,79,NaN,93,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520020,NaN,76,NaN,80,NaN,93,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520022,NaN,75,NaN,79,NaN,93,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520026,NaN,83,NaN,90,NaN,93,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520028,NaN,86,NaN,85,NaN,98,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520036,NaN,66,NaN,61,NaN,93,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520040,NaN,66,NaN,65,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520042,NaN,73,NaN,83,NaN,95,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520044,NaN,73,NaN,75,NaN,93,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520046,NaN,90,NaN,98,NaN,NaN,90,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520047,NaN,58,NaN,73,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520050,NaN,79,NaN,86,NaN,NaN,92,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520054,NaN,83,NaN,90,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
405520055,NaN,71,NaN,38,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
405520058,NaN,83,NaN,78,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520060,NaN,66,NaN,71,NaN,NaN,90,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520062,NaN,65,NaN,67,NaN,NaN,90,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
405520064,NaN,66,NaN,79,NaN,NaN,92,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405520071,NaN,66,NaN,67,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
405520072,NaN,83,NaN,88,NaN,NaN,90,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
405520074,NaN,69,NaN,65,NaN,NaN,90,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
405520076,NaN,77,NaN,88,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
