id,3351001@整合傳播概論@1@1,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351888@學系服務學習@1@1,3351004@視聽傳播@2@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351016@創意與設計概論@2@1,3351020@媒介寫作（一）@2@1,3351020@媒介寫作（一）@2@2,3351021@媒介與社會@2@1,3351888@學系服務學習@2@1,3352001@資訊傳播@1@1,3352001@資訊傳播@1@2,3352005@媒介寫作（二）@1@1,3352005@媒介寫作（二）@1@2,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352019@進階視聽傳播@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352029@影像寫作@1@1,3352006@訊息設計@2@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3353018@音樂、影像與展演@2@1,3353021@紀錄片與專題製作@2@1,3351022@社會學與傳播@1@1,3352028@廣告心理與行銷@1@1,3353001@媒體製作實務（一）@1@1,3353002@校內實習（一）@1@1,3353016@傳播倫理@1@1,3353017@傳播法規@1@1,3354002@推廣製作專題@1@1,3352021@傳播典範人物@2@1,3352032@國際傳播@2@1,3353007@校內實習（二）@2@1,3353008@媒體製作實務（二）@2@1,3353010@創意策略與企劃@2@1,3353011@資訊編輯企劃@2@1,3353015@媒體思辨@2@1,3354003@資訊製作專題@1@1,3354015@畢業製作（一）@1@1,3351029@基礎聲音製作@2@1,3353023@調查報導@2@1,3354016@畢業製作@2@1,3352033@傳播倫理@1@1,3353022@華人電影專題研究@1@1,3353024@數位媒體製作實務(一)@1@1,3351025@創意短片製作@2@1,3353025@數位媒體製作實務(二)@2@1
401335011,85,NaN,74,85,NaN,82,82,95,80,66,81,86,88,NaN,79,NaN,85,NaN,86,NaN,81,NaN,NaN,87,NaN,78,85,NaN,88,NaN,NaN,NaN,83,85,NaN,NaN,84,84,90,88,NaN,89,NaN,89,89,85,NaN,NaN,90,89,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401335012,76,NaN,61,77,NaN,78,73,NaN,80,78,54,NaN,NaN,90,66,68,NaN,86,NaN,81,74,NaN,NaN,51,73,61,88,NaN,82,NaN,-1,NaN,NaN,NaN,63,NaN,NaN,82,NaN,20,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,86,NaN,NaN,NaN,NaN,70,77,82,-1,-1
401335013,84,86,NaN,86,NaN,NaN,84,90,72,82,77,86,86,NaN,81,NaN,92,NaN,84,NaN,78,91,NaN,80,58,NaN,64,NaN,89,82,NaN,NaN,NaN,NaN,NaN,63,86,86,NaN,90,NaN,89,85,77,77,81,88,84,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335014,99,NaN,84,87,NaN,78,84,NaN,87,83,NaN,84,87,NaN,86,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335015,99,88,NaN,85,NaN,NaN,90,98,87,86,83,84,91,NaN,79,NaN,95,NaN,86,NaN,86,90,NaN,NaN,77,83,91,90,93,90,NaN,84,NaN,86,NaN,NaN,92,92,83,90,NaN,90,NaN,92,92,90,86,NaN,90,92,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
401335016,90,NaN,81,84,NaN,82,84,NaN,86,86,NaN,84,NaN,91,75,90,NaN,87,NaN,96,83,87,NaN,NaN,89,88,NaN,94,93,90,NaN,87,NaN,NaN,NaN,NaN,89,89,90,90,92,NaN,85,91,91,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335017,99,88,NaN,85,NaN,87,88,90,86,82,82,83,91,NaN,86,NaN,94,NaN,86,NaN,84,NaN,NaN,NaN,78,88,92,90,92,90,NaN,85,NaN,NaN,NaN,NaN,94,94,NaN,91,92,88,NaN,92,92,90,92,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335018,77,NaN,77,83,NaN,77,85,NaN,84,78,76,84,NaN,86,77,81,92,NaN,NaN,93,83,NaN,NaN,79,74,85,NaN,95,95,80,NaN,90,NaN,82,NaN,77,89,89,NaN,84,89,83,NaN,76,76,87,NaN,NaN,NaN,87,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
401335019,99,90,NaN,86,NaN,NaN,89,93,84,76,77,87,91,NaN,77,NaN,96,NaN,86,NaN,86,NaN,83,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401335021,99,86,NaN,84,80,79,86,90,83,83,NaN,84,91,NaN,83,NaN,95,NaN,85,NaN,81,NaN,NaN,77,71,89,93,94,90,88,NaN,85,NaN,NaN,NaN,NaN,93,93,89,90,91,89,NaN,89,89,90,NaN,NaN,NaN,84,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
