id,2201011@普通物理（一）@1@3,2201031@基礎物理數學@1@1,2202004@基礎物理實驗學（二）@1@1,2202011@應用數學（一）@1@1,2202031@電磁學（一）@1@1,2203005@進階光學實驗學@1@1,2203021@量子物理（一）@1@1,2203050@光學@1@1,2203071@應用電子學（一）@1@1,2203090@物理專題（一）@1@1,2204040@原子分子物理導論@1@1,2204091@物理專題（二）@1@1,2204092@物理專題（三）@1@1,2201002@普通物理實驗（二）@2@10,2201012@普通物理（二）@2@2,2201012@普通物理（二）@2@7,2201031@基礎物理數學@2@1,2202011@應用數學（一）@2@1,2202012@應用數學（二）@2@1,2202032@電磁學（二）@2@1,2202060@近代物理@2@1,2202060@近代物理@2@2,2203006@近代物理實驗學@2@1,2203007@計算物理導論@2@1,2203022@量子物理（二）@2@1,2203041@熱統計物理學@2@1,2203090@物理專題（一）@2@1,2204001@固態物理導論（一）@2@1,2204021@進階光學@2@1,2204091@物理專題（二）@2@1,2204092@物理專題（三）@2@1,2204093@物理專題（四）@2@1,2201011@普通物理（一）@1@2,2202060@近代物理@1@1,2204010@基本粒子物理導論@1@1,2204093@物理專題（四）@1@1,2201011@普通物理（一）@1@4,2201001@普通物理實驗（一）@1@1,2201001@普通物理實驗（一）@1@3,2201011@普通物理（一）@1@1,2201002@普通物理實驗（二）@2@1,2201002@普通物理實驗（二）@2@3,2201012@普通物理（二）@2@1,2202003@基礎物理實驗學（一）@1@1,2202020@理論力學@1@1,2202003@基礎物理實驗學（一）@2@1,2202004@基礎物理實驗學（二）@2@1,2203072@應用電子學（二）@2@1
498220037,NaN,NaN,NaN,28,33,75,66,69,80,NaN,68,90,NaN,NaN,48,60,61,67,88,65,NaN,50,71,NaN,62,81,85,NaN,60,NaN,NaN,NaN,60,NaN,79,NaN,NaN,NaN,89,NaN,NaN,63,NaN,72,72,NaN,75,NaN
498220045,NaN,72,NaN,NaN,13,83,74,84,85,NaN,79,NaN,NaN,NaN,60,NaN,30,65,73,62,NaN,40,NaN,80,70,77,NaN,30,NaN,NaN,NaN,NaN,69,60,75,NaN,NaN,NaN,82,NaN,NaN,73,NaN,81,71,NaN,79,NaN
498220048,NaN,NaN,64,42,54,72,63,77,NaN,NaN,70,NaN,NaN,NaN,65,NaN,66,72,72,72,NaN,60,79,90,66,80,80,NaN,67,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,81,NaN,NaN,74,84,NaN,NaN
498220003,NaN,NaN,NaN,80,73,83,93,76,75,90,NaN,NaN,NaN,NaN,77,NaN,77,NaN,85,78,NaN,80,90,NaN,89,96,NaN,NaN,79,NaN,NaN,NaN,80,NaN,90,NaN,NaN,NaN,84,NaN,NaN,94,NaN,73,83,NaN,90,NaN
498220005,NaN,NaN,NaN,70,80,75,88,67,87,NaN,83,NaN,NaN,NaN,NaN,NaN,73,NaN,76,82,NaN,70,83,NaN,85,90,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,64,81,NaN,78,90,91,NaN,78,NaN
498220007,NaN,NaN,NaN,80,80,77,61,83,70,NaN,92,NaN,NaN,NaN,NaN,NaN,80,NaN,75,81,NaN,70,NaN,NaN,65,76,75,NaN,75,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,88,NaN,83,93,NaN,65,82,80,NaN,79,NaN
498220010,NaN,NaN,81,60,65,83,74,68,81,NaN,61,75,NaN,NaN,NaN,NaN,64,NaN,50,41,NaN,60,79,80,60,77,85,55,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,96,NaN,93,94,NaN,75,NaN,60,82,NaN,NaN
498220011,NaN,NaN,NaN,60,75,77,69,72,80,NaN,75,NaN,NaN,NaN,NaN,NaN,69,NaN,79,70,NaN,70,75,NaN,76,84,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,75,84,NaN,67,93,76,NaN,81,NaN
498220015,NaN,NaN,NaN,0,67,75,94,70,74,NaN,60,NaN,NaN,NaN,NaN,NaN,61,89,90,60,NaN,60,74,82,76,80,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,85,83,NaN,73,77,60,NaN,75,NaN
498220018,NaN,NaN,90,85,93,90,95,91,85,75,NaN,NaN,90,NaN,85,NaN,77,NaN,99,94,NaN,95,NaN,NaN,98,98,NaN,98,NaN,85,NaN,90,65,NaN,98,NaN,NaN,NaN,88,NaN,NaN,73,NaN,NaN,95,84,NaN,NaN
498220019,NaN,NaN,NaN,NaN,80,75,70,60,82,NaN,NaN,NaN,NaN,NaN,79,NaN,75,79,73,63,NaN,65,77,NaN,69,74,NaN,NaN,64,NaN,NaN,NaN,73,NaN,85,NaN,NaN,NaN,85,NaN,NaN,85,NaN,93,70,NaN,76,NaN
498220024,NaN,NaN,73,65,80,74,99,80,65,NaN,44,NaN,NaN,NaN,86,NaN,66,NaN,64,76,NaN,75,NaN,60,60,60,NaN,60,0,NaN,NaN,NaN,85,NaN,70,NaN,NaN,NaN,88,NaN,NaN,80,NaN,NaN,80,82,NaN,NaN
498220027,NaN,NaN,NaN,75,86,72,90,88,90,NaN,67,NaN,NaN,NaN,82,NaN,76,NaN,96,83,NaN,75,NaN,83,79,87,NaN,NaN,81,NaN,NaN,NaN,79,NaN,96,NaN,NaN,NaN,85,NaN,NaN,71,NaN,88,84,NaN,82,NaN
498220032,NaN,NaN,80,40,62,68,70,60,72,NaN,60,NaN,NaN,NaN,78,NaN,79,60,61,68,NaN,60,86,NaN,63,75,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,70,NaN,NaN,NaN,91,NaN,NaN,86,NaN,NaN,77,80,NaN,70
498220039,NaN,NaN,NaN,NaN,60,79,64,67,80,NaN,NaN,NaN,NaN,NaN,69,NaN,63,79,92,69,NaN,65,NaN,95,76,86,NaN,NaN,64,NaN,NaN,NaN,69,NaN,85,NaN,NaN,NaN,80,NaN,NaN,60,NaN,94,60,NaN,76,NaN
