id,3151505@解剖與生理學@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3153503@心理藥物學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151503@生理學（二）@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3151504@認識動物行為實驗@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153963@行為改變技術@2@1,3153003@心理測驗學理論@1@1,3152013@資料分析@2@1,3153008@神經行銷學專題@2@1,3153311@情緒心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153261@語言心理學@1@1,3153907@臨床心理學見習@1@1,3153302@青少年發展@2@1
401250043,82,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250011,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250027,NaN,97,93,85,NaN,100,NaN,80,89,NaN,97,100,NaN,93,88,91,91,89,NaN,87,98,94,NaN,86,93,NaN,NaN,84,NaN,NaN,88,NaN
401250044,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250004,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN
401250007,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN
401250009,85,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250010,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250013,NaN,79,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401250034,NaN,82,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
