id,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151504@認識動物行為實驗@1@1,3151888@學系服務學習@1@1,3151910@心理學閱讀技巧@1@1,3152701@社會心理學@1@1,3151002@普通心理學（二）@2@1,3151004@心理及教育統計學（二）@2@1,3151503@生理學（二）@2@1,3151505@解剖與生理學@2@1,3151888@學系服務學習@2@1,3152702@性格心理學@2@1,3151512@生理學實驗@1@1,3152004@心理學實驗法@1@1,3152301@發展心理學@1@1,3152505@生理心理學（一）@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153311@情緒心理學@1@1,3153503@心理藥物學@1@1,3153506@飲食與健康@1@1,3153902@變態心理學@1@1,3152013@資料分析@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3152506@生理心理學（二）@2@1,3153312@兒童發展：推理與決策專題@2@1,3153751@組織行為學@2@1,3153911@優雅的銀髮生活：多層次照護環境之營造@2@1,3153963@行為改變技術@2@1,3154502@睡眠管理@2@1,3153003@心理測驗學理論@1@1,3153005@情緒與認知@1@1,3153031@高齡學：多元面向探討@1@1,3153103@認知心理學專題研究@1@1,3153008@神經行銷學專題@2@1,3153105@認知心理學專題研究（二）@2@1,3153302@青少年發展@2@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3152508@生理學(一)@1@1,3153104@設計心理學@1@1,3153261@語言心理學@1@1,3153704@人類關係導論@1@1,3153907@臨床心理學見習@1@1,3153965@諮商理論@1@1,3154918@領導心理學@1@1,3153104@設計心理學@2@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
402315047,79,83,64,NaN,90,NaN,76,82,81,NaN,NaN,NaN,86,NaN,90,74,75,82,89,76,NaN,NaN,92,73,73,85,82,NaN,NaN,NaN,NaN,NaN,76,NaN,88,NaN,81,NaN,NaN,NaN,88,NaN,NaN,96,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315048,76,77,75,87,NaN,NaN,91,71,90,NaN,NaN,100,75,NaN,91,81,88,98,92,85,NaN,NaN,99,83,89,90,73,-1,89,NaN,NaN,NaN,85,NaN,90,NaN,NaN,NaN,87,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
402315049,60,87,60,83,90,74,75,60,61,NaN,NaN,NaN,64,NaN,65,64,66,73,88,50,NaN,NaN,93,60,74,75,69,NaN,63,NaN,NaN,NaN,66,NaN,NaN,NaN,82,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,-1
402315050,61,69,60,84,NaN,NaN,71,69,64,NaN,NaN,100,65,NaN,72,71,60,69,88,60,NaN,73,73,NaN,60,73,70,NaN,NaN,NaN,NaN,70,61,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,87,NaN,NaN,-1
402315051,60,77,60,94,90,NaN,70,61,67,53,70,NaN,65,70,74,65,80,73,94,67,79,NaN,84,67,75,83,67,NaN,NaN,NaN,NaN,74,69,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,92,86,NaN,NaN,77,NaN,NaN,NaN,-1
402315052,87,82,70,88,NaN,NaN,85,88,84,NaN,NaN,100,84,NaN,83,87,91,96,92,78,NaN,NaN,94,76,72,85,65,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,72,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315054,82,96,80,89,NaN,NaN,81,78,96,81,90,100,74,NaN,85,84,83,97,92,NaN,NaN,NaN,88,71,76,90,63,86,NaN,NaN,NaN,NaN,81,NaN,92,NaN,NaN,NaN,NaN,NaN,87,76,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
402315056,74,67,80,93,NaN,NaN,66,60,62,69,90,100,61,84,82,66,70,73,88,NaN,NaN,89,86,NaN,78,84,79,NaN,NaN,NaN,80,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315058,75,72,67,NaN,90,NaN,66,68,65,NaN,NaN,NaN,63,NaN,66,68,64,70,89,70,NaN,NaN,71,NaN,60,83,60,NaN,-1,80,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,74,NaN,NaN,NaN,84,NaN,85,NaN,-1,-1,NaN
402315059,83,87,64,NaN,90,NaN,78,86,78,NaN,NaN,NaN,92,NaN,85,77,68,78,89,NaN,NaN,NaN,94,81,77,90,75,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,75,NaN,NaN,84,NaN,85,NaN,NaN,-1,-1,NaN
402315060,89,92,77,NaN,NaN,NaN,88,74,92,NaN,NaN,85,100,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,93,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402315057,NaN,NaN,NaN,93,90,NaN,90,NaN,85,NaN,NaN,NaN,95,NaN,84,89,90,96,89,NaN,NaN,98,92,77,84,88,79,87,NaN,NaN,NaN,NaN,86,NaN,NaN,91,NaN,93,NaN,NaN,94,86,NaN,NaN,NaN,NaN,91,91,NaN,NaN,NaN,NaN
402315062,83,73,48,NaN,NaN,NaN,87,80,71,NaN,NaN,-1,95,NaN,78,63,NaN,70,89,NaN,NaN,NaN,91,NaN,79,60,86,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,62,86,NaN,NaN,NaN,76,NaN,NaN,-1,NaN
402315061,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,74,NaN,71,61,74,NaN,NaN,NaN,66,NaN,62,76,-1,NaN,NaN,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,-1,NaN,NaN
