id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101053@健康保險概論@1@1,3101888@學系服務學習@1@1,3102141@社會團體工作導論@1@1,3101013@人口學@2@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102156@障礙研究：理論與議題@2@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102143@人類行為與社會環境@1@1,3102157@高齡社會：機會與挑戰@1@1,3102158@社會福利區位分析@1@1,3103069@方案設計與評估@1@1,3103092@社會福利服務@1@1,3101054@心理學@2@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3102159@貧窮與福祉@2@1,3102160@公益創投與社會企業@2@1,3103035@社會福利行政@2@1,3103042@社會不均@2@1,3103066@家庭政策@2@1,3101054@心理學@1@1,3102010@人類行為與社會環境@1@1,3102161@兒童褔利服務@1@1,3102162@社會團體工作@1@1,3103014@社會研究法（一）@1@1,3103016@社會福利財政@1@1,3103075@社會福利區位分析@1@1,3103093@社會保險財務@1@1,3104055@健康與現代社會@1@1,3104902@社會政策與社會立法@1@1,3102012@社會福利經濟分析@2@1,3103018@社會研究法（二）@2@1,3103031@社會福利資料分析@2@1,3103077@社會福利實習（一）：A組@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3104058@福利國家發展@2@1,3102135@法學緒論@1@1,3103094@長期照護服務的需求與供給@1@1,3104051@社會福利實習（二）：A組@1@1,3104052@社會福利實習（二）：B組@1@1,3104053@社會福利實習（二）：C組@1@1,3102163@行政法@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103096@倡議, 社會運動與社會政策@2@1,3102145@社區工作@1@1
401310012,69,71,71,79,NaN,NaN,81,NaN,77,71,71,83,80,82,NaN,64,64,80,77,80,NaN,87,NaN,78,68,79,79,81,83,NaN,NaN,95,87,NaN,NaN,NaN,NaN,NaN,80,82,NaN,82,NaN,73,82,81,NaN,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN
401310013,76,87,69,80,NaN,85,77,82,77,83,71,88,NaN,84,NaN,74,86,78,80,NaN,NaN,85,NaN,NaN,81,82,86,88,86,NaN,NaN,93,79,84,89,NaN,NaN,NaN,82,87,NaN,NaN,NaN,81,NaN,87,NaN,NaN,NaN,89,85,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN
401310014,85,90,86,81,NaN,NaN,84,84,89,85,77,92,80,NaN,NaN,80,95,81,85,94,NaN,87,NaN,NaN,91,82,NaN,85,NaN,88,91,78,89,NaN,90,NaN,NaN,NaN,88,89,NaN,NaN,NaN,83,89,87,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
401310015,82,84,76,74,NaN,85,87,NaN,80,73,79,73,NaN,83,NaN,83,83,84,81,87,NaN,90,NaN,NaN,78,77,NaN,83,NaN,85,89,92,91,NaN,NaN,NaN,90,NaN,88,68,87,NaN,NaN,89,99,96,92,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401310016,75,65,75,75,NaN,NaN,75,NaN,73,76,73,72,80,88,NaN,70,79,76,NaN,80,NaN,84,NaN,84,72,78,82,84,93,NaN,78,81,78,NaN,NaN,84,NaN,NaN,91,75,NaN,NaN,NaN,87,NaN,89,NaN,NaN,88,NaN,86,NaN,NaN,88,NaN,NaN,79,NaN,NaN,NaN
401310018,88,74,82,85,81,NaN,87,NaN,87,89,84,96,80,90,NaN,76,97,85,NaN,NaN,NaN,94,NaN,NaN,85,85,90,82,93,86,NaN,89,92,NaN,96,91,NaN,NaN,91,87,92,NaN,NaN,92,NaN,97,NaN,87,NaN,NaN,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN
401310019,75,61,72,70,NaN,85,74,NaN,87,66,73,83,NaN,84,84,67,79,81,NaN,80,NaN,86,NaN,NaN,75,85,75,83,92,NaN,89,77,87,NaN,86,76,85,NaN,83,68,NaN,NaN,NaN,78,NaN,82,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN
401310020,64,69,66,80,71,NaN,80,NaN,62,70,64,64,80,80,NaN,72,83,71,NaN,66,NaN,84,NaN,82,75,60,NaN,77,NaN,NaN,81,73,83,NaN,NaN,NaN,84,NaN,71,60,NaN,NaN,NaN,82,66,62,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401310021,69,66,69,77,62,85,73,NaN,78,60,-1,71,NaN,79,NaN,67,60,72,NaN,86,NaN,81,NaN,71,60,62,NaN,70,86,NaN,NaN,74,82,NaN,NaN,70,74,NaN,78,67,NaN,NaN,NaN,64,91,78,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN
401310022,81,64,70,80,81,NaN,83,80,81,72,72,88,80,85,NaN,80,60,87,86,NaN,NaN,85,NaN,NaN,60,83,89,85,88,NaN,NaN,95,81,NaN,88,NaN,88,NaN,82,73,NaN,NaN,NaN,74,86,82,NaN,89,NaN,NaN,89,NaN,NaN,NaN,NaN,88,74,NaN,NaN,NaN
