id,3101021@社會學（一）@1@1,3101023@經濟學（一）@1@1,3101033@社會福利概論（一）@1@1,3101035@社會工作概論@1@1,3101888@學系服務學習@1@1,3103069@方案設計與評估@1@1,3101022@社會學（二）@2@1,3101024@經濟學（二）@2@1,3101034@社會福利概論（二）@2@1,3101051@社會心理學@2@1,3101054@心理學@2@1,3101888@學系服務學習@2@1,3102152@社會工作管理@2@1,3102160@公益創投與社會企業@2@1,3101054@心理學@1@1,3102010@人類行為與社會環境@1@1,3102016@社會問題@1@1,3102017@社會統計（一）@1@1,3102023@政治學（一）@1@1,3102157@高齡社會：機會與挑戰@1@1,3102161@兒童褔利服務@1@1,3102162@社會團體工作@1@1,3103014@社會研究法（一）@1@1,3103075@社會福利區位分析@1@1,3102018@社會統計（二）@2@1,3102024@政治學（二）@2@1,3102053@社會個案工作@2@1,3102135@法學緒論@2@1,3102145@社區工作@2@1,3103031@社會福利資料分析@2@1,3103035@社會福利行政@2@1,3104058@福利國家發展@2@1,3103016@社會福利財政@1@1,3103094@長期照護服務的需求與供給@1@1,3104902@社會政策與社會立法@1@1,3101013@人口學@2@1,3102016@社會問題@2@1,3102163@行政法@2@1,3102164@精神與智能障礙者的社區照顧@2@1,3103018@社會研究法（二）@2@1,3103042@社會不均@2@1,3103078@社會福利實習（一）：B組@2@1,3103079@社會福利實習（一）：C組@2@1,3103096@倡議, 社會運動與社會政策@2@1,3102145@社區工作@1@1,3103077@社會福利實習（一）：A組@1@1,3103097@非營利組織管理@1@1,3101035@社會工作概論@2@1,3103066@家庭政策@2@1,3103075@社會福利區位分析@2@1,3103093@社會保險財務@2@1
402310012,77,83,66,84,NaN,85,91,78,77,87,92,86,88,NaN,NaN,88,87,90,85,88,NaN,90,91,87,87,91,84,87,NaN,90,96,85,90,NaN,89,NaN,NaN,82,NaN,90,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310013,73,60,69,84,80,83,91,65,65,65,NaN,NaN,78,NaN,70,80,85,68,68,NaN,NaN,76,76,NaN,66,71,80,77,NaN,NaN,79,-1,74,89,84,NaN,NaN,NaN,NaN,79,84,NaN,94,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
402310014,87,89,78,81,NaN,83,90,78,85,75,NaN,80,88,74,89,NaN,89,66,84,79,83,88,83,88,79,83,NaN,83,NaN,NaN,96,-1,90,NaN,88,NaN,NaN,85,85,91,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310015,76,60,80,67,80,88,83,65,78,77,NaN,NaN,60,NaN,68,73,79,65,71,NaN,NaN,73,74,NaN,-1,60,-1,81,NaN,NaN,81,-1,62,80,83,NaN,NaN,NaN,NaN,80,82,NaN,80,NaN,89,NaN,NaN,NaN,-1,NaN,NaN
402310016,76,66,75,75,85,81,83,70,79,72,NaN,NaN,67,79,91,84,83,63,80,75,NaN,86,79,86,72,80,84,79,NaN,NaN,87,86,83,NaN,85,NaN,NaN,NaN,NaN,78,77,NaN,NaN,NaN,82,87,NaN,NaN,NaN,NaN,NaN
402310017,82,83,76,81,80,86,96,86,79,83,NaN,NaN,90,NaN,89,86,86,90,80,NaN,NaN,90,82,92,95,95,89,85,NaN,NaN,95,-1,93,NaN,81,NaN,NaN,NaN,NaN,90,86,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402310018,93,85,87,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310019,81,80,80,81,80,84,88,70,73,87,NaN,NaN,78,NaN,90,88,81,60,78,82,83,80,79,85,63,88,88,88,NaN,90,96,-1,87,NaN,83,NaN,NaN,NaN,NaN,90,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310020,82,73,71,68,NaN,83,84,78,81,85,NaN,86,NaN,77,78,76,85,60,78,NaN,NaN,94,81,NaN,65,68,NaN,78,NaN,88,76,86,89,NaN,86,NaN,NaN,NaN,NaN,81,88,NaN,NaN,81,91,NaN,NaN,NaN,-1,NaN,-1
402310021,88,75,78,85,80,81,90,68,81,64,NaN,NaN,83,NaN,80,83,79,62,84,80,NaN,74,86,NaN,71,74,NaN,87,NaN,NaN,92,84,82,NaN,82,NaN,NaN,62,83,96,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN
402310023,81,72,75,83,80,80,93,93,85,90,96,NaN,70,NaN,NaN,89,86,86,84,80,NaN,84,84,NaN,60,60,80,78,NaN,89,84,-1,82,NaN,83,NaN,NaN,70,NaN,91,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402310024,83,74,78,NaN,NaN,82,92,76,80,83,NaN,86,76,94,91,89,87,72,85,87,87,88,83,93,72,89,86,87,NaN,NaN,96,86,86,88,82,NaN,NaN,72,NaN,92,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310025,82,67,68,77,80,86,91,74,73,80,NaN,NaN,83,72,90,88,83,70,82,79,85,86,82,88,76,91,88,85,NaN,87,96,-1,84,NaN,85,NaN,NaN,NaN,NaN,96,87,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402310026,82,63,67,83,NaN,80,86,76,79,78,86,86,88,NaN,NaN,79,84,67,79,89,85,85,82,84,71,88,86,72,NaN,NaN,96,87,82,NaN,86,NaN,NaN,NaN,NaN,86,79,NaN,85,NaN,84,87,NaN,NaN,NaN,NaN,NaN
402310027,87,77,66,75,80,85,85,78,74,80,NaN,NaN,72,NaN,84,67,69,62,76,66,NaN,75,80,82,60,82,89,81,NaN,NaN,87,84,83,NaN,86,NaN,NaN,78,79,92,85,NaN,NaN,NaN,90,89,NaN,NaN,NaN,NaN,NaN
402310028,89,71,76,79,NaN,84,92,80,74,80,NaN,86,NaN,NaN,79,83,78,61,81,78,86,86,79,NaN,71,81,NaN,87,NaN,NaN,96,86,87,NaN,82,NaN,NaN,74,NaN,89,87,NaN,NaN,NaN,89,NaN,86,NaN,-1,NaN,NaN
402310029,80,69,71,76,80,81,85,75,63,77,92,NaN,67,NaN,NaN,86,86,82,80,70,NaN,80,80,87,75,76,89,79,NaN,NaN,79,-1,81,90,83,NaN,NaN,NaN,NaN,82,87,89,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,NaN
