id,4205766@工具機控制器設計與分析@2@1,4205769@影像分析與應用@2@1,4205958@專題研討@2@1,4205960@微機電系統@2@1,4206701@數位控制系統設計@2@1,4206757@變異數分析與田口法@2@1,4205001@工程分析（一）@1@1,4205004@有限元素分析@1@1,4205005@線性系統@1@1,4205007@彈性力學@1@1,4205101@機構設計@1@1,4205106@齒輪原理@1@1,4205251@電腦控制製造系統@1@1,4205302@聲學@1@1,4205362@半導體元件及物理@1@1,4205451@材料機械性質@1@1,4205502@中等熱力學@1@1,4205510@進階流體力學@1@1,4205512@奈微米流體工程@1@1,4205563@氫能與燃料電池@1@1,4205602@磨潤學（一）@1@1,4205704@數位訊號處理@1@1,4205710@機器學習@1@1,4205712@界面物理與薄膜製程@1@1,4205763@工具機系統設計分析@1@1,4205769@影像分析與應用@1@1,4205803@機器人學@1@1,4205904@專題研討@1@1,4206154@精密機械設計@1@1,4206301@結構動力學@1@1,4205054@高等電腦輔助工程分析方法@2@1,4205109@高等電腦輔助幾何設計@2@1,4205151@高等機構設計@2@1,4205154@高等齒輪原理@2@1,4205160@高等逆向工程原理與實務@2@1,4205161@高等機器人學@2@1,4205356@高等聲學@2@1,4205363@工程塑性力學@2@1,4205401@銲接工程概論@2@1,4205601@中等流體力學@2@1,4205653@磨潤學（二）@2@1,4205711@電動車動力與控制@2@1,4205765@軟性電子印刷製程@2@1,4206356@疲勞分析與設計@2@1,4206502@中等熱傳學（一）@2@1,4206706@控制電子@2@1,4206754@邏輯系統設計@2@1,4206952@特論（二）：旋轉機械動力學@2@1,4206954@精密量測@2@1,4205110@微致動器@1@1,4205557@內燃機設計@1@1,4205562@奈微米流體科技特論-微操控技術@1@1,4205766@工具機控制器設計與分析@1@1,4205162@工具機PC NC架構之CNC人機介面設計與應用@2@1,4205756@振動控制@2@1,4205713@電動機驅動與控制@1@1,4205771@工具機結構分析與控制@2@1
602420085,NaN,NaN,87,NaN,NaN,NaN,82,NaN,NaN,NaN,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,75,88,NaN,NaN,NaN,NaN,77,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420086,NaN,NaN,87,NaN,NaN,NaN,72,NaN,NaN,NaN,82,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,76,87,NaN,NaN,NaN,NaN,77,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420112,NaN,NaN,96,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,79,NaN,88,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN
602420118,NaN,NaN,96,NaN,85,NaN,86,75,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,83,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420124,NaN,NaN,89,NaN,70,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,87,87,NaN,88,79,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420003,NaN,NaN,93,NaN,NaN,NaN,NaN,92,NaN,87,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,91,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420005,NaN,NaN,98,NaN,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,90,92,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420023,NaN,NaN,96,NaN,NaN,NaN,NaN,84,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,91,NaN,88,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420026,NaN,NaN,98,NaN,NaN,NaN,NaN,80,NaN,81,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,93,NaN,70,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,78,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,83,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420035,NaN,NaN,93,NaN,NaN,NaN,NaN,75,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,81,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420036,NaN,NaN,93,NaN,NaN,NaN,NaN,70,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,78,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420054,NaN,NaN,87,NaN,NaN,NaN,NaN,70,NaN,72,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,82,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420056,NaN,NaN,84,NaN,NaN,NaN,NaN,72,NaN,75,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,84,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420057,NaN,NaN,96,NaN,NaN,NaN,NaN,84,NaN,83,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,86,NaN,81,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420081,NaN,NaN,99,NaN,NaN,NaN,NaN,81,NaN,95,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,93,90,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420088,NaN,NaN,96,NaN,NaN,NaN,NaN,93,NaN,99,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420094,NaN,NaN,87,NaN,NaN,NaN,NaN,70,NaN,72,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,82,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420103,NaN,NaN,96,NaN,NaN,NaN,NaN,88,NaN,91,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,91,NaN,96,96,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420001,NaN,NaN,96,NaN,74,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,96,NaN,91,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420061,NaN,NaN,86,NaN,76,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,84,NaN,87,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420066,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,72,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,83,NaN,NaN,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420067,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,60,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,91,NaN,NaN,NaN,NaN,70,NaN,88,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420071,NaN,NaN,84,NaN,87,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,77,NaN,86,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420072,NaN,NaN,91,NaN,83,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,91,79,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420077,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,88,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420096,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,75,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420107,NaN,NaN,84,NaN,86,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,81,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420121,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,70,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420050,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,93,NaN,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,91,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420053,NaN,NaN,96,82,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420065,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,88,NaN,93,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,93,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,71,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420087,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,77,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,88,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,80,84,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
602420098,NaN,NaN,96,84,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420101,NaN,NaN,96,83,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420105,NaN,NaN,92,84,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420106,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,76,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420113,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN,70,NaN,86,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,83,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,70,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
602420028,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,88,NaN,NaN,NaN,90,90,89,NaN,NaN,NaN,75,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420030,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,79,93,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420040,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,86,NaN,NaN,NaN,85,83,79,NaN,NaN,NaN,72,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420046,NaN,NaN,82,NaN,NaN,NaN,75,NaN,NaN,NaN,78,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,78,NaN,79,84,NaN,NaN,NaN,NaN,NaN,NaN,84,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420091,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,84,NaN,NaN,NaN,91,89,74,NaN,NaN,NaN,70,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420095,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,80,75,85,NaN,NaN,NaN,NaN,75,NaN,84,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420125,NaN,NaN,84,NaN,NaN,NaN,NaN,70,NaN,NaN,70,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,79,70,85,NaN,NaN,NaN,NaN,NaN,NaN,80,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602420007,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,80,NaN,86,NaN,NaN,NaN,NaN,NaN,70,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
