id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6203063@勞動法總論@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203043@警察法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203041@地方自治法@1@1,6204060@國際海洋法@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203064@勞動法各論@2@1,6203075@證券交易法@2@1,6202037@立法技術與程序@1@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203047@環境法@1@1,6203048@行政程序法@1@1,6203061@社會法總論@1@1,6204012@國際私法@1@1,6204034@刑事法實例演習（一）@1@1,6203024@海商法@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203044@經濟行政法@2@1,6203045@教育法@2@1,6203062@社會法各論@2@1,6204035@刑事法實例演習 (二)@2@1,6204052@法律服務（二）@2@1,6202039@行政法實例演習（一）@1@1,6203042@憲法實例演習（一）@1@1,6204001@訴願及行政訴訟法（一）@1@1,6204026@勞動法實例演習 (四)@1@1,6204051@法律服務（一）@1@1,6202036@憲法訴訟@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6204002@訴願及行政訴訟法（二）@2@1
401620014,96,81,86,NaN,75,91,87,75,90,87,93,81,77,80,83,89,89,NaN,91,88,89,91,82,87,65,83,98,96,80,NaN,73,NaN,85,81,NaN,NaN,73,75,NaN,77,86,NaN,78,NaN,NaN,91,90,90,NaN,NaN,91,78,NaN,92
401620015,74,55,68,87,77,77,NaN,63,NaN,80,86,85,73,NaN,79,71,83,NaN,80,86,83,NaN,79,77,74,67,NaN,84,78,NaN,74,NaN,73,75,75,NaN,75,54,NaN,85,72,75,69,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,83
401620016,84,66,70,NaN,87,95,80,69,90,85,84,89,83,72,82,79,93,NaN,85,94,72,76,76,NaN,76,84,NaN,90,78,83,90,84,81,82,99,86,88,NaN,85,91,77,88,80,NaN,NaN,88,NaN,84,NaN,NaN,NaN,NaN,NaN,93
401620017,84,64,62,88,73,89,75,67,NaN,80,86,74,80,71,88,78,87,NaN,76,69,83,81,80,82,95,82,NaN,74,77,72,88,88,77,81,79,80,86,76,73,85,NaN,87,82,NaN,92,NaN,86,85,NaN,NaN,NaN,NaN,NaN,86
401620018,81,72,NaN,NaN,83,93,NaN,NaN,90,93,90,89,NaN,NaN,86,79,86,NaN,93,89,NaN,NaN,88,84,69,83,97,98,78,81,85,NaN,87,78,NaN,NaN,74,NaN,80,87,NaN,94,74,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93
401620019,75,63,73,87,81,81,80,64,NaN,85,87,87,64,76,81,75,86,90,86,95,79,85,78,95,93,81,NaN,98,75,80,76,84,78,84,77,85,83,78,82,86,81,95,90,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401620020,92,70,74,NaN,80,87,75,77,90,81,90,95,75,83,93,88,88,90,86,89,93,87,87,97,88,85,NaN,94,76,NaN,76,88,82,80,87,85,85,84,NaN,94,86,98,83,86,94,90,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
401620021,84,68,74,88,79,85,81,64,NaN,80,88,92,68,82,90,77,87,NaN,80,95,82,82,81,86,89,73,NaN,88,72,75,84,88,75,87,81,80,86,77,75,85,76,88,84,NaN,92,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,86
401620022,62,48,60,NaN,75,62,60,60,90,70,78,55,NaN,49,60,50,70,90,70,53,65,63,69,86,60,62,NaN,64,NaN,NaN,60,NaN,NaN,90,68,NaN,71,NaN,NaN,64,NaN,60,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,77,81
401620024,71,60,61,NaN,71,75,70,50,90,85,78,66,68,65,60,60,80,NaN,76,61,79,73,74,84,65,63,NaN,76,57,60,60,83,NaN,84,78,NaN,77,56,61,72,60,75,68,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,85
