id,2501001@普通生物學（一）@1@1,2501002@普通生物學實驗（一）@1@1,2501003@普通化學@1@1,2501102@生物醫學導讀（一）@1@1,2501888@學系服務學習@1@1,2501004@普通生物學（二）@2@1,2501005@普通生物學實驗（二）@2@1,2501006@有機化學（一）@2@1,2501008@生物統計導論@2@1,2501103@生物醫學導讀(二)@2@1,2501888@學系服務學習@2@1,2502007@分子生物學@2@1,2501101@基礎醫學導論@1@1,2502001@有機化學（二）@1@1,2502011@生物化學（一）@1@1,2502014@生命科學實驗（一）@1@1,2502105@生物醫學應用@1@1,2503001@普通病毒學@1@1,2503007@微生物學@1@1,2502012@生物化學（二）@2@1,2502016@生命科學實驗（二）@2@1,2502017@生化分析@2@1,2502114@生物資訊概論@2@1,2503102@分子癌症學@2@1,2504116@神經科學探索@2@1,2502116@組織學@1@1,2503002@遺傳學@1@1,2503008@生命科學實驗（三）@1@1,2503106@專題研究實驗（一）@1@1,2503112@系統生物學概論@1@1,2503113@基礎藥理學@1@1,2503121@發育生物學@1@1,2503122@生命科學論文閱讀與寫作@1@1,2504115@基因技術產業實習@1@1,2502102@人體生理學@2@1,2503005@細胞生物學@2@1,2503006@免疫學@2@1,2503107@專題研究實驗（二）@2@1,2503110@結構生物學@2@1,2503123@模式生物之生物醫學研究@2@1,2504003@專題討論（二）@2@2
403250012,86,86,67,NaN,NaN,90,89,90,80,85,88,93,NaN,90,84,83,88,86,87,82,91,97,92,NaN,NaN,NaN,83,84,NaN,83,67,NaN,85,NaN,-1,-1,-1,NaN,-1,-1,NaN
403250015,70,82,60,81,90,69,82,70,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403250018,83,90,63,81,NaN,88,90,80,70,NaN,84,91,81,87,70,82,81,88,85,97,98,98,NaN,NaN,NaN,NaN,87,82,90,NaN,84,79,89,NaN,-1,-1,-1,NaN,-1,NaN,-1
403250019,79,86,77,82,80,76,84,83,60,76,NaN,69,NaN,87,76,78,NaN,67,78,65,85,76,-1,NaN,NaN,NaN,73,75,NaN,NaN,54,71,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403250020,64,84,72,69,NaN,71,81,67,49,73,69,69,NaN,66,60,74,75,69,82,-1,71,-1,71,NaN,NaN,NaN,60,76,88,60,60,65,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403250022,61,85,64,73,NaN,-1,84,67,58,78,82,64,NaN,60,61,74,75,76,67,-1,76,-1,76,NaN,NaN,NaN,63,77,NaN,68,60,70,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
403250024,66,86,83,83,NaN,66,86,92,72,84,72,74,NaN,81,78,71,NaN,67,73,65,75,84,67,NaN,NaN,NaN,71,70,90,NaN,60,62,81,NaN,-1,-1,-1,-1,-1,NaN,NaN
403250026,87,89,83,85,NaN,82,90,89,95,85,88,77,NaN,87,73,81,NaN,68,73,60,83,78,85,NaN,NaN,NaN,72,77,NaN,87,62,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
403250027,67,85,68,66,80,63,81,86,67,NaN,NaN,82,NaN,75,77,82,NaN,82,84,78,84,66,73,NaN,NaN,NaN,80,79,NaN,92,82,80,84,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
403250028,74,92,66,84,NaN,74,91,79,55,84,82,74,NaN,78,45,76,76,81,89,60,85,73,-1,NaN,NaN,NaN,79,84,NaN,NaN,60,74,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403250029,81,90,85,93,85,77,91,92,76,83,NaN,63,81,89,61,81,77,85,69,-1,85,60,90,67,NaN,NaN,80,80,90,77,NaN,77,87,NaN,-1,-1,-1,-1,NaN,NaN,NaN
