id,4105015@資料工程@2@1,4105477@WWW 技術與應用@2@1,4105597@醫療電子臨床導入@2@1,4105700@計算機結構@2@1,4105807@嵌入式作業系統設計與實作@2@1,4106002@計算機專題（二）@2@1,4105100@影像處理@1@1,4105105@圖形識別@1@1,4105107@生醫影像處理系統@1@1,4105108@視覺品質評估@1@1,4105111@計算攝影學：應用圖學與影像技術@1@1,4105210@類神經網路@1@1,4105306@社會網路分析@1@1,4105310@計算方法@1@1,4105345@最佳化問題算法設計@1@1,4105398@物聯網應用系統@1@1,4105400@電腦網路@1@1,4105402@網路安全攻防技術@1@1,4105408@無線感測網路@1@1,4105414@物聯網核心技術@1@1,4105417@行動通訊網路@1@1,4105460@網際網路資訊檢索@1@1,4105507@雲端適地性服務之實證方法@1@1,4105509@雲端學習科技@1@1,4105511@雲端數位學習系統@1@1,4105567@高等數位積體電路設計@1@1,4105594@可程式化硬體設計@1@1,4105598@車用電子系統應用專題@1@1,4105605@編譯器@1@1,4105730@作業系統@1@1,4105803@嵌入式開發軟體工具組@1@1,4105812@軟體測試@1@1,4105813@軟體分析與最佳化@1@1,4105817@系統軟體設計@1@1,4105915@計算生物學概論@1@1,4105931@機器學習@1@1,4106000@科技英文寫作與溝通技巧@1@1,4106001@計算機專題（一）@1@1,4105113@視訊處理@2@1,4105205@模糊系統@2@1,4105247@創作智慧@2@1,4105248@深層學習與應用@2@1,4105317@近似演算法@2@1,4105347@最佳化導論@2@1,4105399@物聯網概論@2@1,4105401@無線區域網路@2@1,4105446@網路程式設計@2@1,4105448@多媒體學習系統設計@2@1,4105454@網路效能分析@2@1,4105506@進階資料庫系統@2@1,4105508@雲端計算@2@1,4105512@雲端資料處理與方法@2@1,4105559@超大型積體電路系統設計概論@2@1,4105566@數位積體電路設計@2@1,4105599@晶片系統設計@2@1,4105610@高等編譯器@2@1,4105755@分散式系統@2@1,4105797@嵌入式計算系統@2@1,4105818@嵌入式作業系統設計與實作研討@2@1,4106004@計算機專題（四）@2@1,4105109@電腦視覺@1@1,4105317@近似演算法@1@1,4105334@演化式計算@1@1,4105444@多媒體內容分析@1@1,4105467@多媒體網路系統與技術@1@1,4105476@網際網路資料庫系統@1@1,4105753@即時作業系統@1@1,4105911@生物資訊演算法@1@1,4106003@計算機專題（三）@1@1,4105316@圖論演算法@2@1,4105397@創意物聯網應用設計@2@1,4105466@射頻辨識系統與應用@2@1,4105933@高等機器學習與應用@2@1,4105401@無線區域網路@1@1
602410062,NaN,NaN,NaN,75,NaN,82,90,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410063,NaN,NaN,NaN,82,NaN,78,84,78,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410067,NaN,NaN,NaN,83,NaN,78,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410068,NaN,NaN,NaN,NaN,NaN,82,88,NaN,NaN,87,NaN,NaN,NaN,86,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN
602410076,NaN,NaN,NaN,75,NaN,70,90,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,74,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410078,88,NaN,84,NaN,NaN,93,76,NaN,NaN,NaN,94,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN
602410093,NaN,NaN,NaN,94,NaN,70,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,94,93,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410110,NaN,NaN,84,78,NaN,74,84,89,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410111,NaN,76,NaN,NaN,NaN,82,72,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,74,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,74,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,74,NaN,NaN,NaN,NaN,NaN
602410126,NaN,91,NaN,90,NaN,74,86,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,78,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,74,NaN,NaN,NaN,NaN,NaN
602410134,NaN,NaN,NaN,76,NaN,78,86,NaN,NaN,NaN,84,NaN,NaN,70,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410139,NaN,NaN,NaN,78,NaN,94,94,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
602410141,NaN,NaN,NaN,76,NaN,70,81,NaN,NaN,NaN,72,NaN,NaN,70,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,86,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410142,NaN,NaN,NaN,75,NaN,70,80,NaN,NaN,NaN,NaN,NaN,72,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,78,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410143,NaN,NaN,NaN,75,NaN,82,90,NaN,NaN,NaN,70,NaN,NaN,83,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,94,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410145,NaN,NaN,NaN,78,NaN,86,80,NaN,NaN,87,NaN,NaN,NaN,72,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,73,83,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
602410148,NaN,NaN,NaN,NaN,NaN,82,88,NaN,NaN,88,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,73,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
602410037,NaN,90,NaN,70,NaN,81,NaN,76,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,92,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
602410100,NaN,NaN,86,NaN,NaN,74,NaN,90,80,NaN,NaN,NaN,NaN,90,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410008,NaN,NaN,NaN,72,NaN,78,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410025,NaN,NaN,NaN,83,NaN,78,NaN,NaN,NaN,87,NaN,80,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,78,NaN,86,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410042,NaN,88,NaN,79,NaN,82,NaN,NaN,NaN,93,91,NaN,NaN,NaN,NaN,NaN,83,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,94,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
602410144,NaN,NaN,NaN,77,NaN,74,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,97,NaN,NaN,75,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN
602410027,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,92,NaN,NaN,72,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,89,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
602410040,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,99,NaN,NaN,70,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,89,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN
602410118,NaN,NaN,NaN,81,NaN,78,NaN,NaN,NaN,NaN,NaN,85,NaN,91,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,78,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410121,NaN,NaN,NaN,75,NaN,74,NaN,NaN,NaN,NaN,NaN,78,NaN,73,NaN,NaN,86,70,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
602410151,NaN,62,NaN,71,NaN,74,NaN,NaN,NaN,NaN,NaN,80,NaN,87,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,76,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN
602410081,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,85,85,NaN,NaN,83,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410084,NaN,NaN,NaN,77,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,82,97,NaN,NaN,82,82,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
602410129,NaN,NaN,NaN,74,NaN,74,80,NaN,NaN,NaN,NaN,NaN,77,71,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
