id,5261104@初級會計學（一）@1@1,5261888@學系服務學習@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5262207@採購管理@1@1,5262209@商業智慧概論@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5262700@投資實務@2@1,5263109@審計學（一）@2@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5263613@政府會計@1@1,5263615@中級會計學(三)@1@1,5264001@審計學（二）@1@1,5261609@統計學@2@1,5263019@電腦審計@2@1,5263108@高級會計學（二）@2@1,5264004@會計資訊系統@2@1,5264002@財務報表分析@1@1,5264017@電子商務@1@1,5264019@電腦審計@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@4,5264000@會計資訊系統@2@1,5263001@中級會計學(三)@1@1
401526011,60,90,64,73,NaN,64,72,NaN,62,69,65,64,68,86,71,64,60,NaN,NaN,73,NaN,NaN,54,NaN,73,NaN,85,80,NaN,86,67
401526012,85,NaN,76,76,90,80,87,NaN,77,86,62,60,76,94,95,84,75,NaN,88,88,NaN,NaN,79,NaN,93,NaN,83,84,NaN,93,NaN
401526013,83,95,88,87,NaN,90,89,NaN,94,95,97,90,88,97,89,95,95,96,93,93,NaN,84,88,91,91,NaN,NaN,86,NaN,NaN,NaN
401526014,91,NaN,93,84,90,98,93,NaN,99,96,100,93,87,97,94,98,88,98,95,94,NaN,89,99,91,94,NaN,NaN,89,NaN,NaN,NaN
401526015,73,95,81,69,NaN,80,85,NaN,80,94,78,76,69,85,87,89,71,82,88,85,NaN,NaN,82,NaN,82,NaN,92,85,NaN,94,NaN
401526016,64,NaN,71,65,90,77,86,NaN,82,77,74,70,70,85,74,89,67,NaN,84,82,NaN,79,66,80,75,76,NaN,68,NaN,NaN,NaN
401526017,64,95,61,74,NaN,80,85,NaN,77,89,61,66,75,92,72,80,62,NaN,80,82,NaN,NaN,63,NaN,79,85,85,83,NaN,86,NaN
401526018,82,NaN,94,80,90,93,78,80,87,86,87,86,74,92,83,95,85,77,92,81,NaN,NaN,94,NaN,78,NaN,91,84,NaN,90,NaN
401526019,78,95,76,78,NaN,78,86,NaN,78,94,81,74,78,88,86,88,83,NaN,88,81,NaN,83,81,88,89,90,NaN,85,NaN,NaN,NaN
401526020,90,NaN,80,80,90,90,88,81,83,85,85,87,77,95,76,96,85,NaN,89,82,NaN,NaN,86,NaN,86,NaN,90,84,NaN,84,NaN
401526021,95,90,92,87,NaN,97,NaN,88,96,85,98,97,84,95,94,97,82,NaN,94,97,NaN,NaN,98,93,90,NaN,88,85,NaN,NaN,NaN
401526024,43,NaN,40,57,90,31,87,NaN,64,NaN,0,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401526025,60,90,40,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401526026,82,NaN,86,73,90,90,78,75,83,92,88,84,73,94,81,88,87,NaN,84,NaN,NaN,79,82,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN
401526027,65,90,80,73,NaN,83,78,80,80,77,74,69,72,85,82,89,81,NaN,86,88,NaN,NaN,79,NaN,84,NaN,83,79,NaN,92,NaN
401526028,65,NaN,72,60,90,66,78,80,74,83,63,74,76,95,70,86,67,NaN,82,76,NaN,NaN,61,NaN,86,NaN,82,80,NaN,90,NaN
401526029,74,90,80,66,NaN,83,80,NaN,82,89,68,75,78,88,89,93,85,NaN,85,88,NaN,NaN,79,NaN,83,79,89,77,NaN,83,NaN
401526030,73,NaN,70,71,90,68,86,76,70,77,65,66,69,86,82,79,73,NaN,84,84,NaN,NaN,60,NaN,77,85,94,78,NaN,90,NaN
