id,5261104@初級會計學（一）@1@1,5261611@商用軟體應用與設計@1@1,5261888@學系服務學習@1@1,5262207@採購管理@1@1,5261105@初級會計學（二）@2@1,5261608@資料庫管理@2@1,5261609@統計學@2@1,5261888@學系服務學習@2@1,5262100@中級會計學（一）@1@1,5263504@租稅法規@1@1,5263605@企業資源規劃@1@1,5261105@初級會計學（二）@2@4,5262101@中級會計學（二）@2@1,5262106@成本及管理會計學（一）@2@1,5262300@系統分析與設計@2@1,5263002@企業分析與評價@2@1,5263109@審計學（一）@2@1,5261104@初級會計學（一）@1@2,5262203@公司法@1@1,5263001@中級會計學(三)@1@1,5263102@高級會計學（一）@1@1,5263106@成本及管理會計學（二）@1@1,5264001@審計學（二）@1@1,5264002@財務報表分析@1@1,5264020@資訊安全與管理@1@1,5261105@初級會計學（二）@2@2,5261611@商用軟體應用與設計@2@1,5262205@政府會計@2@1,5262208@網頁應用與程式設計@2@1,5263108@高級會計學（二）@2@1,5264004@會計資訊系統@2@1
403526012,90,96,NaN,77,78,81,92,90,80,83,87,NaN,84,89,79,NaN,-1,NaN,NaN,88,88,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526013,85,99,90,77,80,82,97,NaN,86,91,84,NaN,85,91,77,85,-1,NaN,66,96,93,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526014,73,87,NaN,83,65,71,86,90,61,73,77,NaN,62,70,67,NaN,-1,NaN,NaN,79,67,69,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526015,71,58,90,78,76,75,92,NaN,80,82,77,NaN,78,77,71,NaN,-1,NaN,NaN,91,87,86,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,-1
403526016,78,NaN,NaN,78,72,80,85,90,78,84,83,NaN,80,83,79,NaN,-1,NaN,60,91,88,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
403526017,62,62,90,69,50,79,75,NaN,70,64,80,71,72,70,65,NaN,-1,NaN,60,87,75,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526020,84,88,NaN,75,75,84,96,90,72,85,72,NaN,77,79,79,82,-1,NaN,70,90,96,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526021,78,76,90,78,73,75,70,NaN,62,68,70,NaN,63,62,68,NaN,-1,NaN,NaN,82,74,68,NaN,NaN,79,NaN,NaN,-1,-1,-1,NaN
403526022,70,73,NaN,79,70,73,80,90,82,83,85,NaN,88,89,78,NaN,-1,NaN,60,87,88,89,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526023,75,77,90,75,75,74,90,NaN,73,53,76,NaN,83,84,81,NaN,-1,NaN,66,91,85,84,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526024,86,NaN,NaN,84,77,89,95,90,92,91,85,NaN,91,91,93,NaN,-1,NaN,67,99,96,89,NaN,76,NaN,NaN,NaN,-1,NaN,-1,NaN
403526025,70,NaN,90,81,62,75,80,NaN,69,70,69,NaN,63,67,64,73,-1,NaN,66,75,63,63,NaN,65,NaN,NaN,NaN,NaN,-1,-1,NaN
403526026,56,68,NaN,66,61,74,75,90,66,74,80,NaN,85,77,60,73,-1,86,NaN,81,86,83,NaN,NaN,77,NaN,NaN,-1,NaN,-1,-1
403526027,84,90,90,NaN,83,89,98,NaN,89,80,87,NaN,85,91,63,NaN,-1,NaN,71,87,86,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526028,74,NaN,NaN,74,77,87,99,90,72,83,85,NaN,63,63,81,NaN,-1,NaN,60,84,75,67,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
403526029,65,71,90,69,-1,62,85,NaN,63,60,83,56,77,-1,60,NaN,-1,NaN,67,83,95,77,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526030,90,88,NaN,81,90,90,94,90,90,96,87,NaN,88,92,86,NaN,-1,NaN,70,98,99,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403526031,83,71,90,71,80,84,81,NaN,89,89,78,NaN,86,84,63,NaN,-1,NaN,NaN,93,91,73,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403526032,80,NaN,NaN,60,70,79,91,90,65,71,78,NaN,67,60,74,NaN,-1,NaN,60,68,60,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
