id,4301002@計算機概論@1@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303013@電腦網路導論@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1,4303043@電力電子導論@1@1,4303044@影像處理導論@1@1,4304002@通訊系統專題（二）@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1
401430035,NaN,60,55,53,NaN,90,47,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401430036,NaN,74,77,83,NaN,NaN,87,NaN,60,NaN,NaN,NaN,83,90,89,NaN,77,80,72,NaN,68,88,81,NaN,85,NaN,82,NaN,86,85,77,65,NaN,64,NaN,80,68,81,87,NaN,NaN,86,NaN,75,NaN,NaN,NaN,NaN,82,NaN,NaN,92,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,100,NaN
401430037,NaN,84,86,76,NaN,90,80,NaN,70,NaN,NaN,NaN,93,NaN,89,79,NaN,89,76,NaN,87,90,82,91,97,NaN,99,66,NaN,87,92,70,86,NaN,NaN,87,80,88,NaN,87,NaN,NaN,73,84,NaN,NaN,NaN,NaN,NaN,77,89,NaN,NaN,85,NaN,NaN,NaN,78,NaN,NaN,90,NaN,NaN
401430040,NaN,66,76,62,NaN,NaN,78,45,58,NaN,NaN,NaN,81,90,83,71,NaN,91,74,75,NaN,89,55,NaN,70,NaN,86,NaN,50,86,66,69,NaN,85,NaN,78,78,74,91,91,82,96,NaN,65,NaN,NaN,NaN,NaN,89,NaN,NaN,92,NaN,NaN,NaN,100,NaN,71,NaN,NaN,NaN,94,NaN
401430041,NaN,75,83,81,52,90,62,NaN,65,NaN,NaN,NaN,81,NaN,70,NaN,62,86,62,77,NaN,76,NaN,89,NaN,68,NaN,48,NaN,67,69,NaN,89,NaN,NaN,73,NaN,83,61,70,NaN,NaN,80,77,84,NaN,NaN,78,NaN,73,89,NaN,NaN,84,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
401430044,NaN,72,87,NaN,67,NaN,65,NaN,72,NaN,NaN,NaN,92,90,95,78,NaN,89,76,88,NaN,95,95,95,85,NaN,NaN,73,NaN,95,74,80,93,NaN,NaN,81,NaN,94,NaN,94,NaN,NaN,88,84,90,NaN,NaN,93,NaN,78,NaN,NaN,NaN,NaN,67,NaN,90,NaN,NaN,85,NaN,NaN,90
401430048,NaN,83,83,55,76,NaN,62,NaN,67,NaN,NaN,NaN,86,90,62,60,NaN,88,62,70,NaN,NaN,NaN,81,61,NaN,NaN,70,NaN,79,60,46,64,NaN,NaN,86,79,65,NaN,NaN,69,NaN,71,65,NaN,NaN,85,73,NaN,NaN,NaN,NaN,60,NaN,71,NaN,88,NaN,NaN,NaN,NaN,NaN,90
401430049,NaN,74,87,53,74,90,67,NaN,78,NaN,NaN,94,NaN,NaN,89,73,NaN,91,66,NaN,82,NaN,NaN,94,83,NaN,91,89,NaN,80,83,77,84,NaN,NaN,78,88,90,NaN,NaN,93,NaN,92,91,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,87,NaN,67,NaN,88,NaN,NaN,NaN,NaN,NaN,90
401430025,NaN,64,76,NaN,66,90,63,43,66,49,NaN,NaN,85,NaN,77,NaN,72,88,78,NaN,NaN,63,NaN,60,71,NaN,85,60,NaN,82,66,NaN,89,NaN,NaN,76,71,81,NaN,NaN,NaN,NaN,NaN,60,NaN,80,NaN,75,NaN,86,88,NaN,NaN,85,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN
401430052,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,69,NaN,50,77,68,73,NaN,89,94,82,NaN,77,77,NaN,66,97,NaN,53,93,NaN,NaN,87,NaN,NaN,68,NaN,NaN,100,NaN,NaN,NaN,NaN,80,76,73,NaN,NaN,92,80,NaN,NaN,95,NaN,67,91,NaN,NaN,94,NaN
401430051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,94,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN
