id,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303033@電磁科技導論@1@1,4304004@工程倫理@1@1,4304007@智慧型手機程式設計@1@1,4301001@線性代數@2@2,4301003@程式設計@2@1,4301003@程式設計@2@2,4302010@訊號與系統@2@1,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303027@計算機結構@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4301002@計算機概論@1@1,4301005@邏輯設計@1@2,4303034@通訊工程導論@1@1,4303035@演算法導論@1@1,4303036@半導體物理導論@1@1,4304003@電磁積體電路專題（二）@1@1,4304006@網路技術與應用專題（二）@1@1,4302019@再生能源導論@2@1,4304004@工程倫理@2@1,4304002@通訊系統專題（二）@1@1,4303039@電機機械@1@1,4303038@數位訊號處理導論@2@1,4302005@資料結構@2@1,4301002@計算機概論@1@2,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301007@通訊工程導論@1@1,4301001@線性代數@2@1,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4302003@電工實驗（一）@1@1,4302013@電工實驗（二）@2@1,4302016@計算機組織@2@2
498430029,64,NaN,46,60,51,64,88,NaN,83,68,65,68,NaN,77,NaN,NaN,60,NaN,68,65,79,44,64,NaN,NaN,64,NaN,79,66,NaN,90,NaN,NaN,NaN,84,NaN,77,69,NaN,NaN,83,84,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,78,69,96,NaN,90,89,63
498430036,74,NaN,44,60,NaN,60,95,48,74,72,60,NaN,NaN,NaN,95,NaN,NaN,60,60,64,NaN,60,72,60,74,NaN,NaN,70,72,NaN,90,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,90,76,80,68,NaN,60,93,92,NaN
498430037,72,NaN,54,53,48,64,95,41,74,73,67,NaN,NaN,62,NaN,71,60,NaN,74,64,60,NaN,66,65,NaN,64,NaN,68,61,NaN,90,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,78,NaN,NaN,NaN,NaN,NaN,61,91,65,69,47,69,NaN,89,87,NaN
498430038,60,NaN,73,55,NaN,65,NaN,NaN,79,82,63,82,NaN,62,NaN,NaN,NaN,66,61,70,NaN,60,60,68,73,NaN,77,NaN,64,NaN,NaN,NaN,NaN,78,NaN,87,NaN,62,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,69,92,NaN,65,67,NaN,88,88,89,54
498430006,63,NaN,60,53,44,65,NaN,NaN,85,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,60,60,69,68,30,66,NaN,NaN,60,NaN,NaN,75,90,NaN,NaN,89,NaN,NaN,NaN,86,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,60,72,77,62,56,78,81,50
498430031,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,80,84,NaN,66,NaN,NaN,NaN
498430034,74,NaN,60,63,32,NaN,98,60,43,47,38,41,NaN,48,NaN,NaN,NaN,67,63,66,NaN,26,55,24,36,50,NaN,NaN,29,77,NaN,NaN,87,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,91,NaN,78,62,NaN,83,75,88,NaN
498430003,73,NaN,65,65,41,62,NaN,NaN,83,NaN,73,70,NaN,79,NaN,NaN,47,62,67,70,NaN,60,73,60,74,NaN,NaN,NaN,69,85,NaN,NaN,89,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,60,72,77,87,NaN,80,81,NaN
498430007,83,60,NaN,91,NaN,72,97,69,76,NaN,87,76,NaN,92,95,NaN,61,NaN,69,75,NaN,75,85,NaN,72,NaN,NaN,NaN,80,96,NaN,NaN,91,NaN,NaN,NaN,89,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,87,77,90,NaN,93,94,65
498430015,71,60,NaN,71,NaN,60,95,NaN,73,75,74,75,NaN,71,NaN,NaN,83,41,78,72,60,NaN,73,NaN,NaN,68,NaN,78,73,NaN,90,NaN,NaN,NaN,85,NaN,85,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,83,60,70,61,NaN,60,88,93,66
