id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1203351@明史（一）@1@1,1203371@秦漢史（一）@1@1,1203439@古代希臘史@1@1,1203531@日本史（一）@1@1,1203721@西洋史學史（一）@1@1,1203781@歷史日文（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1204631@中國共產黨史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202821@日文（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203809@三國史事與人物@2@1,1204632@中國共產黨史（二）@2@1,1204949@《資治通鑑》選讀@2@1,1202231@台灣史（一）@1@1,1202331@中國現代史（一）@1@1,1202342@宋史（二）@1@1,1202352@中國上古史（二）@1@1,1202822@日文（二）@1@1,1202901@古希臘文（一）@1@1,1203161@史學方法（一）@1@1,1203419@文藝復興史@1@1,1203509@古代地中海史@1@1,1203593@中南美洲史(一)@1@1,1203711@中國史學史（一）@1@1,1203809@三國史事與人物@1@1,1204611@中國藝術史（一）@1@1,1204691@西洋藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204939@歐洲建築文明史@1@1,1202232@台灣史（二）@2@1,1202332@中國現代史（二）@2@1,1202531@美洲史(一)@2@1,1202651@中國政治制度史(一)@2@1,1202823@日文（三）@2@1,1203162@史學方法（二）@2@1,1203372@秦漢史（二）@2@1,1203431@世界上古史（一）@2@1,1203514@臺灣近代史(二)@2@1,1203629@北亞草原民族歷史與文化@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1204682@台灣藝術史（二）@2@1,1204692@西洋藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204999@西洋政治思想史@2@1
404120011,78,77,90,90,80,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,72,78,79,NaN,NaN,-1,NaN,NaN,62,NaN,NaN,68,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
404120012,72,63,84,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,72,84,-1,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,66,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN
404120013,86,79,88,90,88,NaN,NaN,88,NaN,NaN,NaN,NaN,87,NaN,83,94,91,NaN,NaN,80,-1,92,NaN,87,NaN,68,90,NaN,NaN,NaN,NaN,87,88,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
404120014,91,89,88,NaN,70,NaN,NaN,NaN,87,77,NaN,NaN,NaN,NaN,85,80,77,90,NaN,83,NaN,NaN,87,NaN,NaN,89,NaN,85,96,NaN,NaN,84,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404120015,75,80,88,90,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,73,85,83,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,69,88,NaN,NaN,NaN,NaN,76,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
404120016,91,87,90,NaN,85,NaN,80,NaN,92,NaN,NaN,NaN,93,NaN,81,95,93,90,NaN,83,NaN,NaN,NaN,NaN,89,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,89,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
404120017,78,60,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,69,80,86,NaN,-1,NaN,NaN,NaN,64,NaN,NaN,63,60,NaN,NaN,NaN,NaN,69,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120018,90,92,90,NaN,85,NaN,81,NaN,93,NaN,NaN,NaN,92,NaN,87,94,92,90,NaN,-1,-1,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,87,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN
404120019,87,75,89,90,91,NaN,NaN,NaN,80,NaN,NaN,NaN,73,NaN,38,76,82,NaN,-1,-1,-1,NaN,40,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
404120020,80,73,88,NaN,85,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,71,78,85,90,86,80,-1,NaN,86,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,77,NaN,85,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
404120021,82,60,87,100,70,NaN,78,NaN,74,NaN,NaN,NaN,87,NaN,75,70,85,NaN,NaN,-1,-1,NaN,NaN,NaN,85,64,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
404120022,84,88,89,NaN,NaN,NaN,79,NaN,92,NaN,NaN,NaN,NaN,NaN,87,84,88,90,NaN,NaN,-1,NaN,NaN,NaN,91,92,NaN,92,100,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
404120023,89,83,91,100,NaN,80,NaN,NaN,88,NaN,NaN,NaN,90,NaN,82,88,91,NaN,NaN,NaN,-1,NaN,90,NaN,NaN,72,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404120024,89,67,89,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,91,82,90,-1,-1,NaN,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,79,NaN,79,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404120025,85,81,90,90,NaN,NaN,NaN,NaN,80,NaN,84,NaN,76,NaN,85,86,84,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
404120026,73,84,89,NaN,85,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,70,76,83,90,NaN,83,-1,NaN,NaN,NaN,NaN,76,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120027,71,63,88,70,83,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,75,77,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,53,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120030,89,83,89,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,86,86,90,89,-1,NaN,NaN,87,NaN,NaN,90,86,NaN,NaN,77,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
404120031,74,76,88,90,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,74,89,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,67,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
404120033,82,82,89,90,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,80,NaN,80,81,83,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,74,NaN,66,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
404120034,88,91,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,85,89,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120035,81,63,90,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,86,87,NaN,NaN,78,78,NaN,76,NaN,NaN,79,86,NaN,NaN,NaN,NaN,65,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,79,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1
404120036,80,62,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,81,88,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404120037,61,64,86,100,75,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,84,88,NaN,-1,85,NaN,NaN,-1,NaN,NaN,67,NaN,69,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404120038,76,67,89,NaN,NaN,NaN,78,NaN,86,NaN,NaN,NaN,NaN,NaN,81,82,87,90,NaN,-1,-1,NaN,NaN,NaN,NaN,73,NaN,78,NaN,NaN,NaN,77,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404120040,86,90,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,84,83,90,NaN,-1,NaN,NaN,90,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,82,NaN,87,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
404120042,89,74,91,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,72,86,92,90,NaN,NaN,NaN,NaN,NaN,NaN,87,65,NaN,77,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,85,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404120044,79,61,84,NaN,75,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,72,86,82,90,-1,-1,-1,NaN,80,NaN,NaN,69,82,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
