id,1201113@中國通史（一）@1@1,1201121@世界通史（一）@1@1,1201161@史學入門（一）@1@1,1201888@學系服務學習@1@1,1202231@台灣史（一）@1@1,1202691@藏族史（一）@1@1,1202821@日文（一）@1@1,1203161@史學方法（一）@1@1,1203341@隋唐史（一）@1@1,1203531@日本史（一）@1@1,1203851@滿文閱讀入門（一）@1@1,1203981@戰爭與記憶（一）@1@1,1204641@中國庶民文化史（一）@1@1,1204691@西洋藝術史（一）@1@1,1201114@中國通史（二）@2@1,1201122@世界通史（二）@2@1,1201162@史學入門（二）@2@1,1201888@學系服務學習@2@1,1202232@台灣史（二）@2@1,1202412@世界中古史（二）@2@1,1202822@日文（二）@2@1,1202823@日文（三）@2@1,1203342@隋唐史（二）@2@1,1203359@明史@2@1,1203379@春秋戰國史@2@1,1203422@世界近世文明史（二）@2@1,1203564@德國文化史（二）@2@1,1203852@滿文閱讀入門（二）@2@1,1203982@戰爭與記憶（二）@2@1,1204439@世界上古史：古埃及卷@2@1,1204642@中國庶民文化史（二）@2@1,1202141@中國近代史（一）@1@1,1202151@世界現代史（一）@1@1,1202331@中國現代史（一）@1@1,1202449@美國現代文化史@1@1,1202901@古希臘文（一）@1@1,1203351@明史（一）@1@1,1203419@文藝復興史@1@1,1203563@德國文化史（一）@1@1,1204611@中國藝術史（一）@1@1,1204871@滿文文獻閱讀進階（一）@1@1,1204939@歐洲建築文明史@1@1,1202142@中國近代史（二）@2@1,1202152@世界現代史（二）@2@1,1202329@清史@2@1,1202332@中國現代史（二）@2@1,1203162@史學方法（二）@2@1,1203311@遼夏金史（一）@2@1,1203352@明史(二)@2@1,1203449@古代羅馬史@2@1,1203532@日本史（二）@2@1,1203969@西域文明與敦煌文化@2@1,1204612@中國藝術史（二）@2@1,1204759@世界現代建築史與文化理論@2@1,1204969@古信仰與傳統觀念淵源@2@1,1202311@魏晉南北朝史（一）@1@1,1202329@清史@1@1,1202411@世界中古史（一）@1@1,1202583@俄國史(一)@1@1,1203312@遼夏金史（二）@1@1,1203421@世界近世文明史（一）@1@1,1203439@古代希臘史@1@1,1203532@日本史（二）@1@1,1203551@英國史（一）@1@1,1203639@世界古代法律與社會@1@1,1203711@中國史學史（一）@1@1,1203721@西洋史學史（一）@1@1,1204681@台灣藝術史（一）@1@1,1204781@台灣海峽兩岸關係史（一）@1@1,1204929@近代中國城市文化的變遷@1@1,1202312@魏晉南北朝史（二）@2@1,1202584@俄國史(二)@2@1,1202699@中國經濟史@2@1,1203322@清史(二)@2@1,1203531@日本史（一）@2@1,1203552@英國史（二）@2@1,1203712@中國史學史（二）@2@1,1203722@西洋史學史（二）@2@1,1203829@鄉土史研究法@2@1,1204641@中國庶民文化史（一）@2@1,1204682@台灣藝術史（二）@2@1,1204782@台灣海峽兩岸關係史（二）@2@1,1204829@社會學習領域課程設計@2@1,1204841@中國歷史地理（一）@2@1,1204989@希臘羅馬神話與歷史@2@1,1202341@宋史（一）@1@1,1203781@歷史日文（一）@1@1,1203969@西域文明與敦煌文化@1@1,1204631@中國共產黨史（一）@1@1,1204692@西洋藝術史（二）@1@1,1204842@中國歷史地理（二）@1@1,1202821@日文（一）@2@1,1203809@三國史事與人物@2@1,1204632@中國共產黨史（二）@2@1,1204801@從出土資料看漢唐文明(一)@2@1,1204949@《資治通鑑》選讀@2@1,1203593@中南美洲史(一)@1@1,1203809@三國史事與人物@1@1,1203431@世界上古史（一）@2@1,1203629@北亞草原民族歷史與文化@2@1
401120039,70,87,73,85,72,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,71,86,74,NaN,74,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,82,NaN,93,81,NaN,NaN,83,NaN,NaN,69,NaN,NaN,NaN,88,NaN,84,71,77,NaN,NaN,NaN,87,79,NaN,NaN,88,NaN,NaN,NaN,72,88,83,85,NaN,NaN,73,83,NaN,85,NaN,82,87,NaN,NaN,86,82,84,73,NaN,79,NaN,82,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120040,69,90,76,NaN,73,78,NaN,82,NaN,NaN,NaN,86,NaN,NaN,72,81,81,85,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,74,86,76,71,NaN,80,NaN,NaN,NaN,NaN,NaN,89,89,NaN,86,77,78,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,83,NaN,72,83,78,80,NaN,NaN,75,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,84,NaN,90,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120041,60,90,76,85,74,NaN,98,80,NaN,NaN,NaN,NaN,NaN,NaN,76,89,83,NaN,88,78,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,80,60,NaN,NaN,93,NaN,82,NaN,NaN,NaN,89,NaN,86,78,72,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,86,75,75,NaN,91,NaN,85,85,NaN,71,77,81,88,NaN,NaN,NaN,NaN,NaN,NaN,89,88,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120042,80,79,81,NaN,73,NaN,NaN,75,71,NaN,90,NaN,NaN,NaN,79,77,84,85,91,NaN,NaN,NaN,73,NaN,NaN,NaN,85,94,NaN,93,NaN,NaN,93,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,87,NaN,89,86,NaN,NaN,88,NaN,NaN,NaN,89,NaN,89,88,NaN,NaN,NaN,92,NaN,93,80,85,73,90,NaN,89,NaN,NaN,NaN,NaN,88,89,NaN,86,86,NaN,NaN,NaN,89,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120043,73,73,79,85,73,NaN,NaN,60,NaN,NaN,NaN,81,NaN,NaN,64,72,70,NaN,66,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,48,63,68,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,57,70,NaN,83,61,NaN,NaN,60,62,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,67,NaN,71,NaN,60,NaN,61,60,NaN,80,NaN,65,NaN,NaN,NaN,NaN,61,83,62,NaN,52,NaN,80,NaN,83,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,-1,NaN
401120044,70,81,86,NaN,69,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,89,88,89,85,90,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,83,91,84,69,NaN,85,NaN,NaN,NaN,NaN,NaN,83,89,NaN,86,93,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,97,87,87,90,NaN,NaN,94,NaN,81,94,NaN,84,NaN,91,83,NaN,NaN,89,93,88,93,NaN,86,NaN,90,NaN,85,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
401120045,83,83,78,85,73,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,88,82,84,81,NaN,84,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,91,76,NaN,NaN,75,90,NaN,84,NaN,NaN,NaN,90,NaN,85,87,86,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,82,NaN,87,NaN,NaN,89,NaN,75,83,85,81,NaN,NaN,79,NaN,NaN,NaN,86,82,87,NaN,NaN,86,NaN,NaN,84,NaN,86,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120046,72,87,81,NaN,71,NaN,NaN,77,NaN,NaN,NaN,80,NaN,NaN,80,85,81,85,83,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,85,64,94,67,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,90,74,78,68,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,91,NaN,87,87,NaN,71,88,NaN,79,NaN,75,NaN,NaN,NaN,88,81,83,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120047,84,78,78,85,80,NaN,91,84,NaN,NaN,NaN,89,NaN,87,72,84,91,NaN,98,NaN,85,NaN,NaN,NaN,NaN,NaN,94,NaN,85,NaN,NaN,79,96,89,79,60,NaN,NaN,95,84,NaN,NaN,89,95,NaN,89,89,NaN,NaN,92,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,75,NaN,70,NaN,NaN,NaN,NaN,84,96,91,90,90,NaN,79,NaN,NaN,NaN,NaN,96,93,NaN,NaN,92,90,NaN,86,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120048,74,83,89,NaN,68,NaN,NaN,70,NaN,87,NaN,NaN,NaN,NaN,76,85,88,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,94,60,NaN,NaN,75,91,NaN,NaN,NaN,NaN,NaN,93,NaN,89,74,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,14,NaN,NaN,NaN,81,91,80,NaN,68,NaN,74,78,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,86,87,84,NaN,84,NaN,88,NaN,NaN,NaN,79,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
401120049,62,66,84,85,71,NaN,NaN,76,NaN,NaN,NaN,80,70,NaN,74,79,79,NaN,80,NaN,NaN,NaN,79,NaN,NaN,54,84,NaN,NaN,NaN,NaN,NaN,93,68,70,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,88,69,75,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,70,NaN,NaN,84,NaN,NaN,80,NaN,77,66,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,79,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120050,66,87,78,NaN,81,NaN,NaN,86,86,NaN,NaN,NaN,NaN,NaN,82,88,83,85,82,94,NaN,NaN,76,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,79,NaN,NaN,85,NaN,NaN,87,NaN,NaN,NaN,86,NaN,86,84,73,85,NaN,NaN,90,92,NaN,NaN,84,NaN,90,84,NaN,88,NaN,NaN,87,NaN,79,89,NaN,84,NaN,87,NaN,NaN,NaN,89,89,87,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120051,78,82,78,85,69,NaN,NaN,82,NaN,NaN,NaN,82,NaN,NaN,81,91,86,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,82,75,84,NaN,NaN,NaN,90,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,87,84,NaN,80,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,81,NaN,87,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
401120052,77,85,84,NaN,75,NaN,NaN,93,83,NaN,NaN,NaN,NaN,NaN,83,77,85,85,90,NaN,NaN,NaN,76,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,73,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,82,92,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,90,NaN,NaN,82,NaN,85,92,NaN,86,NaN,NaN,79,NaN,NaN,NaN,NaN,90,92,NaN,NaN,NaN,88,NaN,80,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120053,62,73,60,85,67,NaN,NaN,68,NaN,50,NaN,NaN,74,NaN,60,68,65,NaN,86,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,68,0,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,78,NaN,75,50,60,75,NaN,82,79,NaN,NaN,NaN,87,NaN,60,NaN,48,NaN,0,NaN,60,NaN,61,68,NaN,NaN,NaN,77,NaN,NaN,NaN,40,72,86,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,0,73,NaN,NaN,NaN,NaN
401120009,NaN,95,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,76,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120034,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120058,88,67,76,95,65,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,82,60,84,NaN,88,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,85,72,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,88,82,72,80,NaN,70,NaN,67,NaN,NaN,83,NaN,78,49,NaN,73,NaN,NaN,67,NaN,69,81,NaN,79,NaN,85,NaN,NaN,NaN,86,79,87,80,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120055,NaN,61,NaN,95,68,NaN,NaN,76,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,79,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,80,60,87,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120056,NaN,NaN,NaN,98,64,NaN,NaN,83,83,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,75,NaN,85,NaN,89,NaN,90,NaN,NaN,NaN,85,NaN,88,80,87,83,NaN,NaN,89,86,NaN,NaN,NaN,NaN,94,NaN,76,80,NaN,90,84,NaN,70,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,86,88,NaN,NaN,NaN,NaN,88,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401120057,NaN,NaN,NaN,95,70,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,90,75,NaN,80,NaN,87,NaN,86,NaN,NaN,NaN,84,NaN,86,75,79,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,70,NaN,NaN,80,82,83,NaN,89,NaN,73,92,90,NaN,NaN,NaN,77,NaN,80,NaN,84,87,92,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
