id,6101020@民法總則@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102085@德文（一）@1@1,6103057@日文法學名著選讀（一）@1@1,6101001@法學緒論@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101097@法學緒論@2@1,6101888@學系服務學習@2@1,6102019@民法債編總論（一）@2@1,6102020@民法債編總論（二）@2@1,6102026@民法繼承@2@1,6102086@德文（二）@2@1,6103058@日文法學名著選讀（二）@2@1,6102001@法學方法論@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102027@民法債編各論（一）@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102060@日文（一）@1@1,6104026@法律規訓與專業倫理（三）@1@1,6102024@民法物權（二）@2@1,6102028@民法債編各論（二）@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102061@日文（二）@2@1,6102063@德文（二）@2@1,6103023@保險法@2@1,6103024@海商法@2@1,6103072@法制史（二）@2@1,6103083@公平交易法@2@1,6103090@國際環境法@2@1,6104028@多元文化與全球社會@2@1,6104075@法律倫理學@2@1,6102064@法學英文（一）@1@1,6103022@票據法@1@1,6103033@刑事訴訟法（一）@1@1,6103041@民事訴訟法（一）@1@1,6103067@日文法學名著選讀（三）@1@1,6103071@法制史（一）@1@1,6103083@公平交易法@1@1,6103096@國際公法案例研究@1@1,6104001@訴願及行政訴訟法（一）@1@1,6104002@法理學（一）@1@1,6104003@法律社會學導論@1@1,6104006@強制執行法@1@1,6104035@生命、自由與尊嚴的思辨@1@1,6104041@法律經濟學@1@1,6104076@多元文化與全球正義（一）@1@1,6102065@法學英文 (二)@2@1,6103034@刑事訴訟法（二）@2@1,6103042@民事訴訟法（二）@2@1,6103084@消費者保護法@2@1,6104008@訴願及行政訴訟法（二）@2@1,6104009@法理學（二）@2@1,6104036@生命、自由與尊嚴的思辨 (二)@2@1,6102019@民法債編總論（一）@1@1,6102035@刑事政策@1@1,6102062@德文（一）@1@1,6103025@民法債編各論（一）@1@1,6104014@國際私法@1@1,6104061@刑法實例演習（一）@1@1,6102082@日文（二）@2@1,6103026@民法債編各論（二）@2@1,6104062@刑法實例演習（二）@2@1,6104081@網際網路：全球文化及跨國規範 (二)@2@1
400610038,79,66,66,69,NaN,99,NaN,80,67,74,NaN,81,68,68,86,NaN,NaN,78,69,61,75,80,71,67,95,NaN,70,78,87,61,90,96,87,76,NaN,NaN,NaN,NaN,90,NaN,76,78,91,NaN,NaN,NaN,NaN,81,80,83,90,NaN,NaN,NaN,NaN,84,69,NaN,62,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610039,78,78,62,80,85,NaN,NaN,92,69,62,NaN,NaN,76,76,88,NaN,NaN,82,73,62,71,68,77,70,90,NaN,71,81,75,68,90,NaN,86,85,NaN,NaN,NaN,NaN,89,NaN,78,82,84,NaN,NaN,88,NaN,84,85,82,88,NaN,NaN,NaN,NaN,82,65,85,81,76,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
400610040,70,73,72,78,NaN,92,NaN,82,66,69,NaN,83,81,81,90,NaN,NaN,88,74,72,74,82,72,75,80,90,73,79,85,62,NaN,NaN,86,85,NaN,68,NaN,NaN,83,NaN,86,NaN,91,89,NaN,NaN,NaN,95,80,90,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,83,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400610042,80,72,85,90,NaN,NaN,NaN,89,67,82,NaN,91,91,91,87,NaN,NaN,90,80,82,75,89,85,81,85,NaN,82,84,85,80,90,96,NaN,81,NaN,NaN,NaN,93,85,NaN,89,83,85,NaN,NaN,NaN,NaN,93,83,84,93,NaN,89,NaN,NaN,88,86,89,91,84,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610043,80,69,72,68,81,89,NaN,83,66,61,NaN,NaN,76,76,66,NaN,NaN,72,64,60,69,79,72,67,75,NaN,75,80,85,75,90,90,NaN,67,NaN,NaN,NaN,NaN,86,NaN,80,81,98,NaN,NaN,NaN,NaN,74,82,70,88,NaN,NaN,NaN,73,89,78,NaN,65,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400610044,80,70,79,70,NaN,68,NaN,NaN,60,72,73,86,62,62,74,NaN,NaN,80,70,65,78,78,70,66,NaN,NaN,74,89,85,60,NaN,NaN,82,84,NaN,NaN,NaN,NaN,72,NaN,68,84,83,NaN,NaN,90,88,63,75,60,85,NaN,NaN,NaN,NaN,73,60,NaN,72,62,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN
400610045,70,70,60,74,80,NaN,NaN,83,61,67,NaN,NaN,58,58,62,NaN,NaN,75,67,73,69,82,74,71,86,NaN,65,88,84,60,NaN,NaN,88,78,NaN,NaN,NaN,NaN,75,72,70,84,80,NaN,NaN,NaN,NaN,60,79,74,85,NaN,NaN,80,NaN,76,79,NaN,75,78,NaN,NaN,NaN,80,NaN,78,NaN,NaN,NaN,NaN,NaN
400610047,NaN,82,83,72,90,NaN,NaN,88,78,62,NaN,NaN,NaN,NaN,70,NaN,NaN,77,72,60,77,88,72,70,NaN,NaN,67,68,82,60,NaN,NaN,91,72,NaN,NaN,NaN,NaN,64,NaN,68,82,70,NaN,76,NaN,NaN,60,80,84,86,NaN,NaN,NaN,NaN,71,41,NaN,60,60,NaN,NaN,80,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
400610046,NaN,85,77,82,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,75,NaN,NaN,85,75,67,70,88,81,66,NaN,NaN,71,77,83,61,NaN,99,86,71,NaN,NaN,NaN,NaN,83,77,77,81,87,NaN,90,NaN,NaN,66,92,89,NaN,NaN,NaN,NaN,88,81,70,NaN,75,84,88,NaN,92,99,NaN,76,NaN,NaN,NaN,NaN,NaN
400610048,NaN,NaN,NaN,NaN,95,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,85,79,67,77,86,78,80,85,NaN,77,90,89,80,88,NaN,NaN,73,NaN,NaN,NaN,NaN,85,NaN,86,87,95,NaN,NaN,82,NaN,81,85,85,86,NaN,NaN,NaN,NaN,85,83,87,71,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
