id,5151032@初級會計學（一）@1@1,5151888@學系服務學習@1@1,5151888@學系服務學習@1@2,5152020@統計學（一）@1@2,5152100@財務管理（一）@1@2,5151033@初級會計學（二）@2@1,5151888@學系服務學習@2@1,5151888@學系服務學習@2@2,5152021@統計學（二）@2@2,5152101@財務管理（二）@2@2,5152200@投資學@2@2,5152400@商用軟體應用與設計@2@1,5152020@統計學（一）@1@1,5152100@財務管理（一）@1@1,5152100@財務管理（一）@1@3,5153010@總體經濟學@1@1,5153110@財務報表分析@1@1,5153173@金融倫理學@1@1,5153300@金融市場與機構@1@2,5153330@債券市場@1@1,5153340@期貨與選擇權@1@1,5154210@投資組合分析@1@1,5154400@風險管理與保險@1@1,5151013@經濟學原理（二）@2@1,5152021@統計學（二）@2@1,5152101@財務管理（二）@2@3,5152200@投資學@2@1,5152300@貨幣銀行@2@1,5152400@商用軟體應用與設計@2@2,5153174@企業價值評估@2@1,5154180@國際財務管理@2@2,5154313@資本市場與基金組合管理@2@1,5154320@投資銀行@2@1,5154340@實質選擇權@2@1,5154661@財務預測@2@1,5153010@總體經濟學@1@2,5153300@金融市場與機構@1@1,5153340@期貨與選擇權@1@2,5154170@財務管理個案研究@1@1,5154170@財務管理個案研究@1@2,5154171@高階財務管理@1@1,5154441@不動產概論@1@1,5152101@財務管理（二）@2@1,5153100@財務理論與政策@2@1,5153351@財務風險管理@2@1,5154180@國際財務管理@2@1,5154411@人身風險與退休規畫@2@1,5154172@財務金融個案研究@1@1,5154172@財務金融個案研究@1@2,5154220@證券分析@1@1,5154314@金融風險與金控公司管理@1@1,5154171@高階財務管理@2@1,5154350@國際金融市場@1@1
400515051,93,85,NaN,100,95,100,NaN,NaN,98,94,98,NaN,NaN,NaN,NaN,99,91,92,NaN,92,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,94,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,98,99,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN
400515052,80,NaN,NaN,NaN,34,67,80,NaN,NaN,46,70,NaN,77,80,55,91,82,91,NaN,NaN,82,75,NaN,60,63,NaN,NaN,NaN,98,NaN,77,NaN,NaN,NaN,90,NaN,65,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,52,88,NaN,87,75,NaN,NaN,NaN
400515053,96,85,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,93,NaN,90,NaN,98,80,80,91,NaN,76,NaN,87,76,NaN,74,85,NaN,NaN,77,NaN,80,NaN,83,NaN,NaN,NaN,92,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,82,NaN,80,NaN,83,NaN
400515054,77,NaN,NaN,73,NaN,71,80,NaN,71,83,NaN,NaN,NaN,NaN,88,81,86,84,NaN,81,80,NaN,60,NaN,NaN,NaN,85,NaN,79,NaN,84,NaN,NaN,95,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,94,82,NaN,NaN,NaN,NaN,NaN
400515056,86,NaN,NaN,97,NaN,83,80,NaN,83,NaN,91,NaN,NaN,NaN,72,94,85,78,NaN,66,82,93,NaN,NaN,NaN,72,NaN,NaN,79,NaN,83,NaN,81,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,80,92,NaN,NaN
400515057,51,84,NaN,60,NaN,60,NaN,NaN,60,58,NaN,NaN,NaN,60,NaN,60,61,75,60,60,60,NaN,NaN,NaN,NaN,60,66,NaN,80,NaN,66,70,67,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,56,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
400515058,80,NaN,NaN,97,79,78,NaN,81,73,82,95,NaN,NaN,NaN,NaN,74,85,94,NaN,85,80,91,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,90,89,92,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,77,NaN,NaN,88,NaN,NaN,NaN,NaN
400515059,72,NaN,80,NaN,76,65,NaN,NaN,NaN,70,NaN,NaN,78,NaN,NaN,78,74,71,NaN,75,60,NaN,60,NaN,68,NaN,84,NaN,86,NaN,67,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,69,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
400515060,67,NaN,NaN,NaN,NaN,60,NaN,81,NaN,73,NaN,NaN,66,NaN,66,80,80,82,NaN,68,NaN,NaN,NaN,66,61,NaN,75,NaN,95,NaN,NaN,92,79,NaN,87,NaN,80,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,85,NaN,90,NaN,NaN
400515062,74,NaN,NaN,84,77,62,NaN,81,78,80,NaN,NaN,NaN,NaN,NaN,95,83,89,NaN,90,85,NaN,NaN,NaN,NaN,NaN,77,NaN,85,NaN,88,NaN,NaN,NaN,92,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,88,89,NaN,88,NaN,90,NaN,NaN,NaN,NaN
