id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301005@邏輯設計@1@2,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4303042@數據通訊@1@1,4304004@工程倫理@1@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302019@再生能源導論@2@1,4302020@通訊工程導論@2@1,4304004@工程倫理@2@1,4303002@通訊原理@1@1,4303004@電磁學（二）@1@1,4303005@複變@1@1,4303013@電腦網路導論@1@1,4303024@離散數學@1@1,4303033@電磁科技導論@1@1,4303035@演算法導論@1@1,4303039@電機機械@1@1,4303043@電力電子導論@1@1,4302005@資料結構@2@1,4302016@計算機組織@2@2,4303001@作業系統導論@2@1,4303010@電磁波@2@1,4303012@數位通訊導論@2@1,4303015@通訊系統專題（一）@2@1,4303016@電磁積體電路專題（一）@2@1,4303028@通訊系統實驗@2@1,4303029@電腦網路實驗@2@1,4303030@電磁工程實驗@2@1,4303031@網路技術與應用專題（一）@2@1,4303038@數位訊號處理導論@2@1
403430012,62,57,NaN,35,NaN,68,NaN,63,NaN,NaN,NaN,83,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403430013,77,63,80,46,85,69,NaN,68,NaN,NaN,NaN,87,NaN,89,NaN,60,79,88,NaN,71,NaN,NaN,83,NaN,75,NaN,74,40,NaN,94,76,63,NaN,84,NaN,81,-1,80,NaN,NaN,71,NaN,NaN,60,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN
403430014,63,85,61,NaN,NaN,66,75,NaN,75,NaN,NaN,NaN,80,60,42,70,75,71,NaN,NaN,80,38,68,NaN,51,NaN,65,67,NaN,79,-1,NaN,NaN,60,NaN,77,NaN,55,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403430015,92,75,60,NaN,85,68,NaN,66,NaN,NaN,NaN,89,NaN,82,79,NaN,83,86,NaN,68,86,69,NaN,80,NaN,98,87,NaN,75,90,81,71,86,NaN,NaN,92,NaN,83,NaN,NaN,85,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1
403430016,94,78,89,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,86,80,92,97,NaN,90,99,97,NaN,90,93,89,NaN,NaN,96,97,NaN,85,83,89,100,NaN,NaN,NaN,85,NaN,98,NaN,84,90,NaN,NaN,97,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430017,91,74,84,NaN,85,71,NaN,64,NaN,91,NaN,NaN,NaN,66,NaN,76,75,65,75,NaN,86,NaN,72,NaN,49,-1,60,NaN,NaN,79,-1,65,68,NaN,NaN,74,-1,49,NaN,NaN,44,78,NaN,65,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430018,90,78,86,NaN,NaN,88,NaN,79,NaN,NaN,NaN,88,80,91,74,NaN,90,83,NaN,68,90,74,89,NaN,83,NaN,90,88,NaN,97,80,-1,100,NaN,NaN,79,-1,77,NaN,82,76,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1
403430019,72,81,64,NaN,85,60,NaN,62,NaN,NaN,NaN,81,NaN,65,80,NaN,72,61,68,NaN,NaN,NaN,63,NaN,60,NaN,-1,30,-1,75,64,30,67,NaN,NaN,81,NaN,NaN,NaN,NaN,60,NaN,NaN,72,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430020,69,81,NaN,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,80,63,NaN,70,80,62,79,NaN,NaN,50,76,NaN,72,NaN,71,70,NaN,94,72,48,86,NaN,NaN,83,NaN,69,NaN,NaN,65,NaN,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
403430021,70,76,NaN,60,85,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,65,87,88,65,NaN,NaN,50,81,84,75,NaN,73,70,NaN,82,69,61,85,NaN,NaN,85,NaN,65,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN
