id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152011@邏輯設計@1@1,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153219@電力電子導論@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152201@資料結構@2@1,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2
404415002,NaN,61,NaN,NaN,57,71,NaN,64,NaN,44,NaN,NaN,NaN,67,79,NaN,-1,20,NaN,42,NaN,81,47,NaN,NaN,NaN,22,NaN,40,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404415004,NaN,64,NaN,NaN,68,NaN,84,68,NaN,NaN,NaN,69,NaN,67,NaN,87,-1,60,43,NaN,92,NaN,NaN,95,NaN,NaN,62,65,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415006,NaN,74,NaN,NaN,NaN,87,NaN,NaN,82,NaN,NaN,NaN,92,84,87,NaN,-1,94,98,NaN,95,NaN,NaN,NaN,93,91,92,NaN,86,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415010,NaN,68,NaN,NaN,28,NaN,62,71,NaN,NaN,NaN,74,NaN,90,89,NaN,-1,80,NaN,30,78,NaN,NaN,94,NaN,NaN,47,NaN,72,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN
404415012,NaN,90,NaN,NaN,NaN,90,NaN,86,NaN,81,NaN,NaN,NaN,87,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404415014,NaN,65,NaN,NaN,NaN,76,NaN,-1,NaN,NaN,NaN,65,NaN,69,NaN,89,-1,48,66,NaN,NaN,81,NaN,NaN,93,44,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415016,NaN,52,NaN,NaN,NaN,83,NaN,-1,31,NaN,63,NaN,NaN,60,86,NaN,-1,60,46,NaN,NaN,79,61,NaN,87,NaN,60,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404415018,62,52,NaN,NaN,NaN,74,NaN,-1,NaN,NaN,NaN,-1,NaN,67,89,NaN,-1,68,60,NaN,86,NaN,65,NaN,93,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
404415020,NaN,82,NaN,NaN,73,NaN,93,75,NaN,NaN,NaN,72,NaN,92,89,NaN,86,79,80,NaN,86,NaN,NaN,94,NaN,83,80,73,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN
404415022,NaN,67,NaN,NaN,NaN,69,NaN,-1,NaN,NaN,NaN,-1,NaN,64,86,NaN,84,69,60,NaN,NaN,91,NaN,87,NaN,62,65,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
