id,6101021@民法總則（一）@1@1,6101031@刑法總則（一）@1@1,6101041@憲法（一）@1@1,6101054@英美法導論@1@1,6101888@學系服務學習@1@1,6102001@法學方法論@1@1,6102060@日文（一）@1@1,6103067@日文法學名著選讀（三）@1@1,6103071@法制史（一）@1@1,6101001@法學緒論@2@1,6101022@民法總則（二）@2@1,6101032@刑法總則（二）@2@1,6101042@憲法（二）@2@1,6101888@學系服務學習@2@1,6102082@日文（二）@2@1,6103023@保險法@2@1,6104075@法律倫理學@2@1,6102019@民法債編總論（一）@1@1,6102023@民法物權（一）@1@1,6102025@民法親屬@1@1,6102031@刑法分則（一）@1@1,6102040@國際公法@1@1,6102043@行政法總論（一）@1@1,6102050@刑法總則理論演習@1@1,6102062@德文（一）@1@1,6102064@法學英文（一）@1@1,6102089@羅馬法史導論@1@1,6103057@日文法學名著選讀（一）@1@1,6103096@國際公法案例研究@1@1,6104006@強制執行法@1@1,6102020@民法債編總論（二）@2@1,6102024@民法物權（二）@2@1,6102026@民法繼承@2@1,6102032@刑法分則（二）@2@1,6102044@行政法總論（二）@2@1,6102063@德文（二）@2@1,6102065@法學英文 (二)@2@1,6103024@海商法@2@1,6103058@日文法學名著選讀（二）@2@1,6103090@國際環境法@2@1
404610028,92,73,46,70,NaN,68,NaN,NaN,80,66,90,67,60,90,NaN,NaN,78,74,66,60,81,80,72,NaN,87,NaN,70,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404610029,85,70,54,85,90,85,NaN,NaN,NaN,-1,96,72,55,NaN,NaN,NaN,-1,89,71,70,86,85,86,NaN,90,NaN,75,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404610030,86,65,76,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,14,NaN,68,NaN,82,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404610031,91,79,60,82,90,90,NaN,NaN,NaN,72,97,82,60,NaN,NaN,NaN,-1,99,90,90,87,80,94,NaN,99,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,-1,NaN
404610032,96,72,60,80,NaN,86,NaN,NaN,80,NaN,95,73,55,90,NaN,NaN,-1,94,80,68,85,82,88,NaN,98,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610033,90,68,47,78,90,63,NaN,NaN,NaN,60,91,65,50,NaN,NaN,NaN,-1,83,67,52,81,72,83,79,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,-1,NaN,NaN
404610034,97,81,60,93,NaN,73,NaN,NaN,NaN,70,90,71,70,90,NaN,NaN,-1,61,71,72,85,79,86,78,NaN,NaN,75,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
404610035,89,84,75,95,90,82,NaN,NaN,NaN,82,93,76,70,NaN,NaN,NaN,85,63,70,68,84,77,84,78,98,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
404610036,92,82,70,86,NaN,83,NaN,NaN,NaN,68,97,72,90,90,NaN,75,93,98,87,89,88,76,93,88,99,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404610037,95,74,60,88,90,84,NaN,NaN,NaN,74,83,-1,70,NaN,NaN,65,-1,83,68,63,83,80,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,NaN
404610038,91,78,60,70,NaN,65,NaN,NaN,NaN,68,95,77,60,90,NaN,NaN,-1,82,72,70,80,60,69,81,74,NaN,62,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,-1,NaN
404610039,91,66,50,79,90,66,NaN,NaN,NaN,64,94,75,55,NaN,NaN,NaN,82,99,71,61,89,75,79,NaN,92,NaN,77,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610040,93,78,60,90,NaN,63,NaN,NaN,NaN,86,87,72,NaN,90,NaN,NaN,84,91,62,NaN,81,76,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1
404610041,95,84,60,95,90,88,NaN,NaN,NaN,82,98,75,88,NaN,NaN,92,-1,93,93,82,85,94,94,88,98,NaN,82,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404610042,84,78,62,67,NaN,60,NaN,NaN,NaN,66,91,70,50,95,NaN,NaN,-1,89,67,60,81,69,66,83,86,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
404610043,92,69,65,93,90,84,NaN,NaN,NaN,76,92,72,65,NaN,NaN,NaN,81,99,70,62,82,78,84,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610044,96,65,64,80,NaN,72,NaN,NaN,NaN,62,96,77,65,90,NaN,NaN,-1,89,68,75,83,74,77,NaN,97,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404610045,NaN,64,80,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,89,NaN,NaN,87,72,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
