id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2601601@生物學@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2
404260043,92,80,82,80,67,79,76,79,NaN,-1,-1,-1,79,73,79,NaN,-1,-1,NaN
404260044,79,88,84,NaN,75,92,73,83,80,-1,-1,-1,94,90,84,NaN,-1,NaN,-1
404260045,69,65,80,80,91,86,65,68,NaN,-1,-1,-1,78,64,81,NaN,-1,NaN,-1
404260046,74,84,NaN,NaN,NaN,NaN,68,79,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404260047,71,86,68,80,66,92,71,82,NaN,-1,-1,84,60,61,88,NaN,-1,-1,NaN
404260048,86,88,NaN,NaN,78,91,80,81,80,-1,-1,-1,88,88,88,-1,-1,NaN,-1
404260049,79,76,NaN,85,68,92,76,77,NaN,-1,-1,-1,71,60,83,-1,-1,NaN,-1
404260050,76,81,87,NaN,61,93,75,79,80,-1,-1,-1,73,78,85,NaN,-1,NaN,-1
404260051,64,64,68,85,60,73,56,63,NaN,-1,-1,-1,60,18,73,NaN,-1,NaN,-1
404260052,75,80,NaN,NaN,76,90,76,73,80,-1,-1,-1,90,79,88,-1,-1,NaN,-1
404260053,91,86,78,85,72,91,78,84,NaN,-1,-1,-1,77,64,87,NaN,-1,-1,NaN
404260054,100,78,76,NaN,60,83,75,68,80,-1,-1,-1,65,67,80,NaN,-1,NaN,-1
404260056,76,69,80,NaN,74,78,68,67,80,-1,-1,-1,70,64,79,NaN,-1,NaN,-1
404260023,NaN,NaN,NaN,NaN,NaN,NaN,1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
