id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602401@物理化學（一）@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2603402@物理化學（二）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603301@無機化學（一）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603902@專題研究(二)@2@1,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2601601@生物學@2@1,2603711@材料化學導論@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
402260043,84,76,75,80,81,88,NaN,99,98,91,NaN,NaN,95,99,81,78,93,89,NaN,NaN,NaN,NaN,98,NaN,90,93,82,NaN,NaN,96,91,91,90,95,93,86,NaN,90,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402260044,79,83,75,NaN,79,81,85,67,60,76,NaN,NaN,76,60,80,69,75,79,NaN,NaN,NaN,NaN,95,NaN,83,75,75,NaN,NaN,60,64,77,NaN,79,84,79,68,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,-1,NaN,NaN
402260045,78,81,62,80,67,72,NaN,95,81,74,NaN,NaN,81,64,66,60,71,63,NaN,NaN,NaN,NaN,66,74,NaN,61,78,NaN,NaN,60,85,70,NaN,61,68,82,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1
402260046,86,74,NaN,NaN,95,78,85,8,60,74,NaN,NaN,65,68,71,40,47,64,NaN,NaN,NaN,NaN,49,NaN,50,40,71,NaN,NaN,36,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260047,66,85,65,80,67,69,NaN,84,62,72,NaN,NaN,70,64,76,66,-1,80,NaN,NaN,NaN,NaN,69,76,NaN,70,72,NaN,NaN,77,79,50,NaN,-1,-1,77,63,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402260048,67,72,70,NaN,65,77,85,85,73,79,NaN,NaN,89,62,74,60,66,74,NaN,NaN,NaN,NaN,83,NaN,81,80,77,NaN,NaN,47,60,67,NaN,67,64,78,65,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,NaN
402260049,67,78,80,80,67,80,NaN,93,90,71,NaN,NaN,75,70,72,63,70,81,NaN,NaN,NaN,NaN,73,NaN,80,83,73,NaN,NaN,60,81,79,NaN,85,73,73,74,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
402260050,86,79,NaN,NaN,85,83,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402260051,61,73,63,80,63,70,NaN,88,62,76,NaN,NaN,76,65,72,60,72,86,NaN,NaN,NaN,NaN,80,71,NaN,72,78,NaN,NaN,60,80,67,NaN,66,69,78,77,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN,NaN
402260052,85,79,76,NaN,81,85,85,82,89,90,NaN,NaN,96,87,87,87,84,90,NaN,NaN,NaN,NaN,96,90,NaN,91,79,NaN,NaN,78,79,90,NaN,86,95,85,88,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,-1,NaN
402260053,80,78,73,80,84,85,NaN,84,60,75,NaN,NaN,93,71,84,60,75,79,NaN,NaN,NaN,NaN,93,76,NaN,60,75,NaN,NaN,62,63,69,NaN,63,69,77,66,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
