id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3302911@公文程式與製作@1@1,3303642@當代社會分析@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302912@行政法實務專題@2@1,3303643@當前國際情勢@2@1,3304301@民主觀察@2@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302300@中國大陸政府與政治（一）@1@1,3302370@中國外交史@1@1,3302401@政治意識型態@1@1,3304311@國際政治經濟@1@1,3304333@環境政治@1@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302340@中國大陸政府與政治（二）@2@1,3302390@現代國際政治史@2@1,3302442@政策網絡與政策變遷@2@1,3302910@全球化下的跨國人口流動@2@1,3303392@英國政府與政治@2@1,3303644@當前國際情勢@2@1,3304321@國際談判與協商@2@1,3304340@台灣政經發展@2@1,3302411@國際人權與女權@1@1,3303000@政治學統計方法（一）@1@1,3303000@政治學統計方法（一）@1@2,3303010@西洋政治思想史@1@1,3303440@政策執行與評估@1@1,3303460@公共人事行政導論@1@1,3303491@國際組織與非國家組織@1@1,3303510@公共政策@1@1,3303645@當代社會分析@1@1,3303660@正義理論@1@1,3304331@行政倫理@1@1,3304370@公共管理@1@1,3304390@全球化@1@1,3304671@繪本、小說、與多元文化教育@1@1,3301511@政治社會學@2@1,3302394@危機管理@2@1,3302930@初級政治學德語(一)@2@1,3303030@政治學統計方法（二）@2@1,3303030@政治學統計方法（二）@2@2,3303040@中國政治思想史@2@1,3303502@公共人力資源管理@2@1,3304302@民主理論@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304361@政策分析@2@1,3304624@國際移民@2@1,3304680@公民社會基本觀念@2@1,3303361@組織理論與行為@1@1,3303641@當代中國社會@1@1,3304601@歐洲整合與政治思想@1@1,3304690@從電影分析著名工業污染事件@1@1,3302411@國際人權與女權@2@1,3302940@公民教育@2@1,3303394@德國政府與政治@2@1,3303610@國際關係理論導讀@2@1,3303650@當代西方政治思潮@2@1,3304641@危機管理@2@1
401330012,90,88,NaN,85,82,67,100,NaN,NaN,NaN,83,NaN,85,86,65,100,88,NaN,NaN,NaN,83,86,97,80,78,NaN,NaN,NaN,NaN,95,86,93,86,85,97,NaN,NaN,NaN,88,90,NaN,NaN,81,NaN,83,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,73,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330013,89,87,89,NaN,81,67,90,75,84,NaN,91,87,NaN,89,64,80,NaN,NaN,NaN,NaN,89,84,98,84,NaN,NaN,NaN,NaN,NaN,95,85,98,87,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,91,NaN,87,89,NaN,90,NaN,94,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93
401330014,80,89,95,NaN,69,73,80,NaN,NaN,NaN,89,94,NaN,84,75,70,84,NaN,NaN,NaN,89,78,98,86,NaN,85,NaN,NaN,NaN,95,79,86,78,NaN,88,NaN,87,NaN,NaN,78,NaN,NaN,74,NaN,82,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330015,88,92,NaN,68,79,82,70,78,89,NaN,90,NaN,78,89,79,80,NaN,90,NaN,NaN,88,87,98,92,NaN,NaN,NaN,NaN,NaN,95,86,96,86,NaN,92,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,94,NaN,92,NaN,NaN,NaN,89,NaN,NaN,NaN,93,NaN,NaN,79,70,95,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330016,88,95,93,NaN,77,79,95,NaN,NaN,NaN,86,84,NaN,87,77,70,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330017,83,87,NaN,73,79,83,75,72,NaN,NaN,65,NaN,82,85,61,70,NaN,NaN,NaN,NaN,72,66,77,70,NaN,70,NaN,NaN,NaN,94,77,66,77,NaN,NaN,NaN,NaN,NaN,75,90,NaN,NaN,60,NaN,74,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,79,92,NaN,NaN,NaN,32,70,63,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330018,81,88,NaN,75,74,64,95,NaN,NaN,NaN,72,NaN,75,89,73,80,88,NaN,NaN,NaN,91,78,74,83,NaN,88,NaN,NaN,NaN,94,80,71,83,NaN,84,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,82,93,94,NaN,95,NaN,NaN,94,90,NaN,NaN,NaN,94,NaN,81,NaN,80,NaN,NaN,NaN,95,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN
401330019,78,94,85,NaN,76,84,85,75,88,NaN,76,81,NaN,89,75,100,NaN,85,NaN,NaN,89,75,76,83,NaN,84,NaN,NaN,NaN,95,81,89,83,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,89,NaN,90,NaN,90,95,NaN,94,90,NaN,NaN,NaN,94,NaN,78,NaN,71,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401330020,73,83,78,NaN,89,60,65,NaN,NaN,NaN,77,73,NaN,77,78,100,86,86,NaN,NaN,80,81,71,77,NaN,81,NaN,NaN,NaN,94,82,62,85,NaN,90,89,NaN,NaN,NaN,82,NaN,NaN,81,NaN,73,88,87,NaN,91,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,63,NaN,73,NaN,NaN,80,93,NaN,NaN,87,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,92
401330021,88,92,NaN,68,79,69,95,77,NaN,NaN,85,NaN,65,86,75,90,NaN,88,NaN,NaN,80,82,77,82,NaN,NaN,NaN,NaN,NaN,92,85,83,87,NaN,93,94,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
