id,6301001@民法總則（一）@1@1,6301002@憲法（一）@1@1,6301007@刑法總則（一）@1@1,6301018@法學緒論（一）@1@1,6301888@學系服務學習@1@1,6301009@民法總則（二）@2@1,6301010@憲法（二）@2@1,6301014@刑法總則（二）@2@1,6301019@法學緒論（二）@2@1,6301888@學系服務學習@2@1,6302032@財經法律講座@2@1,6304004@金融法@2@1,6304020@法律倫理學@2@1,6302001@民法親屬@1@1,6302003@國際公法（一）@1@1,6302003@國際公法（一）@1@2,6302005@刑法分則（一）@1@1,6302007@刑法實例演習（一）@1@1,6302009@消費者保護法@1@1,6302013@民法物權（一）@1@1,6302015@行政法總論（一）@1@1,6302017@英美法導論（一）@1@1,6302019@民法債編總論（一）@1@1,6303008@商事法總論及公司法@1@1,6303009@票據法@1@1,6303020@信託法@1@1,6303021@刑事訴訟法（一）@1@1,6302002@民法繼承@2@1,6302004@國際公法（二）@2@1,6302004@國際公法（二）@2@2,6302006@刑法分則（二）@2@1,6302008@刑法實例演習（二）@2@1,6302014@民法物權（二）@2@1,6302016@行政法總論（二）@2@1,6302018@英美法導論（二）@2@1,6302020@民法債編總論（二）@2@1,6303018@保險法@2@1,6303019@海商法@2@1,6303022@刑事訴訟法（二）@2@1,6303001@民法債編各論（一）@1@1,6303003@民事訴訟法（一）@1@1,6303005@商標專利法（一）@1@1,6303024@稅法總論@1@1,6304003@國際貿易法@1@1,6304007@國際私法（一）@1@1,6304015@行政救濟法@1@1,6304016@著作權法@1@1,6304023@商法實例演習（一）@1@1,6302025@所得稅法@2@1,6302058@國際公法@2@1,6303002@民法債編各論（二）@2@1,6303004@民事訴訟法（二）@2@1,6303006@商標專利法（二）@2@1,6303012@公平交易法@2@1,6303015@金融法@2@1,6303029@稅法實例演習@2@1,6303033@稅捐稽徵法@2@1,6303034@法律倫理學@2@1,6304008@國際私法（二）@2@1,6304024@商法實例演習(二)@2@1,6304025@兩岸企業併購法@2@1,6302012@營業稅法@1@1,6304006@證券交易法@1@1,6304027@法律實務(一)@1@1,6304029@國際貿易法@1@1,6304057@智慧財產權法重要案例研討@1@1,6302024@法學英文@2@1,6304005@強制執行法@2@1,6304023@商法實例演習（一）@2@1,6304028@民事審判實務@2@1,6304030@民事實體與程序法綜合演習@2@1,6303036@商標法@1@1,6303038@銀行法@1@1,6303037@專利法@2@1,6304012@行政法實例演習@2@1,6304056@企業併購法@1@1
400630012,90,83,76,78,NaN,85,77,69,88,85,NaN,NaN,NaN,87,74,NaN,86,76,84,79,80,95,80,95,92,88,86,91,90,NaN,85,87,84,84,NaN,79,92,NaN,83,93,95,78,88,NaN,NaN,92,87,NaN,NaN,NaN,93,87,71,NaN,90,90,94,84,NaN,NaN,NaN,NaN,87,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630013,87,86,79,87,85,83,78,72,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630014,80,63,71,NaN,NaN,80,80,72,NaN,85,NaN,NaN,NaN,73,76,NaN,89,74,NaN,83,88,NaN,77,90,92,88,76,73,81,NaN,80,83,85,94,NaN,85,83,NaN,63,84,95,71,87,NaN,NaN,95,90,NaN,NaN,NaN,80,90,66,NaN,90,88,NaN,84,NaN,NaN,NaN,NaN,91,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630015,81,70,71,NaN,79,68,78,61,NaN,NaN,NaN,NaN,NaN,70,77,NaN,85,70,83,71,70,85,76,77,78,67,78,74,67,NaN,74,71,85,61,NaN,70,65,NaN,71,66,77,60,82,NaN,NaN,73,71,NaN,NaN,NaN,84,78,60,NaN,86,NaN,NaN,76,NaN,NaN,NaN,NaN,61,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630016,90,73,74,NaN,NaN,77,87,65,NaN,85,NaN,NaN,NaN,60,78,NaN,76,74,NaN,83,83,NaN,66,87,89,86,67,60,83,NaN,75,72,88,89,NaN,60,88,NaN,66,60,68,60,62,NaN,NaN,64,79,NaN,NaN,NaN,69,85,64,NaN,86,NaN,80,88,NaN,90,NaN,NaN,79,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630017,60,69,75,85,82,71,78,61,NaN,NaN,NaN,NaN,NaN,67,75,NaN,71,75,NaN,74,70,77,61,79,66,NaN,68,67,44,72,70,69,71,60,72,60,65,60,63,67,54,65,74,NaN,NaN,62,65,NaN,NaN,NaN,77,62,60,NaN,73,NaN,82,64,NaN,NaN,NaN,NaN,60,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630018,86,85,78,NaN,NaN,68,89,72,NaN,85,NaN,NaN,NaN,80,72,NaN,86,73,87,80,84,NaN,80,79,81,91,85,86,77,NaN,80,77,83,70,NaN,70,80,82,80,82,91,73,86,NaN,NaN,81,89,NaN,NaN,NaN,88,89,61,NaN,90,90,91,88,NaN,NaN,NaN,NaN,89,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630019,87,85,78,80,85,89,88,73,92,NaN,NaN,NaN,NaN,85,86,NaN,92,82,88,82,97,NaN,84,84,79,85,83,98,90,NaN,89,87,85,85,NaN,87,89,87,62,71,90,77,91,NaN,NaN,88,82,NaN,NaN,NaN,92,89,72,NaN,88,88,95,88,NaN,NaN,NaN,NaN,79,NaN,91,NaN,NaN,88,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
400630020,92,61,74,81,NaN,65,75,60,NaN,85,NaN,NaN,NaN,94,78,NaN,84,73,NaN,81,89,NaN,87,81,82,99,81,99,83,NaN,83,73,81,83,NaN,73,85,NaN,70,93,92,72,85,NaN,NaN,74,72,NaN,NaN,NaN,85,86,65,NaN,88,95,88,84,NaN,NaN,NaN,NaN,82,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400630021,70,76,70,74,84,66,80,67,NaN,NaN,NaN,NaN,NaN,87,65,NaN,78,72,NaN,75,67,NaN,81,77,65,83,74,87,76,NaN,77,67,73,61,70,81,64,NaN,77,70,71,60,85,NaN,NaN,70,64,70,NaN,NaN,68,64,60,NaN,87,87,NaN,90,NaN,NaN,73,NaN,65,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
