id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202751@電子電路學（一）@2@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@2,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203104@機械設計@1@2,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203065@專題研究A(二)@2@1,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204301@應用光學與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4203068@專題研究D（二）@2@1,4203755@機電專題實作(一)@2@1
402420015,66,70,NaN,77,NaN,85,NaN,60,NaN,69,NaN,NaN,82,NaN,NaN,77,60,88,68,73,70,65,60,NaN,NaN,64,68,NaN,NaN,68,84,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,71,NaN,73,81,NaN,99,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,70,81,78,77,NaN,80,70,86,NaN,NaN,NaN
402420016,90,NaN,79,NaN,87,NaN,NaN,75,NaN,87,NaN,NaN,73,NaN,90,97,88,74,72,87,82,74,93,NaN,89,87,95,NaN,NaN,94,88,NaN,89,NaN,NaN,NaN,70,NaN,NaN,94,NaN,100,NaN,NaN,NaN,80,NaN,86,NaN,NaN,NaN,84,NaN,99,92,NaN,NaN,NaN,NaN,85,NaN,NaN,83,NaN,NaN,NaN,NaN
402420017,86,77,NaN,85,NaN,85,NaN,80,80,NaN,NaN,NaN,86,NaN,NaN,NaN,83,80,92,79,83,88,62,-1,84,82,79,70,76,80,90,NaN,NaN,87,NaN,NaN,82,NaN,88,79,82,NaN,84,76,99,90,NaN,87,NaN,87,83,-1,NaN,88,-1,-1,NaN,NaN,91,NaN,97,92,85,NaN,NaN,NaN,NaN
402420018,68,NaN,84,NaN,94,NaN,NaN,67,NaN,75,83,NaN,NaN,NaN,90,68,74,NaN,72,69,71,71,60,NaN,64,60,73,53,NaN,77,NaN,82,NaN,86,NaN,NaN,NaN,62,65,NaN,71,NaN,80,81,NaN,78,NaN,92,NaN,75,71,67,NaN,47,-1,NaN,NaN,85,NaN,76,NaN,80,NaN,NaN,NaN,NaN,NaN
402420019,79,73,NaN,79,NaN,NaN,82,60,NaN,77,65,NaN,NaN,NaN,NaN,NaN,60,80,75,64,73,68,82,NaN,66,65,67,68,60,67,81,NaN,NaN,NaN,NaN,NaN,NaN,75,80,72,NaN,61,81,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,63,77,NaN,NaN,NaN,75,-1,NaN,NaN,81,NaN,60,NaN,NaN,NaN,NaN
402420020,69,NaN,73,NaN,83,NaN,NaN,60,NaN,63,NaN,68,NaN,NaN,90,NaN,60,NaN,61,60,70,60,60,NaN,NaN,67,-1,-1,60,-1,NaN,88,NaN,NaN,NaN,NaN,68,NaN,NaN,60,81,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,71,NaN,85,NaN,NaN,88,NaN,NaN
402420021,92,NaN,91,67,NaN,NaN,90,75,NaN,88,NaN,NaN,76,NaN,NaN,90,70,99,73,79,92,75,74,-1,NaN,85,88,NaN,NaN,75,NaN,92,NaN,NaN,NaN,NaN,NaN,69,NaN,78,89,NaN,NaN,NaN,99,90,NaN,NaN,NaN,NaN,89,NaN,NaN,78,86,NaN,NaN,NaN,NaN,NaN,92,NaN,87,NaN,NaN,NaN,NaN
402420022,68,NaN,71,NaN,75,NaN,NaN,60,NaN,76,NaN,NaN,73,80,NaN,63,72,NaN,68,70,62,66,68,NaN,62,87,84,80,NaN,78,NaN,80,NaN,NaN,NaN,NaN,61,NaN,NaN,79,NaN,66,NaN,71,NaN,78,NaN,NaN,NaN,NaN,NaN,68,69,-1,76,NaN,NaN,NaN,NaN,80,NaN,76,NaN,NaN,NaN,NaN,NaN
402420023,82,71,NaN,78,NaN,NaN,78,80,NaN,66,89,NaN,NaN,NaN,NaN,NaN,63,NaN,65,75,74,67,65,88,76,73,77,66,63,83,NaN,79,NaN,74,NaN,NaN,60,NaN,70,74,60,50,NaN,NaN,60,91,NaN,NaN,NaN,NaN,NaN,64,NaN,66,62,NaN,NaN,79,NaN,62,NaN,NaN,60,NaN,NaN,NaN,NaN
402420024,21,NaN,73,NaN,60,NaN,NaN,10,NaN,80,NaN,70,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402420026,88,NaN,82,NaN,91,NaN,NaN,75,79,NaN,NaN,NaN,75,NaN,90,NaN,81,76,79,68,71,71,60,-1,65,67,69,75,67,70,83,NaN,86,NaN,NaN,NaN,61,NaN,NaN,74,NaN,60,NaN,72,NaN,80,NaN,NaN,NaN,NaN,72,-1,NaN,61,-1,NaN,NaN,NaN,88,75,NaN,83,70,NaN,NaN,NaN,NaN
