id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202053@視窗程式設計@2@1,4202751@電子電路學（一）@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4203151@機器動力學@2@1,4203602@流體力學（一）@2@1,4203754@訊號與影像處理導論@2@1
404420022,80,NaN,92,NaN,83,NaN,NaN,90,NaN,86,91,NaN,NaN,70,NaN,-1,NaN,94,95,86,91,85,90,-1,-1,-1,-1,-1,NaN,-1,NaN
404420023,68,85,NaN,70,NaN,NaN,73,60,90,NaN,NaN,68,NaN,NaN,NaN,NaN,-1,32,NaN,68,60,70,65,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420024,67,NaN,90,NaN,65,NaN,NaN,60,NaN,92,NaN,91,NaN,70,NaN,NaN,NaN,60,67,65,70,59,72,-1,-1,-1,-1,-1,NaN,-1,NaN
404420025,79,92,NaN,81,NaN,90,NaN,68,90,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,66,NaN,85,78,84,80,-1,-1,-1,NaN,NaN,-1,-1,NaN
404420026,71,NaN,85,NaN,79,NaN,NaN,73,NaN,92,85,NaN,NaN,70,NaN,NaN,-1,60,68,80,76,80,66,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420027,54,77,NaN,62,NaN,72,NaN,-1,90,NaN,21,NaN,NaN,NaN,NaN,NaN,-1,65,NaN,66,80,61,67,-1,-1,-1,NaN,NaN,NaN,-1,NaN
404420028,91,NaN,93,NaN,82,NaN,NaN,92,NaN,94,NaN,NaN,96,NaN,80,NaN,NaN,99,98,100,99,99,91,-1,-1,-1,-1,-1,NaN,-1,NaN
404420029,63,93,NaN,64,NaN,NaN,83,70,92,NaN,92,NaN,NaN,NaN,NaN,NaN,-1,70,NaN,79,72,78,78,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420030,80,NaN,92,NaN,77,NaN,NaN,81,NaN,86,74,NaN,NaN,70,NaN,-1,-1,76,NaN,90,87,84,79,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420031,25,91,NaN,60,NaN,NaN,88,0,90,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404420032,79,NaN,86,NaN,60,NaN,NaN,87,NaN,90,NaN,72,NaN,70,NaN,NaN,-1,69,88,78,86,76,86,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420033,76,91,NaN,75,NaN,79,NaN,81,92,NaN,NaN,NaN,84,NaN,NaN,NaN,-1,64,93,89,86,83,94,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420034,65,NaN,93,NaN,71,NaN,NaN,67,NaN,90,NaN,76,NaN,70,NaN,NaN,-1,68,NaN,72,73,76,69,-1,-1,-1,-1,NaN,NaN,-1,NaN
404420035,74,91,NaN,71,NaN,NaN,74,82,92,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,71,82,83,71,71,70,-1,-1,-1,-1,NaN,NaN,-1,NaN
